Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_No_Surfels_-_64_Rays_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 3.01453, 0, 1
3, 3.01322, 3.16826, 1
4, 2.98394, 3.25018, 1
5, 3.02694, 3.16006, 1
6, 2.95469, 3.26829, 1
7, 2.98646, 3.41638, 1
8, 2.99107, 3.40083, 1
9, 2.99248, 3.38381, 1
10, 2.95898, 3.40787, 1
11, 3.11296, 3.39149, 1
12, 3.08349, 3.17347, 1
13, 3.0679, 3.1713, 1
14, 2.92621, 3.17766, 1
15, 3.07405, 3.41434, 1
16, 2.97341, 3.18669, 1
17, 3.0881, 3.38944, 1
18, 3.20102, 3.17456, 1
19, 3.09754, 3.19277, 1
20, 3.14573, 3.17088, 1
21, 3.10067, 3.17696, 1
22, 2.93277, 3.16826, 1
23, 3.16621, 3.4015, 1
24, 2.9289, 3.16579, 1
25, 2.9407, 3.37818, 1
26, 2.96874, 3.38, 1
27, 2.97434, 3.39558, 1
28, 3.01984, 3.38486, 1
29, 3.18083, 3.3792, 1
30, 2.98598, 3.3792, 1
31, 2.97968, 3.40582, 1
32, 3.15731, 3.36931, 1
33, 3.07814, 3.17043, 1
34, 3.20186, 3.16227, 1
35, 3.08634, 3.17053, 1
36, 3.08563, 3.1624, 1
37, 3.1009, 3.16621, 1
38, 3.1943, 3.16358, 1
39, 2.95926, 3.16541, 1
40, 3.08765, 3.37392, 1
41, 2.94298, 3.35238, 1
42, 3.0775, 3.37549, 1
43, 2.96118, 3.16621, 1
44, 2.94502, 3.25222, 1
45, 2.95942, 3.24813, 1
46, 2.93478, 3.36336, 1
47, 2.95936, 3.21795, 1
48, 2.9551, 3.21482, 1
49, 2.93885, 3.22288, 1
50, 2.94602, 3.22355, 1
51, 2.93482, 3.22272, 1
52, 2.92413, 3.2271, 1
53, 2.96128, 3.36422, 1
54, 2.95731, 3.20717, 1
55, 2.95731, 3.21325, 1
56, 2.93731, 3.3695, 1
57, 2.93997, 3.21194, 1
58, 2.95696, 3.21331, 1
59, 2.93274, 3.21018, 1
60, 2.95027, 3.22381, 1
61, 2.9473, 3.35955, 1
62, 2.95645, 3.21946, 1
63, 2.94912, 3.2159, 1
64, 2.94906, 3.38211, 1
65, 2.95117, 3.2232, 1
66, 2.9495, 3.21485, 1
67, 2.94032, 3.35258, 1
68, 2.94912, 3.21741, 1
69, 2.94998, 3.21536, 1
70, 2.94707, 3.21315, 1
71, 2.95373, 3.21901, 1
72, 2.9504, 3.20669, 1
73, 2.93075, 3.21331, 1
74, 2.95098, 3.21533, 1
75, 2.93894, 3.21325, 1
76, 2.93683, 3.34438, 1
77, 2.92045, 3.21632, 1
78, 2.96352, 3.17085, 1
79, 2.93274, 3.36115, 1
80, 2.93274, 3.21536, 1
81, 2.94707, 3.2112, 1
82, 2.92864, 3.21306, 1
83, 2.93299, 3.21126, 1
84, 2.91702, 3.21888, 1
85, 2.94582, 3.21405, 1
86, 2.96291, 3.20931, 1
87, 2.93242, 3.21536, 1
88, 2.94698, 3.16816, 1
89, 2.92931, 3.35053, 1
90, 2.93469, 3.22154, 1
