Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_No_Surfels_-_64_Rays_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 3.01466, 0, 1
3, 3.00685, 3.40582, 1
4, 2.94502, 3.26922, 1
5, 2.98278, 3.43082, 1
6, 2.94803, 3.39638, 1
7, 3.18874, 3.38931, 1
8, 3.07405, 3.17168, 1
9, 2.97779, 3.17824, 1
10, 3.092, 3.41872, 1
11, 3.11997, 3.17075, 1
12, 3.07126, 3.17482, 1
13, 3.01904, 3.17437, 1
14, 2.94707, 3.4007, 1
15, 2.96237, 3.38941, 1
16, 2.94022, 3.38656, 1
17, 3.27885, 3.3873, 1
18, 3.08566, 3.30448, 1
19, 3.09402, 3.18858, 1
20, 2.95014, 3.17843, 1
21, 3.14893, 3.38112, 1
22, 3.11507, 3.17552, 1
23, 3.1048, 3.16627, 1
24, 2.93702, 3.17235, 1
25, 3.12944, 3.38362, 1
26, 3.12038, 3.16285, 1
27, 3.09469, 3.16621, 1
28, 3.10886, 3.16621, 1
29, 2.93888, 3.17488, 1
30, 2.94656, 3.40003, 1
31, 2.94662, 3.38298, 1
32, 3.08835, 3.37482, 1
33, 3.27552, 3.36896, 1
34, 3.0985, 3.30342, 1
35, 2.94298, 3.16211, 1
36, 3.15018, 3.3711, 1
37, 2.93859, 3.16451, 1
38, 2.96211, 3.39136, 1
39, 2.92659, 3.27261, 1
40, 2.95219, 3.2513, 1
41, 2.95322, 3.24768, 1
42, 2.95277, 3.36342, 1
43, 2.95875, 3.21776, 1
44, 2.99213, 3.21741, 1
45, 2.95344, 3.36666, 1
46, 2.95427, 3.21226, 1
47, 2.94646, 3.22378, 1
48, 2.92854, 3.37238, 1
49, 2.95526, 3.22352, 1
50, 2.95386, 3.21635, 1
51, 2.91683, 3.36282, 1
52, 2.96141, 3.21331, 1
53, 2.94298, 3.21331, 1
54, 2.95293, 3.36467, 1
55, 2.93491, 3.21757, 1
56, 2.94794, 3.21386, 1
57, 2.93981, 3.36355, 1
58, 2.96874, 3.2168, 1
59, 2.94461, 3.21539, 1
60, 2.95795, 3.21562, 1
61, 2.94707, 3.21741, 1
62, 2.95731, 3.35939, 1
63, 2.94413, 3.21741, 1
64, 3.00042, 3.21946, 1
65, 2.9568, 3.1785, 1
66, 2.94221, 3.36272, 1
67, 2.96778, 3.21491, 1
68, 2.94285, 3.21741, 1
69, 2.94298, 3.35872, 1
70, 2.93069, 3.21331, 1
71, 2.93827, 3.21107, 1
72, 2.94317, 3.21619, 1
73, 2.93674, 3.21594, 1
74, 2.94381, 3.21101, 1
75, 2.95939, 3.21446, 1
76, 2.95354, 3.17613, 1
77, 2.93494, 3.21965, 1
78, 2.94454, 3.21741, 1
79, 2.93683, 3.22195, 1
80, 2.95526, 3.2199, 1
81, 2.94118, 3.34384, 1
82, 2.95322, 3.21741, 1
83, 2.95907, 3.22115, 1
84, 2.94141, 3.21104, 1
85, 2.96317, 3.21168, 1
86, 2.96029, 3.21952, 1
87, 2.93194, 3.21338, 1
88, 2.93837, 3.21123, 1
89, 2.95936, 3.1712, 1
90, 2.95066, 3.34506, 1
