Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_No_Surfels_-_64_Rays_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 2.60246, 0, 1
3, 2.79805, 3.10262, 1
4, 2.61939, 3.02509, 1
5, 2.94067, 2.88003, 1
6, 2.84886, 3.39171, 1
7, 2.79722, 3.37251, 1
8, 2.97008, 3.4841, 1
9, 3.01056, 3.37715, 1
10, 2.97571, 3.3737, 1
11, 3.25104, 3.3737, 1
12, 3.072, 3.38272, 1
13, 3.01862, 3.47344, 1
14, 3.19962, 3.37542, 1
15, 3.20602, 3.46522, 1
16, 2.99427, 3.3751, 1
17, 2.99366, 3.37712, 1
18, 2.96755, 3.3751, 1
19, 2.99818, 3.38438, 1
20, 2.97558, 3.36925, 1
21, 2.97667, 3.36691, 1
22, 3.11296, 3.36835, 1
23, 2.98954, 3.45565, 1
24, 2.9737, 3.36925, 1
25, 2.99341, 3.36458, 1
26, 3.09379, 3.36886, 1
27, 3.19226, 3.36883, 1
28, 2.98928, 3.36691, 1
29, 3.20563, 3.37485, 1
30, 2.97126, 3.37101, 1
31, 3.00646, 3.36762, 1
32, 2.97485, 3.36675, 1
33, 3.00032, 3.37203, 1
34, 3.12038, 3.36694, 1
35, 3.0432, 3.36851, 1
36, 2.97373, 3.36374, 1
37, 3.20483, 3.36739, 1
38, 2.96723, 3.36282, 1
39, 3.02893, 3.35866, 1
40, 3.15197, 3.35872, 1
41, 2.96797, 3.36115, 1
42, 2.8953, 3.37338, 1
43, 2.97984, 3.36454, 1
44, 2.88118, 3.36547, 1
45, 3.08867, 3.36928, 1
46, 3.02982, 3.17066, 1
47, 3.01744, 3.36778, 1
48, 3.0809, 3.17283, 1
49, 3.02797, 3.16957, 1
50, 3.08461, 3.36752, 1
51, 3.05562, 3.1703, 1
52, 3.02662, 3.16765, 1
53, 2.8344, 3.16416, 1
54, 2.99901, 3.3631, 1
55, 3.06278, 3.36266, 1
56, 2.8119, 3.16861, 1
57, 2.94547, 3.3672, 1
58, 2.91869, 3.3608, 1
59, 2.96755, 3.21536, 1
60, 2.87046, 3.35206, 1
61, 2.99994, 3.35053, 1
62, 3.08224, 3.34746, 1
63, 2.82954, 3.16986, 1
64, 3.09043, 3.36486, 1
65, 3.08506, 3.16752, 1
66, 2.79971, 3.17085, 1
67, 3.08278, 3.35667, 1
68, 3.02806, 3.16624, 1
69, 2.78288, 3.35613, 1
70, 3.02656, 3.34666, 1
71, 3.08771, 3.35395, 1
72, 3.05046, 3.16202, 1
73, 2.92134, 3.35725, 1
74, 2.83792, 3.34979, 1
75, 2.96253, 3.35258, 1
76, 2.82858, 3.43693, 1
77, 2.83443, 3.35443, 1
78, 3.08752, 3.35053, 1
79, 3.07072, 3.1703, 1
80, 2.78861, 3.17437, 1
81, 3.08224, 3.34643, 1
82, 3.01056, 3.1639, 1
83, 3.02694, 3.36109, 1
84, 3.0679, 3.34394, 1
85, 2.94019, 3.16566, 1
86, 2.89792, 3.34854, 1
87, 2.98064, 3.2215, 1
88, 2.81437, 3.36202, 1
89, 2.80678, 3.35053, 1
90, 2.82608, 3.34653, 1
