Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_No_Surfels_-_64_Rays_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 3.29523, 0, 1
3, 3.09971, 3.16816, 1
4, 3.31907, 3.38909, 1
5, 2.80765, 3.3881, 1
6, 3.14938, 3.47341, 1
7, 3.0249, 3.38381, 1
8, 2.95142, 3.38282, 1
9, 3.01098, 3.38442, 1
10, 2.98426, 3.1784, 1
11, 3.04864, 3.3792, 1
12, 2.95344, 3.37507, 1
13, 3.0233, 3.3727, 1
14, 3.09245, 3.37981, 1
15, 3.18963, 3.38349, 1
16, 3.09792, 3.37306, 1
17, 3.08224, 3.45498, 1
18, 2.99686, 3.45702, 1
19, 3.2297, 3.37872, 1
20, 2.97562, 3.3801, 1
21, 2.99008, 3.37315, 1
22, 2.9768, 3.37331, 1
23, 2.99418, 3.36749, 1
24, 2.97392, 3.37203, 1
25, 2.99962, 3.37082, 1
26, 3.18829, 3.36896, 1
27, 3.20272, 3.37306, 1
28, 2.98394, 3.36819, 1
29, 3.12115, 3.37101, 1
30, 2.96755, 3.37101, 1
31, 3.21587, 3.38509, 1
32, 3.02109, 3.35258, 1
33, 2.75562, 3.36288, 1
34, 2.99827, 3.38282, 1
35, 3.0248, 3.36486, 1
36, 2.95779, 3.36022, 1
37, 3.00323, 3.35667, 1
38, 3.06176, 3.3584, 1
39, 2.82237, 3.36944, 1
40, 2.87955, 3.36154, 1
41, 3.00845, 3.36691, 1
42, 2.82624, 3.36976, 1
43, 3.07424, 3.37005, 1
44, 3.01264, 3.16285, 1
45, 3.05971, 3.37277, 1
46, 2.82883, 3.17078, 1
47, 3.02403, 3.37008, 1
48, 3.07814, 3.36221, 1
49, 2.83443, 3.1744, 1
50, 3.01056, 3.38179, 1
51, 3.08794, 3.3592, 1
52, 2.79354, 3.1639, 1
53, 3.00637, 3.35942, 1
54, 3.06304, 3.35776, 1
55, 2.83402, 3.16608, 1
56, 3.06758, 3.36806, 1
57, 2.83853, 3.1703, 1
58, 3.01645, 3.3673, 1
59, 3.07405, 3.36282, 1
60, 2.81341, 3.16621, 1
61, 3.04688, 3.36234, 1
62, 3.04029, 3.36896, 1
63, 2.78938, 3.36486, 1
64, 3.08019, 3.35872, 1
65, 2.92096, 3.17475, 1
66, 2.80218, 3.44362, 1
67, 3.0847, 3.35258, 1
68, 2.80336, 3.16006, 1
69, 3.08518, 3.35053, 1
70, 3.06842, 3.16483, 1
71, 3.06406, 3.15885, 1
72, 2.95891, 3.16246, 1
73, 3.01459, 3.4304, 1
74, 2.84531, 3.34643, 1
75, 3.01875, 3.35053, 1
76, 3.07245, 3.35053, 1
77, 2.99245, 3.1703, 1
78, 2.88243, 3.35046, 1
79, 3.0728, 3.36598, 1
80, 3.08691, 3.16646, 1
81, 3.06381, 3.16445, 1
82, 3.05766, 3.16621, 1
83, 3.05357, 3.16934, 1
84, 3.06176, 3.16733, 1
85, 3.06493, 3.16221, 1
86, 2.99818, 3.34742, 1
87, 3.08035, 3.35254, 1
88, 3.0369, 3.17021, 1
89, 2.80371, 3.35462, 1
90, 3.04947, 3.3369, 1
