Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_No_Surfels_-_64_Rays_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 2.79184, 0, 1
3, 2.81821, 3.03091, 1
4, 3.0457, 3.19946, 1
5, 2.86656, 3.25632, 1
6, 3.04333, 3.37923, 1
7, 3.02694, 3.42426, 1
8, 2.94502, 3.38851, 1
9, 3.23584, 3.38019, 1
10, 2.93741, 3.38019, 1
11, 3.00179, 3.47542, 1
12, 2.58, 3.38739, 1
13, 2.74042, 3.37648, 1
14, 3.01747, 3.38083, 1
15, 3.19338, 3.37357, 1
16, 2.97779, 2.87731, 1
17, 2.98112, 2.87334, 1
18, 3.33248, 2.87859, 1
19, 2.99498, 3.26042, 1
20, 3.00563, 3.37728, 1
21, 2.74259, 3.36822, 1
22, 3.18147, 3.3728, 1
23, 2.98259, 3.36778, 1
24, 3.06346, 3.36982, 1
25, 2.75578, 3.46726, 1
26, 3.00326, 3.18054, 1
27, 2.99827, 3.36918, 1
28, 2.96374, 3.36896, 1
29, 2.97382, 3.37715, 1
30, 2.9983, 3.36781, 1
31, 2.98947, 3.37075, 1
32, 2.97565, 3.36688, 1
33, 2.9559, 3.36282, 1
34, 2.75251, 3.36448, 1
35, 2.76224, 3.36618, 1
36, 2.99213, 3.35936, 1
37, 2.74822, 3.36317, 1
38, 3.1896, 3.36317, 1
39, 2.97773, 3.37181, 1
40, 2.95936, 3.35738, 1
41, 2.89386, 3.364, 1
42, 2.83853, 3.36282, 1
43, 2.84298, 3.36896, 1
44, 3.06842, 3.36493, 1
45, 2.73379, 3.16438, 1
46, 3.05232, 3.35872, 1
47, 3.08051, 3.16371, 1
48, 3.0127, 3.1744, 1
49, 3.04538, 3.19232, 1
50, 3.03843, 3.37715, 1
51, 2.82509, 3.1663, 1
52, 3.03088, 3.3664, 1
53, 3.05971, 3.36378, 1
54, 2.80365, 3.16672, 1
55, 3.03181, 3.36336, 1
56, 3.07405, 3.16611, 1
57, 2.91802, 3.16832, 1
58, 2.86077, 3.35709, 1
59, 2.85555, 3.36093, 1
60, 2.9143, 3.36378, 1
61, 2.88333, 3.3591, 1
62, 2.828, 3.36938, 1
63, 2.94694, 3.37526, 1
64, 2.87574, 3.37994, 1
65, 3.06877, 3.36499, 1
66, 2.95536, 3.17104, 1
67, 2.87709, 3.36947, 1
68, 2.85082, 3.36778, 1
69, 3.03565, 3.36083, 1
70, 3.05946, 3.36326, 1
71, 3.07674, 3.17056, 1
72, 3.02874, 3.16826, 1
73, 2.79174, 3.36531, 1
74, 2.82214, 3.36915, 1
75, 3.10278, 3.37114, 1
76, 2.82461, 3.16851, 1
77, 3.05152, 3.3751, 1
78, 3.04208, 3.16621, 1
79, 3.03738, 3.36707, 1
80, 3.06173, 3.1681, 1
81, 3.04538, 3.16691, 1
82, 3.07814, 3.36058, 1
83, 3.06602, 3.16426, 1
84, 3.03085, 3.17235, 1
85, 3.06176, 3.35872, 1
86, 3.0584, 3.16621, 1
87, 3.04688, 3.1687, 1
88, 3.07382, 3.16621, 1
89, 3.08224, 3.1617, 1
90, 2.80326, 3.1704, 1
