Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_No_Surfels_-_64_Rays_Per_Probe
185, 3.03514, 3.16646, 1
186, 3.08634, 3.37722, 1
187, 3.07814, 3.16365, 1
188, 2.82435, 3.16819, 1
189, 3.068, 3.3584, 1
190, 2.95178, 3.16426, 1
191, 2.80496, 3.45514, 1
192, 3.08125, 3.36691, 1
193, 2.91789, 3.16074, 1
194, 2.87901, 3.36806, 1
195, 3.07626, 3.21901, 1
196, 3.07539, 3.16563, 1
197, 3.00794, 3.164, 1
198, 3.07763, 3.36077, 1
199, 2.83005, 3.17645, 1
200, 3.03923, 3.37168, 1
201, 3.09043, 3.1767, 1
202, 2.95526, 3.1703, 1
203, 3.06176, 3.16906, 1
204, 3.01366, 3.1681, 1
205, 2.99776, 3.36614, 1
206, 3.02448, 3.16826, 1
207, 3.01104, 3.36435, 1
208, 3.03034, 3.16541, 1
209, 3.02138, 3.36896, 1
210, 2.83853, 3.36275, 1
211, 3.06176, 3.3687, 1
212, 2.79757, 3.1745, 1
213, 3.10682, 3.37526, 1
214, 3.10637, 3.17645, 1
215, 3.06634, 3.17152, 1
216, 3.07203, 3.17645, 1
217, 3.03309, 3.17402, 1
218, 3.0761, 3.37757, 1
219, 3.05059, 3.17645, 1
220, 3.02694, 3.38112, 1
221, 3.06858, 3.37574, 1
222, 2.73699, 3.18253, 1
223, 2.9959, 3.37101, 1
224, 3.09107, 3.17773, 1
225, 2.98915, 3.17094, 1
226, 2.84058, 3.18259, 1
227, 2.79142, 3.37248, 1
228, 3.05763, 3.37418, 1
229, 3.05357, 3.18211, 1
230, 3.07942, 3.37446, 1
231, 3.07456, 3.16851, 1
232, 3.00803, 3.18054, 1
233, 3.02694, 3.36685, 1
234, 2.84691, 3.3751, 1
235, 2.8033, 3.37101, 1
236, 2.9463, 3.37421, 1
237, 2.82496, 3.45658, 1
238, 2.84477, 3.37658, 1
239, 2.82851, 3.36691, 1
240, 2.8161, 3.38058, 1
241, 2.75674, 3.37738, 1
242, 2.8232, 3.18029, 1
243, 2.82387, 3.37315, 1
244, 2.74022, 3.38125, 1
245, 2.84621, 3.37306, 1
246, 2.84499, 3.36691, 1
247, 3.00278, 3.36691, 1
248, 2.87334, 3.36595, 1
249, 2.79872, 3.36934, 1
250, 2.96755, 3.3768, 1
251, 2.87226, 3.37136, 1
252, 2.82442, 3.36896, 1
253, 3.0377, 3.37686, 1
254, 3.08886, 3.37482, 1
