Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_No_Surfels_-_64_Rays_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 3.28317, 0, 1
3, 3.08499, 3.18074, 1
4, 3.02614, 3.19251, 1
5, 3.00045, 3.26915, 1
6, 3.18627, 3.48992, 1
7, 2.93725, 3.17818, 1
8, 3.16682, 3.38944, 1
9, 2.9448, 3.17114, 1
10, 3.15443, 3.41606, 1
11, 3.09664, 3.17034, 1
12, 3.10208, 3.1729, 1
13, 3.16906, 3.17498, 1
14, 3.07878, 3.18096, 1
15, 2.96755, 3.17446, 1
16, 2.9248, 3.38963, 1
17, 3.36304, 3.38371, 1
18, 3.08214, 3.21085, 1
19, 2.95526, 3.18624, 1
20, 3.16762, 3.38739, 1
21, 3.2727, 3.16499, 1
22, 2.93638, 3.2809, 1
23, 3.18166, 3.37485, 1
24, 3.09802, 3.16349, 1
25, 2.8585, 3.1687, 1
26, 3.13549, 3.40173, 1
27, 3.09699, 3.16208, 1
28, 2.94266, 3.17235, 1
29, 3.36854, 3.38096, 1
30, 2.93594, 3.22851, 1
31, 3.16573, 3.38333, 1
32, 3.11514, 3.1769, 1
33, 2.93226, 3.16314, 1
34, 3.14134, 3.40922, 1
35, 3.1191, 3.15798, 1
36, 3.0945, 3.15603, 1
37, 2.93069, 3.15622, 1
38, 2.94301, 3.38982, 1
39, 3.00448, 3.36845, 1
40, 2.94986, 3.18598, 1
41, 2.94502, 3.25094, 1
42, 2.97088, 3.2609, 1
43, 2.95315, 3.21741, 1
44, 2.94307, 3.2256, 1
45, 2.95539, 3.35574, 1
46, 2.94707, 3.21715, 1
47, 2.9575, 3.21718, 1
48, 2.93907, 3.36058, 1
49, 2.95936, 3.22131, 1
50, 2.94784, 3.22358, 1
51, 2.96819, 3.21338, 1
52, 2.94627, 3.21786, 1
53, 2.95731, 3.34701, 1
54, 2.93094, 3.20982, 1
55, 2.96954, 3.2151, 1
56, 2.9447, 3.34643, 1
57, 2.94912, 3.21763, 1
58, 2.95606, 3.21011, 1
59, 2.92806, 3.21078, 1
60, 2.95229, 3.21398, 1
61, 2.96934, 3.21126, 1
62, 2.94502, 3.35872, 1
63, 2.9431, 3.20979, 1
64, 2.95936, 3.2271, 1
65, 2.94502, 3.36234, 1
66, 2.96864, 3.20938, 1
67, 2.94093, 3.21126, 1
68, 2.95037, 3.21126, 1
69, 2.95731, 3.21126, 1
70, 2.93766, 3.21946, 1
71, 2.9519, 3.20954, 1
72, 2.93888, 3.21734, 1
73, 2.95322, 3.20947, 1
74, 2.96448, 3.34682, 1
75, 2.9529, 3.21498, 1
76, 2.94765, 3.21946, 1
77, 2.96922, 3.2129, 1
78, 2.91286, 3.2191, 1
79, 2.95872, 3.22218, 1
80, 2.95254, 3.21946, 1
81, 2.93779, 3.20922, 1
82, 2.94717, 3.21741, 1
83, 2.95526, 3.21363, 1
84, 2.94906, 3.20765, 1
85, 2.94899, 3.20906, 1
86, 2.95814, 3.21725, 1
87, 2.94781, 3.22506, 1
88, 2.91578, 3.18669, 1
89, 2.94093, 3.23174, 1
90, 2.97165, 3.22131, 1
