Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_No_Surfels_-_64_Rays_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 3.21808, 0, 1
3, 3.00211, 3.14349, 1
4, 3.04067, 3.1671, 1
5, 2.98854, 3.42022, 1
6, 3.01693, 3.39891, 1
7, 3.10698, 3.19434, 1
8, 2.97574, 3.18054, 1
9, 2.94918, 3.39149, 1
10, 3.16954, 3.40403, 1
11, 3.08019, 3.18608, 1
12, 3.22253, 3.1871, 1
13, 2.93478, 3.17536, 1
14, 3.15597, 3.4079, 1
15, 2.94538, 3.19251, 1
16, 2.94333, 3.38698, 1
17, 3.00237, 3.37987, 1
18, 2.9856, 3.39952, 1
19, 2.99354, 3.38467, 1
20, 2.99187, 3.3751, 1
21, 2.97984, 3.3711, 1
22, 2.98544, 3.3792, 1
23, 3.17126, 3.39354, 1
24, 3.1191, 3.18048, 1
25, 3.09526, 3.17325, 1
26, 3.2017, 3.1785, 1
27, 3.14573, 3.17645, 1
28, 3.11661, 3.17299, 1
29, 3.16384, 3.16662, 1
30, 2.91824, 3.16419, 1
31, 2.96755, 3.39968, 1
32, 2.97405, 3.37715, 1
33, 2.94909, 3.38141, 1
34, 3.16531, 3.38445, 1
35, 3.10682, 3.16627, 1
36, 3.0983, 3.1697, 1
37, 2.8495, 3.15862, 1
38, 2.94586, 3.37101, 1
39, 3.02694, 3.3921, 1
40, 2.96672, 3.16253, 1
41, 2.92198, 3.24864, 1
42, 2.92582, 3.25837, 1
43, 2.93194, 3.21485, 1
44, 2.92733, 3.22461, 1
45, 2.94253, 3.16573, 1
46, 2.92653, 3.16211, 1
47, 2.95565, 3.1561, 1
48, 2.93488, 3.22829, 1
49, 2.94707, 3.37107, 1
50, 2.92045, 3.23174, 1
51, 2.90758, 3.21606, 1
52, 2.94528, 3.35955, 1
53, 2.97978, 3.21866, 1
54, 2.95286, 3.3711, 1
55, 2.93274, 3.21168, 1
56, 2.97146, 3.21536, 1
57, 2.92454, 3.21562, 1
58, 2.96947, 3.21974, 1
59, 2.94666, 3.21331, 1
60, 2.94746, 3.36586, 1
61, 2.94707, 3.21379, 1
62, 2.94544, 3.21597, 1
63, 2.95526, 3.1712, 1
64, 2.95475, 3.21971, 1
65, 2.95677, 3.21946, 1
66, 2.94746, 3.21082, 1
67, 2.95322, 3.21738, 1
68, 2.73613, 3.21504, 1
69, 2.91376, 3.21142, 1
70, 2.94272, 3.35667, 1
71, 2.96278, 3.21126, 1
72, 2.96653, 3.37219, 1
73, 2.92947, 3.21318, 1
74, 2.96346, 3.21341, 1
75, 2.92694, 3.35603, 1
76, 2.9568, 3.21126, 1
77, 2.93718, 3.21549, 1
78, 2.95683, 3.21536, 1
79, 2.94893, 3.22378, 1
80, 2.92864, 3.22134, 1
81, 2.95251, 3.21562, 1
82, 2.94493, 3.21117, 1
83, 2.95731, 3.35923, 1
84, 2.93235, 3.3521, 1
85, 2.93274, 3.2152, 1
86, 2.96496, 3.21142, 1
87, 2.93069, 3.21373, 1
88, 2.93139, 3.21338, 1
89, 2.96374, 3.20938, 1
90, 2.94771, 3.21274, 1
