Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_Full_GI_-_160_Surfels_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 1.80842, 0, 1
3, 0.854688, 3.18634, 1
4, 0.862016, 3.46787, 1
5, 0.86144, 3.18362, 1
6, 0.862624, 3.17418, 1
7, 0.856896, 3.16787, 1
8, 0.856192, 3.17091, 1
9, 0.858112, 3.17114, 1
10, 0.858112, 3.16518, 1
11, 0.858112, 3.16848, 1
12, 0.859584, 3.17235, 1
13, 0.85808, 3.3833, 1
14, 0.85728, 3.39526, 1
15, 0.856864, 3.17312, 1
16, 0.855392, 3.17315, 1
17, 0.85872, 3.17235, 1
18, 0.85952, 3.16701, 1
19, 0.859392, 3.17834, 1
20, 0.858112, 3.17536, 1
21, 0.855744, 3.38176, 1
22, 0.857088, 3.16688, 1
23, 0.857248, 3.17357, 1
24, 0.857024, 3.16621, 1
25, 0.856064, 3.16867, 1
26, 0.854368, 3.16637, 1
27, 0.854016, 3.3751, 1
28, 0.855616, 3.16662, 1
29, 0.859744, 3.16493, 1
30, 0.853792, 3.16006, 1
31, 0.852512, 3.15846, 1
32, 0.856064, 3.37107, 1
33, 0.856288, 3.3704, 1
34, 0.859136, 3.39293, 1
35, 0.86016, 3.1744, 1
36, 0.853472, 3.16522, 1
37, 0.853984, 3.37533, 1
38, 0.854016, 3.16646, 1
39, 0.856544, 3.16128, 1
40, 0.854016, 3.16826, 1
41, 0.854336, 3.37754, 1
42, 0.856064, 3.16211, 1
43, 0.855616, 3.37706, 1
44, 0.8544, 3.38131, 1
45, 0.855264, 3.15939, 1
46, 0.863008, 3.38736, 1
47, 0.856352, 3.15933, 1
48, 0.854592, 3.37482, 1
49, 0.858112, 3.15949, 1
50, 0.854432, 3.38653, 1
51, 0.854016, 3.15875, 1
52, 0.854304, 3.25235, 1
53, 0.84992, 3.25632, 1
54, 0.858112, 3.22, 1
55, 0.863488, 3.1537, 1
56, 0.852416, 3.16819, 1
57, 0.852192, 3.21667, 1
58, 0.85248, 3.1649, 1
59, 0.858112, 3.16266, 1
60, 0.856064, 3.30144, 1
61, 0.860096, 3.15766, 1
62, 0.854816, 3.15242, 1
63, 0.853152, 3.21728, 1
64, 0.850272, 3.15587, 1
65, 0.86112, 3.16218, 1
66, 0.857216, 3.15597, 1
67, 0.860992, 3.15776, 1
68, 0.852896, 3.21107, 1
69, 0.862208, 3.1583, 1
70, 0.854688, 3.15507, 1
71, 0.863072, 3.22243, 1
72, 0.856064, 3.2297, 1
73, 0.863744, 3.17645, 1
74, 0.858112, 3.17731, 1
75, 0.862208, 3.25018, 1
76, 0.856608, 3.25802, 1
77, 0.866304, 3.40486, 1
78, 0.862208, 3.40189, 1
79, 0.860224, 3.23146, 1
80, 0.857696, 3.25837, 1
81, 0.864992, 3.25222, 1
82, 0.8592, 3.25574, 1
83, 0.858528, 3.25245, 1
84, 0.86016, 3.25258, 1
85, 0.859552, 3.24819, 1
86, 0.85952, 3.25245, 1
87, 0.859104, 3.25018, 1
88, 0.86016, 3.25427, 1
89, 0.86016, 3.25443, 1
90, 0.858912, 3.24592, 1
