Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_Full_GI_-_160_Surfels_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 1.79379, 0, 1
3, 0.854016, 3.48774, 1
4, 0.86416, 3.4041, 1
5, 0.857376, 3.17811, 1
6, 0.854016, 3.1727, 1
7, 0.856448, 3.1703, 1
8, 0.856, 3.17302, 1
9, 0.856384, 3.16691, 1
10, 0.853856, 3.17789, 1
11, 0.854976, 3.1761, 1
12, 0.854016, 3.17462, 1
13, 0.857056, 3.17594, 1
14, 0.854304, 3.38182, 1
15, 0.858048, 3.38534, 1
16, 0.854656, 3.38349, 1
17, 0.859488, 3.39968, 1
18, 0.8568, 3.17453, 1
19, 0.85584, 3.1696, 1
20, 0.853152, 3.38944, 1
21, 0.8568, 3.38874, 1
22, 0.857856, 3.41158, 1
23, 0.856064, 3.38739, 1
24, 0.857952, 3.03322, 1
25, 0.854752, 3.37616, 1
26, 0.853856, 3.37411, 1
27, 0.856448, 3.39805, 1
28, 0.85648, 3.38125, 1
29, 0.854016, 3.37715, 1
30, 0.855488, 3.3751, 1
31, 0.856544, 3.37526, 1
32, 0.854976, 3.38925, 1
33, 0.854368, 3.37805, 1
34, 0.853184, 3.3833, 1
35, 0.8536, 3.38144, 1
36, 0.853856, 3.37306, 1
37, 0.854112, 3.39568, 1
38, 0.859552, 3.37715, 1
39, 0.853984, 3.36938, 1
40, 0.856064, 3.37693, 1
41, 0.856064, 3.3801, 1
42, 0.851968, 3.40211, 1
43, 0.853312, 3.38269, 1
44, 0.854016, 3.37216, 1
45, 0.854656, 3.36931, 1
46, 0.855328, 3.37306, 1
47, 0.851712, 3.39053, 1
48, 0.85408, 3.36698, 1
49, 0.854016, 3.27053, 1
50, 0.852672, 3.25427, 1
51, 0.852512, 3.25018, 1
52, 0.853728, 3.36253, 1
53, 0.852032, 3.3632, 1
54, 0.853728, 3.36077, 1
55, 0.856352, 3.21536, 1
56, 0.855392, 3.36282, 1
57, 0.854848, 3.37101, 1
58, 0.854432, 3.3721, 1
59, 0.854048, 3.36022, 1
60, 0.855968, 3.36474, 1
61, 0.8528, 3.35894, 1
62, 0.852288, 3.36077, 1
63, 0.856064, 3.3647, 1
64, 0.854528, 3.37475, 1
65, 0.85408, 3.36179, 1
66, 0.85328, 3.21482, 1
67, 0.852192, 3.36128, 1
68, 0.854016, 3.21709, 1
69, 0.852832, 3.36848, 1
70, 0.854048, 3.21562, 1
71, 0.855648, 3.36499, 1
72, 0.854016, 3.21373, 1
73, 0.853504, 3.35872, 1
74, 0.855744, 3.36691, 1
75, 0.851968, 3.36115, 1
76, 0.854016, 3.36394, 1
77, 0.850336, 3.36454, 1
78, 0.851968, 3.36077, 1
79, 0.856064, 3.38115, 1
80, 0.855552, 3.3624, 1
81, 0.8536, 3.36054, 1
82, 0.855072, 3.37046, 1
83, 0.855456, 3.36576, 1
84, 0.85424, 3.21533, 1
85, 0.852896, 3.36509, 1
86, 0.855168, 3.20797, 1
87, 0.852448, 3.22166, 1
88, 0.854464, 3.20931, 1
89, 0.85168, 3.36426, 1
90, 0.854016, 3.20851, 1
