Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_Full_GI_-_160_Surfels_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 1.57696, 0, 1
3, 0.857248, 3.41402, 1
4, 0.860512, 3.42733, 1
5, 0.863744, 3.1744, 1
6, 0.855584, 3.23446, 1
7, 0.858272, 3.1664, 1
8, 0.856064, 3.17632, 1
9, 0.857664, 3.16954, 1
10, 0.856704, 3.17229, 1
11, 0.857728, 3.17325, 1
12, 0.856064, 3.1735, 1
13, 0.856032, 3.17645, 1
14, 0.857568, 3.38957, 1
15, 0.859392, 3.1703, 1
16, 0.85424, 3.38378, 1
17, 0.856512, 3.17043, 1
18, 0.854176, 3.17117, 1
19, 0.858016, 3.17706, 1
20, 0.853824, 3.17731, 1
21, 0.858624, 3.39027, 1
22, 0.858112, 3.17232, 1
23, 0.857184, 3.17206, 1
24, 0.854592, 3.38566, 1
25, 0.86448, 3.16416, 1
26, 0.856832, 3.16317, 1
27, 0.857632, 3.3792, 1
28, 0.85424, 3.37715, 1
29, 0.856064, 3.36803, 1
30, 0.858112, 3.1703, 1
31, 0.85776, 3.16317, 1
32, 0.856864, 3.37606, 1
33, 0.856192, 3.37101, 1
34, 0.866176, 3.16826, 1
35, 0.852512, 3.16477, 1
36, 0.860448, 3.16131, 1
37, 0.859328, 3.37894, 1
38, 0.856544, 3.16211, 1
39, 0.862304, 3.38026, 1
40, 0.856064, 3.16656, 1
41, 0.863232, 3.37306, 1
42, 0.856064, 3.16282, 1
43, 0.854336, 3.16826, 1
44, 0.860416, 3.3751, 1
45, 0.851488, 3.15555, 1
46, 0.862208, 3.15363, 1
47, 0.85952, 3.15648, 1
48, 0.854016, 3.16621, 1
49, 0.864416, 3.16006, 1
50, 0.85408, 3.25018, 1
51, 0.852352, 3.22298, 1
52, 0.854016, 3.21827, 1
53, 0.861408, 3.15277, 1
54, 0.853984, 3.21126, 1
55, 0.864256, 3.15574, 1
56, 0.857984, 3.2256, 1
57, 0.856128, 3.21568, 1
58, 0.854784, 3.20397, 1
59, 0.858368, 3.15488, 1
60, 0.8552, 3.21421, 1
61, 0.864256, 3.15392, 1
62, 0.850016, 3.1545, 1
63, 0.853856, 3.15936, 1
64, 0.850208, 3.23146, 1
65, 0.862048, 3.15952, 1
66, 0.855616, 3.15597, 1
67, 0.84992, 3.21741, 1
68, 0.849504, 3.15664, 1
69, 0.859616, 3.20877, 1
70, 0.86016, 3.15043, 1
71, 0.851328, 3.16042, 1
72, 0.858112, 3.21338, 1
73, 0.859904, 3.15146, 1
74, 0.856064, 3.20483, 1
75, 0.864256, 3.17536, 1
76, 0.85792, 3.17382, 1
77, 0.865984, 3.22765, 1
78, 0.856992, 3.17843, 1
79, 0.864576, 3.18938, 1
80, 0.856064, 3.23789, 1
81, 0.860768, 3.24947, 1
82, 0.86016, 3.25104, 1
83, 0.859136, 3.25686, 1
84, 0.861888, 3.24813, 1
85, 0.86832, 3.25837, 1
86, 0.867616, 3.05024, 1
87, 0.859456, 3.25411, 1
88, 0.859008, 3.40176, 1
89, 0.858944, 3.40547, 1
90, 0.858976, 3.24403, 1
