Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_Full_GI_-_160_Surfels_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 1.78525, 0, 1
3, 0.853888, 3.49187, 1
4, 0.85456, 3.40346, 1
5, 0.858112, 3.4088, 1
6, 0.854368, 3.17645, 1
7, 0.856416, 3.17258, 1
8, 0.854592, 3.17293, 1
9, 0.854016, 3.1687, 1
10, 0.856192, 3.37683, 1
11, 0.858944, 3.38698, 1
12, 0.856064, 3.40214, 1
13, 0.859968, 3.3864, 1
14, 0.858112, 3.38426, 1
15, 0.856096, 3.38739, 1
16, 0.856704, 3.39203, 1
17, 0.854912, 3.4039, 1
18, 0.856064, 3.3832, 1
19, 0.857472, 3.39562, 1
20, 0.855424, 3.38992, 1
21, 0.856064, 3.38531, 1
22, 0.85488, 3.40592, 1
23, 0.856544, 3.39763, 1
24, 0.85504, 3.38102, 1
25, 0.852544, 3.37715, 1
26, 0.856064, 3.3791, 1
27, 0.855904, 3.39699, 1
28, 0.854976, 3.37501, 1
29, 0.85632, 3.37693, 1
30, 0.858048, 3.38643, 1
31, 0.851968, 3.37965, 1
32, 0.854592, 3.39853, 1
33, 0.85408, 3.37574, 1
34, 0.856064, 3.39418, 1
35, 0.856064, 3.37507, 1
36, 0.854016, 3.38074, 1
37, 0.85456, 3.40576, 1
38, 0.854912, 3.3807, 1
39, 0.853952, 3.38294, 1
40, 0.855136, 3.3759, 1
41, 0.855168, 3.37715, 1
42, 0.85344, 3.39584, 1
43, 0.855456, 3.36854, 1
44, 0.852352, 3.36925, 1
45, 0.854016, 3.36691, 1
46, 0.855232, 3.37123, 1
47, 0.854016, 3.39606, 1
48, 0.857728, 3.37066, 1
49, 0.855872, 3.27475, 1
50, 0.852224, 3.36864, 1
51, 0.853856, 3.37062, 1
52, 0.852832, 3.36486, 1
53, 0.854624, 3.36886, 1
54, 0.852896, 3.3617, 1
55, 0.854144, 3.38102, 1
56, 0.854016, 3.36282, 1
57, 0.857856, 3.37203, 1
58, 0.856288, 3.36838, 1
59, 0.854016, 3.21974, 1
60, 0.852992, 3.36691, 1
61, 0.856064, 3.36502, 1
62, 0.855264, 3.36803, 1
63, 0.854592, 3.20918, 1
64, 0.855584, 3.22426, 1
65, 0.853312, 3.21299, 1
66, 0.853024, 3.37101, 1
67, 0.856352, 3.36445, 1
68, 0.856512, 3.36886, 1
69, 0.85344, 3.21318, 1
70, 0.85552, 3.36397, 1
71, 0.856064, 3.36077, 1
72, 0.851968, 3.36371, 1
73, 0.85504, 3.35872, 1
74, 0.85504, 3.35987, 1
75, 0.856064, 3.36582, 1
76, 0.852736, 3.21395, 1
77, 0.854784, 3.36896, 1
78, 0.856512, 3.35917, 1
79, 0.855904, 3.37661, 1
80, 0.85584, 3.21821, 1
81, 0.854016, 3.36486, 1
82, 0.852928, 3.36502, 1
83, 0.852416, 3.3655, 1
84, 0.854112, 3.2152, 1
85, 0.853696, 3.37158, 1
86, 0.856064, 3.22925, 1
87, 0.864256, 3.22147, 1
88, 0.859904, 3.23024, 1
89, 0.8528, 3.23245, 1
90, 0.85568, 3.37942, 1
