Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_GI_Off
226, 0, 3.05968, 1
227, 0, 3.05046, 1
228, 0, 3.05638, 1
229, 0, 3.05558, 1
230, 0, 3.05552, 1
231, 0, 3.0624, 1
232, 0, 3.05187, 1
233, 0, 3.05965, 1
234, 0, 3.06374, 1
235, 0, 3.05158, 1
236, 0, 3.05562, 1
237, 0, 3.05152, 1
238, 0, 3.06509, 1
239, 0, 3.0544, 1
240, 0, 3.05437, 1
241, 0, 3.05344, 1
242, 0, 3.05766, 1
243, 0, 3.06445, 1
244, 0, 3.05331, 1
245, 0, 3.05971, 1
246, 0, 3.05834, 1
247, 0, 3.06086, 1
248, 0, 3.05776, 1
249, 0, 3.05357, 1
250, 0, 3.05619, 1
251, 0, 3.0503, 1
252, 0, 3.05562, 1
253, 0, 3.06176, 1
254, 0, 3.0623, 1
255, 0, 3.06096, 1
256, 0, 3.05766, 1
257, 0, 3.06995, 1
258, 0, 3.05872, 1
259, 0, 3.06176, 1
260, 0, 3.05581, 1
261, 0, 3.05283, 1
262, 0, 3.05226, 1
263, 0, 3.05357, 1
264, 0, 3.05398, 1
265, 0, 3.05942, 1
266, 0, 3.05357, 1
267, 0, 3.05552, 1
268, 0, 3.06118, 1
269, 0, 3.05661, 1
270, 0, 3.05949, 1
271, 0, 3.05562, 1
272, 0, 3.05971, 1
273, 0, 3.05734, 1
274, 0, 3.05955, 1
275, 0, 3.05152, 1
276, 0, 3.05808, 1
277, 0, 3.06045, 1
278, 0, 3.05552, 1
279, 0, 3.05366, 1
280, 0, 3.05539, 1
281, 0, 3.05357, 1
282, 0, 3.05888, 1
283, 0, 3.06176, 1
284, 0, 3.05619, 1
285, 0, 3.05024, 1
286, 0, 3.05347, 1
287, 0, 3.05107, 1
288, 0, 3.04637, 1
289, 0, 3.05782, 1
290, 0, 3.05443, 1
291, 0, 3.05776, 1
292, 0, 3.06102, 1
293, 0, 3.05882, 1
294, 0, 3.05184, 1
295, 0, 3.05776, 1
296, 0, 3.04902, 1
297, 0, 3.05901, 1
298, 0, 3.05971, 1
299, 0, 3.05357, 1
300, 0, 3.04928, 1
301, 0, 3.04634, 1
302, 0, 3.04282, 1
303, 0, 3.05146, 1
304, 0, 3.04598, 1
305, 0, 3.04262, 1
306, 0, 3.04067, 1
307, 0, 3.04128, 1
308, 0, 3.05718, 1
309, 0, 3.04752, 1
310, 0, 3.0456, 1
311, 0, 3.0497, 1
312, 0, 3.05014, 1
313, 0, 3.0487, 1
314, 0, 3.05971, 1
315, 0, 3.05066, 1
316, 0, 3.04541, 1
317, 0, 3.05683, 1
318, 0, 3.04755, 1
319, 0, 3.03283, 1
320, 0, 3.03482, 1
321, 0, 3.03574, 1
322, 0, 3.04122, 1
323, 0, 3.04051, 1
324, 0, 3.03334, 1
325, 0, 3.0265, 1
326, 0, 3.0208, 1
327, 0, 3.01203, 1
328, 0, 3.0143, 1
329, 0, 3.00982, 1
330, 0, 3.00237, 1
331, 0, 2.98822, 1
332, 0, 2.98189, 1
333, 0, 2.9689, 1
334, 0, 2.96141, 1
335, 0, 2.94848, 1
336, 0, 2.93274, 1
337, 0, 2.92803, 1
338, 0, 2.9, 1
339, 0, 2.88608, 1
340, 0, 2.86544, 1
341, 0, 2.85629, 1
342, 0, 2.83501, 1
343, 0, 2.8201, 1
344, 0, 2.80166, 1
345, 0, 2.77914, 1
346, 0, 2.76902, 1
347, 0, 2.7495, 1
348, 0, 2.72422, 1
349, 0, 2.71251, 1
350, 0, 2.68634, 1
351, 0, 2.67878, 1
352, 0, 2.68362, 1
353, 0, 2.67878, 1
354, 0, 2.67923, 1
355, 0, 2.67664, 1
356, 0, 2.67469, 1
357, 0, 2.67878, 1
358, 0, 2.67469, 1
359, 0, 2.67674, 1
360, 0, 2.67302, 1
361, 0, 2.67814, 1
362, 0, 2.68218, 1
363, 0, 2.68083, 1
364, 0, 2.68083, 1
365, 0, 2.67059, 1
366, 0, 2.68083, 1
367, 0, 2.68083, 1
368, 0, 2.67786, 1
369, 0, 2.67878, 1
370, 0, 2.67674, 1
371, 0, 2.6809, 1
372, 0, 2.67741, 1
373, 0, 2.68474, 1
374, 0, 2.67574, 1
375, 0, 2.67872, 1
376, 0, 2.6817, 1
377, 0, 2.67674, 1
378, 0, 2.67878, 1
379, 0, 2.67472, 1
380, 0, 2.67414, 1
381, 0, 2.68083, 1
382, 0, 2.68307, 1
383, 0, 2.67885, 1
384, 0, 2.67638, 1
385, 0, 2.68128, 1
386, 0, 2.68083, 1
387, 0, 2.67734, 1
388, 0, 2.67562, 1
389, 0, 2.68416, 1
390, 0, 2.67878, 1
391, 0, 2.68198, 1
392, 0, 2.67898, 1
393, 0, 2.67866, 1
394, 0, 2.67674, 1
395, 0, 2.68061, 1
396, 0, 2.67834, 1
397, 0, 2.6775, 1
398, 0, 2.6801, 1
399, 0, 2.67894, 1
400, 0, 2.68083, 1
401, 0, 2.68416, 1
402, 0, 2.67626, 1
403, 0, 2.68291, 1
404, 0, 2.67878, 1
405, 0, 2.67581, 1
406, 0, 2.67811, 1
407, 0, 2.67693, 1
408, 0, 2.67674, 1
409, 0, 2.67411, 1
410, 0, 2.67674, 1
411, 0, 2.6823, 1
412, 0, 2.68282, 1
413, 0, 2.68051, 1
414, 0, 2.68493, 1
415, 0, 2.68035, 1
416, 0, 2.68288, 1
417, 0, 2.6808, 1
418, 0, 2.67805, 1
419, 0, 2.67565, 1
420, 0, 2.67322, 1
421, 0, 2.68166, 1
422, 0, 2.68051, 1
423, 0, 2.67517, 1
424, 0, 2.67872, 1
425, 0, 2.6776, 1
426, 0, 2.67469, 1
427, 0, 2.67795, 1
428, 0, 2.68256, 1
429, 0, 2.68243, 1
430, 0, 2.67984, 1
431, 0, 2.67878, 1
432, 0, 2.6775, 1
433, 0, 2.67562, 1
434, 0, 2.67552, 1
435, 0, 2.68093, 1
436, 0, 2.67866, 1
437, 0, 2.67878, 1
438, 0, 2.66957, 1
439, 0, 2.67971, 1
440, 0, 2.67994, 1
441, 0, 2.68083, 1
442, 0, 2.68426, 1
443, 0, 2.67869, 1
444, 0, 2.67453, 1
445, 0, 2.67878, 1
446, 0, 2.68106, 1
447, 0, 2.67635, 1
448, 0, 2.67674, 1
449, 0, 2.67168, 1
450, 0, 2.68394, 1
451, 0, 2.68477, 1
452, 0, 2.68013, 1
453, 0, 2.67891, 1
454, 0, 2.676, 1
455, 0, 2.67683, 1
456, 0, 2.68288, 1
457, 0, 2.67363, 1
458, 0, 2.67805, 1
459, 0, 2.67747, 1
460, 0, 2.67978, 1
461, 0, 2.67824, 1
462, 0, 2.67469, 1
463, 0, 2.67469, 1
464, 0, 2.68538, 1
465, 0, 2.67885, 1
466, 0, 2.68288, 1
467, 0, 2.67965, 1
468, 0, 2.6792, 1
469, 0, 2.67978, 1
470, 0, 2.67517, 1
471, 0, 2.67952, 1
472, 0, 2.67674, 1
473, 0, 2.67453, 1
474, 0, 2.67331, 1
475, 0, 2.67667, 1
476, 0, 2.67514, 1
477, 0, 2.67674, 1
478, 0, 2.68006, 1
479, 0, 2.67776, 1
480, 0, 2.68083, 1
481, 0, 2.67674, 1
482, 0, 2.68077, 1
483, 0, 2.67056, 1
484, 0, 2.68022, 1
485, 0, 2.67523, 1
486, 0, 2.68006, 1
487, 0, 2.67923, 1
488, 0, 2.67469, 1
489, 0, 2.68288, 1
490, 0, 2.68083, 1
491, 0, 2.67555, 1
492, 0, 2.67792, 1
493, 0, 2.67882, 1
494, 0, 2.67789, 1
495, 0, 2.68493, 1
496, 0, 2.67677, 1
497, 0, 2.67357, 1
498, 0, 2.68032, 1
499, 0, 2.6807, 1
500, 0, 2.67622, 1
501, 0, 2.67878, 1
502, 0, 2.67222, 1
503, 0, 2.68371, 1
504, 0, 2.67891, 1
505, 0, 2.68288, 1
506, 0, 2.67472, 1
507, 0, 2.67904, 1
508, 0, 2.67875, 1
509, 0, 2.67984, 1
510, 0, 2.68493, 1
511, 0, 2.67802, 1
512, 0, 2.6785, 1
513, 0, 2.67667, 1
514, 0, 2.67904, 1
515, 0, 2.6679, 1
516, 0, 2.67469, 1
517, 0, 2.67469, 1
518, 0, 2.68096, 1
519, 0, 2.67674, 1
520, 0, 2.67059, 1
521, 0, 2.67674, 1
522, 0, 2.67763, 1
523, 0, 2.68493, 1
524, 0, 2.67862, 1
525, 0, 2.68253, 1
526, 0, 2.68083, 1
527, 0, 2.67878, 1
528, 0, 2.67354, 1
529, 0, 2.68096, 1
530, 0, 2.6752, 1
531, 0, 2.68288, 1
532, 0, 2.67616, 1
533, 0, 2.67702, 1
534, 0, 2.67984, 1
535, 0, 2.67853, 1
536, 0, 2.67894, 1
537, 0, 2.68493, 1
538, 0, 2.67616, 1
539, 0, 2.67264, 1
540, 0, 2.67638, 1
541, 0, 2.68278, 1
542, 0, 2.67984, 1
543, 0, 2.67898, 1
544, 0, 2.67264, 1
545, 0, 2.67674, 1
546, 0, 2.67872, 1
547, 0, 2.67661, 1
548, 0, 2.67674, 1
549, 0, 2.6727, 1
550, 0, 2.67933, 1
551, 0, 2.67677, 1
552, 0, 2.67782, 1
553, 0, 2.67203, 1
554, 0, 2.67702, 1
555, 0, 2.67104, 1
556, 0, 2.67322, 1
557, 0, 2.67782, 1
558, 0, 2.67635, 1
559, 0, 2.67603, 1
560, 0, 2.6792, 1
561, 0, 2.67075, 1
562, 0, 2.67571, 1
563, 0, 2.68026, 1
564, 0, 2.6768, 1
565, 0, 2.68682, 1
566, 0, 2.68134, 1
567, 0, 2.68026, 1
568, 0, 2.68118, 1
569, 0, 2.68099, 1
570, 0, 2.67466, 1
571, 0, 2.68262, 1
572, 0, 2.67878, 1
573, 0, 2.68038, 1
574, 0, 2.67629, 1
575, 0, 2.67856, 1
576, 0, 2.67248, 1
577, 0, 2.67888, 1
578, 0, 2.68019, 1
579, 0, 2.67235, 1
580, 0, 2.68211, 1
581, 0, 2.67536, 1
582, 0, 2.68006, 1
583, 0, 2.68294, 1
584, 0, 2.68214, 1
585, 0, 2.67805, 1
586, 0, 2.67248, 1
587, 0, 2.67565, 1
588, 0, 2.68083, 1
589, 0, 2.68352, 1
590, 0, 2.67469, 1
591, 0, 2.67638, 1
592, 0, 2.67571, 1
593, 0, 2.67946, 1
594, 0, 2.6793, 1
595, 0, 2.67661, 1
596, 0, 2.67878, 1
597, 0, 2.67469, 1
598, 0, 2.68042, 1
599, 0, 2.68045, 1
600, 0, 2.67878, 1
