Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_GI_Off
0, 0, 0, 1
1, 0, 0, 1
2, 0, 0, 1
3, 0, 3.29238, 1
4, 0, 3.34848, 1
5, 0, 3.23427, 1
6, 0, 3.25005, 1
7, 0, 3.22525, 1
8, 0, 3.21741, 1
9, 0, 3.21965, 1
10, 0, 3.22477, 1
11, 0, 3.21741, 1
12, 0, 3.24893, 1
13, 0, 3.22202, 1
14, 0, 3.22163, 1
15, 0, 3.2256, 1
16, 0, 3.23418, 1
17, 0, 3.22355, 1
18, 0, 3.24835, 1
19, 0, 3.22355, 1
20, 0, 3.21744, 1
21, 0, 3.22893, 1
22, 0, 3.22768, 1
23, 0, 3.21741, 1
24, 0, 3.23472, 1
25, 0, 3.22157, 1
26, 0, 3.21974, 1
27, 0, 3.21536, 1
28, 0, 3.21181, 1
29, 0, 3.2183, 1
30, 0, 3.23174, 1
31, 0, 3.21536, 1
32, 0, 3.20922, 1
33, 0, 3.22141, 1
34, 0, 3.22326, 1
35, 0, 3.21395, 1
36, 0, 3.24192, 1
37, 0, 3.2096, 1
38, 0, 3.21392, 1
39, 0, 3.21536, 1
40, 0, 3.21536, 1
41, 0, 3.20922, 1
42, 0, 3.22989, 1
43, 0, 3.21741, 1
44, 0, 3.20947, 1
45, 0, 3.21126, 1
46, 0, 3.20486, 1
47, 0, 3.21203, 1
48, 0, 3.21389, 1
49, 0, 3.2297, 1
50, 0, 3.20909, 1
51, 0, 3.20634, 1
52, 0, 3.21536, 1
53, 0, 3.2168, 1
54, 0, 3.20426, 1
55, 0, 3.22602, 1
56, 0, 3.11328, 1
57, 0, 3.0903, 1
58, 0, 3.08061, 1
59, 0, 3.05562, 1
60, 0, 3.05274, 1
61, 0, 3.0449, 1
62, 0, 3.04957, 1
63, 0, 3.0465, 1
64, 0, 3.05578, 1
65, 0, 3.05613, 1
66, 0, 3.05334, 1
67, 0, 3.04067, 1
68, 0, 3.04608, 1
69, 0, 3.05357, 1
70, 0, 3.04026, 1
71, 0, 3.04528, 1
72, 0, 3.04291, 1
73, 0, 3.04525, 1
74, 0, 3.04742, 1
75, 0, 3.05312, 1
76, 0, 3.04874, 1
77, 0, 3.03914, 1
78, 0, 3.04765, 1
79, 0, 3.04947, 1
80, 0, 3.04714, 1
81, 0, 3.04624, 1
82, 0, 3.04278, 1
83, 0, 3.04666, 1
84, 0, 3.04742, 1
85, 0, 3.04534, 1
86, 0, 3.0529, 1
87, 0, 3.04736, 1
88, 0, 3.05469, 1
89, 0, 3.04387, 1
90, 0, 3.04259, 1
91, 0, 3.04333, 1
92, 0, 3.04742, 1
93, 0, 3.0449, 1
94, 0, 3.04138, 1
95, 0, 3.04198, 1
96, 0, 3.04538, 1
97, 0, 3.05194, 1
98, 0, 3.05014, 1
99, 0, 3.04995, 1
100, 0, 3.04128, 1
101, 0, 3.04211, 1
102, 0, 3.05152, 1
103, 0, 3.04538, 1
104, 0, 3.04538, 1
105, 0, 3.04333, 1
106, 0, 3.04323, 1
107, 0, 3.05555, 1
108, 0, 3.0464, 1
109, 0, 3.04365, 1
110, 0, 3.04301, 1
