Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_GI_Off
0, 0, 0, 1
1, 0, 0, 1
2, 0, 0, 1
3, 0, 2.73638, 1
4, 0, 3.31194, 1
5, 0, 3.15581, 1
6, 0, 3.26019, 1
7, 0, 3.24394, 1
8, 0, 3.24794, 1
9, 0, 3.24608, 1
10, 0, 3.23994, 1
11, 0, 3.26576, 1
12, 0, 3.25117, 1
13, 0, 3.23949, 1
14, 0, 3.24813, 1
15, 0, 3.2424, 1
16, 0, 3.09248, 1
17, 0, 3.2687, 1
18, 0, 3.24202, 1
19, 0, 3.24403, 1
20, 0, 3.23446, 1
21, 0, 3.25667, 1
22, 0, 3.24813, 1
23, 0, 3.25581, 1
24, 0, 3.25907, 1
25, 0, 3.24512, 1
26, 0, 3.23786, 1
27, 0, 3.24275, 1
28, 0, 3.22931, 1
29, 0, 3.25222, 1
30, 0, 3.24656, 1
31, 0, 3.23392, 1
32, 0, 3.23379, 1
33, 0, 3.23165, 1
34, 0, 3.23584, 1
35, 0, 3.22765, 1
36, 0, 3.26592, 1
37, 0, 3.2327, 1
38, 0, 3.23616, 1
39, 0, 3.23568, 1
40, 0, 3.23542, 1
41, 0, 3.23997, 1
42, 0, 3.25229, 1
43, 0, 3.23789, 1
44, 0, 3.22998, 1
45, 0, 3.23706, 1
46, 0, 3.23392, 1
47, 0, 3.24323, 1
48, 0, 3.24458, 1
49, 0, 3.22611, 1
50, 0, 3.23789, 1
51, 0, 3.22912, 1
52, 0, 3.22643, 1
53, 0, 3.23584, 1
54, 0, 3.25427, 1
55, 0, 3.23379, 1
56, 0, 3.23379, 1
57, 0, 3.11722, 1
58, 0, 3.10992, 1
59, 0, 3.10995, 1
60, 0, 3.07405, 1
61, 0, 3.05939, 1
62, 0, 3.07171, 1
63, 0, 3.08205, 1
64, 0, 3.0761, 1
65, 0, 3.0711, 1
66, 0, 3.0808, 1
67, 0, 3.07405, 1
68, 0, 3.07363, 1
69, 0, 3.07213, 1
70, 0, 3.07581, 1
71, 0, 3.06771, 1
72, 0, 3.07782, 1
73, 0, 3.07405, 1
74, 0, 3.06995, 1
75, 0, 3.0679, 1
76, 0, 3.06995, 1
77, 0, 3.07421, 1
78, 0, 3.06794, 1
79, 0, 3.07005, 1
80, 0, 3.072, 1
81, 0, 3.07405, 1
82, 0, 3.072, 1
83, 0, 3.06934, 1
84, 0, 3.07734, 1
85, 0, 3.07027, 1
86, 0, 3.0673, 1
87, 0, 3.07402, 1
88, 0, 3.07011, 1
89, 0, 3.07187, 1
90, 0, 3.07142, 1
91, 0, 3.07539, 1
92, 0, 3.06893, 1
93, 0, 3.06586, 1
94, 0, 3.0809, 1
95, 0, 3.07427, 1
96, 0, 3.07795, 1
97, 0, 3.06982, 1
98, 0, 3.07744, 1
99, 0, 3.07654, 1
100, 0, 3.0679, 1
101, 0, 3.072, 1
102, 0, 3.072, 1
103, 0, 3.06739, 1
104, 0, 3.06842, 1
105, 0, 3.07098, 1
106, 0, 3.06787, 1
107, 0, 3.07261, 1
108, 0, 3.07101, 1
109, 0, 3.07498, 1
110, 0, 3.06851, 1
