Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_GI_Off
0, 0, 0, 1
1, 0, 0, 1
2, 0, 0, 1
3, 0, 2.84198, 1
4, 0, 3.1008, 1
5, 0, 3.13139, 1
6, 0, 3.23379, 1
7, 0, 3.23296, 1
8, 0, 3.23379, 1
9, 0, 3.2215, 1
10, 0, 3.21555, 1
11, 0, 3.24432, 1
12, 0, 3.21907, 1
13, 0, 3.22448, 1
14, 0, 3.22112, 1
15, 0, 3.2208, 1
16, 0, 3.2233, 1
17, 0, 3.23568, 1
18, 0, 3.22781, 1
19, 0, 3.23507, 1
20, 0, 3.22518, 1
21, 0, 3.21731, 1
22, 0, 3.22755, 1
23, 0, 3.24496, 1
24, 0, 3.22765, 1
25, 0, 3.21802, 1
26, 0, 3.2216, 1
27, 0, 3.21648, 1
28, 0, 3.21357, 1
29, 0, 3.20602, 1
30, 0, 3.23379, 1
31, 0, 3.20358, 1
32, 0, 3.20307, 1
33, 0, 3.21331, 1
34, 0, 3.22355, 1
35, 0, 3.2112, 1
36, 0, 3.22717, 1
37, 0, 3.20733, 1
38, 0, 3.20922, 1
39, 0, 3.21152, 1
40, 0, 3.2072, 1
41, 0, 3.21542, 1
42, 0, 3.23306, 1
43, 0, 3.21126, 1
44, 0, 3.21536, 1
45, 0, 3.20717, 1
46, 0, 3.20365, 1
47, 0, 3.21536, 1
48, 0, 3.22582, 1
49, 0, 3.21565, 1
50, 0, 3.21104, 1
51, 0, 3.21126, 1
52, 0, 3.21322, 1
53, 0, 3.20848, 1
54, 0, 3.22746, 1
55, 0, 3.20176, 1
56, 0, 3.21037, 1
57, 0, 3.20717, 1
58, 0, 3.11837, 1
59, 0, 3.08941, 1
60, 0, 3.08634, 1
61, 0, 3.04554, 1
62, 0, 3.04538, 1
63, 0, 3.04726, 1
64, 0, 3.06352, 1
65, 0, 3.05357, 1
66, 0, 3.04742, 1
67, 0, 3.06384, 1
68, 0, 3.04752, 1
69, 0, 3.04538, 1
70, 0, 3.04026, 1
71, 0, 3.04819, 1
72, 0, 3.04685, 1
73, 0, 3.05395, 1
74, 0, 3.04675, 1
75, 0, 3.0439, 1
76, 0, 3.0465, 1
77, 0, 3.03923, 1
78, 0, 3.0496, 1
79, 0, 3.05424, 1
80, 0, 3.05606, 1
81, 0, 3.05107, 1
82, 0, 3.04947, 1
83, 0, 3.04538, 1
84, 0, 3.05152, 1
85, 0, 3.05331, 1
86, 0, 3.04742, 1
87, 0, 3.04656, 1
88, 0, 3.04829, 1
89, 0, 3.04874, 1
90, 0, 3.04701, 1
91, 0, 3.05242, 1
92, 0, 3.04352, 1
93, 0, 3.04538, 1
94, 0, 3.04579, 1
95, 0, 3.04538, 1
96, 0, 3.04365, 1
97, 0, 3.05062, 1
98, 0, 3.0511, 1
99, 0, 3.04963, 1
100, 0, 3.04195, 1
101, 0, 3.05123, 1
102, 0, 3.04301, 1
103, 0, 3.05312, 1
104, 0, 3.04454, 1
105, 0, 3.04493, 1
106, 0, 3.04742, 1
107, 0, 3.04118, 1
108, 0, 3.04934, 1
109, 0, 3.04947, 1
110, 0, 3.05126, 1
