Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_GI_Off
0, 0, 0, 1
1, 0, 0, 1
2, 0, 0, 1
3, 0, 3.28838, 1
4, 0, 3.31763, 1
5, 0, 3.25837, 1
6, 0, 3.27738, 1
7, 0, 3.25155, 1
8, 0, 3.23962, 1
9, 0, 3.24048, 1
10, 0, 3.23472, 1
11, 0, 3.23334, 1
12, 0, 3.25837, 1
13, 0, 3.2391, 1
14, 0, 3.24198, 1
15, 0, 3.24163, 1
16, 0, 3.24746, 1
17, 0, 3.25018, 1
18, 0, 3.24464, 1
19, 0, 3.27104, 1
20, 0, 3.23773, 1
21, 0, 3.24205, 1
22, 0, 3.23939, 1
23, 0, 3.24483, 1
24, 0, 3.24944, 1
25, 0, 3.26298, 1
26, 0, 3.23718, 1
27, 0, 3.23952, 1
28, 0, 3.24422, 1
29, 0, 3.2408, 1
30, 0, 3.23811, 1
31, 0, 3.2367, 1
32, 0, 3.25222, 1
33, 0, 3.23994, 1
34, 0, 3.23632, 1
35, 0, 3.23584, 1
36, 0, 3.23594, 1
37, 0, 3.23152, 1
38, 0, 3.25174, 1
39, 0, 3.23174, 1
40, 0, 3.23904, 1
41, 0, 3.23139, 1
42, 0, 3.22768, 1
43, 0, 3.25232, 1
44, 0, 3.24157, 1
45, 0, 3.23203, 1
46, 0, 3.23206, 1
47, 0, 3.23446, 1
48, 0, 3.23581, 1
49, 0, 3.2296, 1
50, 0, 3.25526, 1
51, 0, 3.2297, 1
52, 0, 3.2399, 1
53, 0, 3.22624, 1
54, 0, 3.22973, 1
55, 0, 3.23654, 1
56, 0, 3.1503, 1
57, 0, 3.11059, 1
58, 0, 3.10682, 1
59, 0, 3.0761, 1
60, 0, 3.07405, 1
61, 0, 3.06906, 1
62, 0, 3.06627, 1
63, 0, 3.072, 1
64, 0, 3.06845, 1
65, 0, 3.08358, 1
66, 0, 3.07994, 1
67, 0, 3.07798, 1
68, 0, 3.06845, 1
69, 0, 3.06957, 1
70, 0, 3.07603, 1
71, 0, 3.07248, 1
72, 0, 3.07536, 1
73, 0, 3.072, 1
74, 0, 3.07267, 1
75, 0, 3.07155, 1
76, 0, 3.0761, 1
77, 0, 3.07398, 1
78, 0, 3.08032, 1
79, 0, 3.07389, 1
80, 0, 3.0679, 1
81, 0, 3.072, 1
82, 0, 3.06813, 1
83, 0, 3.07238, 1
84, 0, 3.06819, 1
85, 0, 3.06531, 1
86, 0, 3.07405, 1
87, 0, 3.0695, 1
88, 0, 3.07578, 1
89, 0, 3.06995, 1
90, 0, 3.07546, 1
91, 0, 3.07306, 1
92, 0, 3.07357, 1
93, 0, 3.06995, 1
94, 0, 3.07824, 1
95, 0, 3.06848, 1
96, 0, 3.08019, 1
97, 0, 3.07469, 1
98, 0, 3.07171, 1
99, 0, 3.06384, 1
100, 0, 3.07274, 1
101, 0, 3.07248, 1
102, 0, 3.07472, 1
103, 0, 3.07354, 1
104, 0, 3.07622, 1
105, 0, 3.07546, 1
106, 0, 3.06586, 1
107, 0, 3.07619, 1
108, 0, 3.072, 1
109, 0, 3.07418, 1
110, 0, 3.07254, 1
