Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_GI_Off
0, 0, 0, 1
1, 0, 0, 1
2, 0, 0, 1
3, 0, 3.26496, 1
4, 0, 3.29027, 1
5, 0, 3.23437, 1
6, 0, 3.25018, 1
7, 0, 3.21245, 1
8, 0, 3.21318, 1
9, 0, 3.21638, 1
10, 0, 3.22906, 1
11, 0, 3.2177, 1
12, 0, 3.24547, 1
13, 0, 3.21837, 1
14, 0, 3.21936, 1
15, 0, 3.20733, 1
16, 0, 3.21946, 1
17, 0, 3.21565, 1
18, 0, 3.20717, 1
19, 0, 3.24256, 1
20, 0, 3.21309, 1
21, 0, 3.21741, 1
22, 0, 3.23126, 1
23, 0, 3.21373, 1
24, 0, 3.21942, 1
25, 0, 3.23376, 1
26, 0, 3.21555, 1
27, 0, 3.21187, 1
28, 0, 3.20227, 1
29, 0, 3.20726, 1
30, 0, 3.21229, 1
31, 0, 3.22883, 1
32, 0, 3.20717, 1
33, 0, 3.21418, 1
34, 0, 3.20842, 1
35, 0, 3.20307, 1
36, 0, 3.20922, 1
37, 0, 3.22765, 1
38, 0, 3.20349, 1
39, 0, 3.21677, 1
40, 0, 3.20694, 1
41, 0, 3.20765, 1
42, 0, 3.20346, 1
43, 0, 3.22618, 1
44, 0, 3.21331, 1
45, 0, 3.21536, 1
46, 0, 3.21139, 1
47, 0, 3.21498, 1
48, 0, 3.21536, 1
49, 0, 3.22269, 1
50, 0, 3.20781, 1
51, 0, 3.21126, 1
52, 0, 3.21741, 1
53, 0, 3.21101, 1
54, 0, 3.20509, 1
55, 0, 3.22272, 1
56, 0, 3.10893, 1
57, 0, 3.08966, 1
58, 0, 3.08554, 1
59, 0, 3.05357, 1
60, 0, 3.04659, 1
61, 0, 3.05395, 1
62, 0, 3.0609, 1
63, 0, 3.05446, 1
64, 0, 3.04467, 1
65, 0, 3.05766, 1
66, 0, 3.05971, 1
67, 0, 3.04474, 1
68, 0, 3.05693, 1
69, 0, 3.04547, 1
70, 0, 3.048, 1
71, 0, 3.04736, 1
72, 0, 3.05357, 1
73, 0, 3.04886, 1
74, 0, 3.04128, 1
75, 0, 3.05248, 1
76, 0, 3.05142, 1
77, 0, 3.04947, 1
78, 0, 3.04435, 1
79, 0, 3.05152, 1
80, 0, 3.04474, 1
81, 0, 3.04947, 1
82, 0, 3.04832, 1
83, 0, 3.05264, 1
84, 0, 3.04352, 1
85, 0, 3.05936, 1
86, 0, 3.05181, 1
87, 0, 3.04742, 1
88, 0, 3.0513, 1
89, 0, 3.05152, 1
90, 0, 3.04806, 1
91, 0, 3.05002, 1
92, 0, 3.04454, 1
93, 0, 3.05014, 1
94, 0, 3.0447, 1
95, 0, 3.04947, 1
96, 0, 3.04538, 1
97, 0, 3.04714, 1
98, 0, 3.06678, 1
99, 0, 3.05258, 1
100, 0, 3.05258, 1
101, 0, 3.05514, 1
102, 0, 3.0511, 1
103, 0, 3.05014, 1
104, 0, 3.05357, 1
105, 0, 3.04333, 1
106, 0, 3.04688, 1
107, 0, 3.04538, 1
108, 0, 3.05254, 1
109, 0, 3.048, 1
110, 0, 3.04534, 1
