Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_GI_Off
0, 0, 0, 1
1, 0, 0, 1
2, 0, 0, 1
3, 0, 2.8713, 1
4, 0, 3.34026, 1
5, 0, 3.04128, 1
6, 0, 3.23891, 1
7, 0, 3.24218, 1
8, 0, 3.23654, 1
9, 0, 3.23174, 1
10, 0, 3.26525, 1
11, 0, 3.24595, 1
12, 0, 3.23683, 1
13, 0, 3.23472, 1
14, 0, 3.2512, 1
15, 0, 3.24899, 1
16, 0, 3.24387, 1
17, 0, 3.27485, 1
18, 0, 3.23994, 1
19, 0, 3.24624, 1
20, 0, 3.24211, 1
21, 0, 3.24176, 1
22, 0, 3.24608, 1
23, 0, 3.27002, 1
24, 0, 3.24582, 1
25, 0, 3.25587, 1
26, 0, 3.23827, 1
27, 0, 3.2297, 1
28, 0, 3.25018, 1
29, 0, 3.2297, 1
30, 0, 3.23574, 1
31, 0, 3.23552, 1
32, 0, 3.25098, 1
33, 0, 3.24038, 1
34, 0, 3.23379, 1
35, 0, 3.26928, 1
36, 0, 3.23994, 1
37, 0, 3.248, 1
38, 0, 3.23379, 1
39, 0, 3.23958, 1
40, 0, 3.2295, 1
41, 0, 3.24634, 1
42, 0, 3.23459, 1
43, 0, 3.22765, 1
44, 0, 3.22627, 1
45, 0, 3.2296, 1
46, 0, 3.2455, 1
47, 0, 3.25898, 1
48, 0, 3.23763, 1
49, 0, 3.23206, 1
50, 0, 3.22506, 1
51, 0, 3.23597, 1
52, 0, 3.23594, 1
53, 0, 3.24675, 1
54, 0, 3.24474, 1
55, 0, 3.23514, 1
56, 0, 3.23466, 1
57, 0, 3.1191, 1
58, 0, 3.11139, 1
59, 0, 3.11203, 1
60, 0, 3.0799, 1
61, 0, 3.07814, 1
62, 0, 3.08227, 1
63, 0, 3.0841, 1
64, 0, 3.0848, 1
65, 0, 3.0743, 1
66, 0, 3.07891, 1
67, 0, 3.08019, 1
68, 0, 3.0679, 1
69, 0, 3.08829, 1
70, 0, 3.07402, 1
71, 0, 3.072, 1
72, 0, 3.06349, 1
73, 0, 3.07965, 1
74, 0, 3.07066, 1
75, 0, 3.07405, 1
76, 0, 3.07347, 1
77, 0, 3.06995, 1
78, 0, 3.06992, 1
79, 0, 3.07805, 1
80, 0, 3.0703, 1
81, 0, 3.06381, 1
82, 0, 3.07606, 1
83, 0, 3.06678, 1
84, 0, 3.07405, 1
85, 0, 3.0649, 1
86, 0, 3.07434, 1
87, 0, 3.0785, 1
88, 0, 3.07104, 1
89, 0, 3.07635, 1
90, 0, 3.06995, 1
91, 0, 3.07341, 1
92, 0, 3.07008, 1
93, 0, 3.07027, 1
94, 0, 3.0761, 1
95, 0, 3.06586, 1
96, 0, 3.07242, 1
97, 0, 3.07366, 1
98, 0, 3.06829, 1
99, 0, 3.07104, 1
100, 0, 3.0688, 1
101, 0, 3.07133, 1
102, 0, 3.07117, 1
103, 0, 3.06995, 1
104, 0, 3.07645, 1
105, 0, 3.06858, 1
106, 0, 3.08019, 1
107, 0, 3.0679, 1
108, 0, 3.07718, 1
109, 0, 3.08019, 1
110, 0, 3.0753, 1
