Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_GI_Off
0, 0, 0, 1
1, 0, 0, 1
2, 0, 0, 1
3, 0, 3.01197, 1
4, 0, 3.02883, 1
5, 0, 3.01472, 1
6, 0, 3.23587, 1
7, 0, 3.21651, 1
8, 0, 3.22989, 1
9, 0, 3.2297, 1
10, 0, 3.2191, 1
11, 0, 3.23795, 1
12, 0, 3.23738, 1
13, 0, 3.21178, 1
14, 0, 3.22157, 1
15, 0, 3.21744, 1
16, 0, 3.22506, 1
17, 0, 3.21894, 1
18, 0, 3.23181, 1
19, 0, 3.22189, 1
20, 0, 3.21811, 1
21, 0, 3.22275, 1
22, 0, 3.2208, 1
23, 0, 3.21958, 1
24, 0, 3.24218, 1
25, 0, 3.21642, 1
26, 0, 3.21357, 1
27, 0, 3.21946, 1
28, 0, 3.21418, 1
29, 0, 3.20966, 1
30, 0, 3.2271, 1
31, 0, 3.2151, 1
32, 0, 3.20717, 1
33, 0, 3.20691, 1
34, 0, 3.21005, 1
35, 0, 3.21741, 1
36, 0, 3.22694, 1
37, 0, 3.21331, 1
38, 0, 3.20963, 1
39, 0, 3.20643, 1
40, 0, 3.21261, 1
41, 0, 3.21514, 1
42, 0, 3.22854, 1
43, 0, 3.21072, 1
44, 0, 3.21126, 1
45, 0, 3.21542, 1
46, 0, 3.21008, 1
47, 0, 3.21702, 1
48, 0, 3.232, 1
49, 0, 3.21219, 1
50, 0, 3.2072, 1
51, 0, 3.21043, 1
52, 0, 3.20643, 1
53, 0, 3.20717, 1
54, 0, 3.23789, 1
55, 0, 3.21341, 1
56, 0, 3.20413, 1
57, 0, 3.20922, 1
58, 0, 3.1025, 1
59, 0, 3.08784, 1
60, 0, 3.08496, 1
61, 0, 3.04538, 1
62, 0, 3.0409, 1
63, 0, 3.05357, 1
64, 0, 3.05462, 1
65, 0, 3.05683, 1
66, 0, 3.04598, 1
67, 0, 3.05738, 1
68, 0, 3.04538, 1
69, 0, 3.05075, 1
70, 0, 3.04563, 1
71, 0, 3.04685, 1
72, 0, 3.05072, 1
73, 0, 3.04333, 1
74, 0, 3.05517, 1
75, 0, 3.04947, 1
76, 0, 3.04765, 1
77, 0, 3.04797, 1
78, 0, 3.05152, 1
79, 0, 3.04538, 1
80, 0, 3.04896, 1
81, 0, 3.04422, 1
82, 0, 3.0513, 1
83, 0, 3.04922, 1
84, 0, 3.0481, 1
85, 0, 3.04573, 1
86, 0, 3.05152, 1
87, 0, 3.03968, 1
88, 0, 3.03923, 1
89, 0, 3.03818, 1
90, 0, 3.03939, 1
91, 0, 3.04947, 1
92, 0, 3.05181, 1
93, 0, 3.04285, 1
94, 0, 3.04451, 1
95, 0, 3.04534, 1
96, 0, 3.04426, 1
97, 0, 3.04435, 1
98, 0, 3.0488, 1
99, 0, 3.04538, 1
100, 0, 3.04349, 1
101, 0, 3.0377, 1
102, 0, 3.04893, 1
103, 0, 3.05069, 1
104, 0, 3.04742, 1
105, 0, 3.04342, 1
106, 0, 3.04189, 1
107, 0, 3.04154, 1
108, 0, 3.04947, 1
109, 0, 3.05152, 1
110, 0, 3.05562, 1
