Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_Full_GI_-_128_Surfels_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 1.27392, 0, 1
3, 0.731136, 3.00694, 1
4, 0.714336, 3.45462, 1
5, 0.715488, 3.17648, 1
6, 0.715936, 3.14346, 1
7, 0.713632, 3.1785, 1
8, 0.714016, 3.17056, 1
9, 0.714752, 3.23466, 1
10, 0.713952, 3.17392, 1
11, 0.715424, 3.17318, 1
12, 0.71392, 3.16867, 1
13, 0.714752, 3.14643, 1
14, 0.714752, 3.17235, 1
15, 0.715296, 3.17699, 1
16, 0.71408, 3.17069, 1
17, 0.714752, 3.17418, 1
18, 0.713248, 3.1657, 1
19, 0.71424, 3.16195, 1
20, 0.711488, 3.17805, 1
21, 0.710848, 3.17952, 1
22, 0.714208, 3.1703, 1
23, 0.712704, 3.1727, 1
24, 0.712704, 3.16896, 1
25, 0.712224, 3.23312, 1
26, 0.713472, 3.16973, 1
27, 0.714528, 3.16694, 1
28, 0.710656, 3.14778, 1
29, 0.711776, 3.1648, 1
30, 0.713024, 3.16438, 1
31, 0.7168, 3.15056, 1
32, 0.71312, 3.3792, 1
33, 0.71232, 3.16621, 1
34, 0.711744, 3.17373, 1
35, 0.712512, 3.2256, 1
36, 0.71056, 3.16544, 1
37, 0.71088, 3.16806, 1
38, 0.714528, 3.16893, 1
39, 0.709664, 3.16678, 1
40, 0.718848, 3.17363, 1
41, 0.712704, 3.16678, 1
42, 0.708608, 3.16448, 1
43, 0.719168, 3.16784, 1
44, 0.711072, 3.38326, 1
45, 0.710656, 3.16787, 1
46, 0.721088, 3.1616, 1
47, 0.708608, 3.15597, 1
48, 0.710656, 3.15802, 1
49, 0.714848, 3.1785, 1
50, 0.70896, 3.16416, 1
51, 0.710464, 3.16602, 1
52, 0.718976, 3.15773, 1
53, 0.711328, 3.15677, 1
54, 0.712032, 3.15597, 1
55, 0.718368, 3.16112, 1
56, 0.712704, 3.2081, 1
57, 0.71984, 3.16006, 1
58, 0.70656, 3.15667, 1
59, 0.716896, 3.15734, 1
60, 0.71008, 3.16592, 1
61, 0.718784, 3.2207, 1
62, 0.710432, 3.15437, 1
63, 0.708576, 3.15821, 1
64, 0.71264, 3.22906, 1
65, 0.715488, 3.15376, 1
66, 0.718848, 3.1536, 1
67, 0.71104, 3.21482, 1
68, 0.711776, 3.20717, 1
69, 0.708512, 3.21158, 1
70, 0.71568, 3.14627, 1
71, 0.709152, 3.15802, 1
72, 0.71072, 3.2167, 1
73, 0.709984, 3.15392, 1
74, 0.7168, 3.15453, 1
75, 0.715296, 3.15642, 1
76, 0.718016, 3.15376, 1
77, 0.718848, 3.14778, 1
78, 0.718912, 3.14819, 1
79, 0.710432, 3.16, 1
80, 0.714752, 3.15936, 1
81, 0.712704, 3.15424, 1
82, 0.70656, 3.14989, 1
83, 0.720896, 3.15389, 1
84, 0.710656, 3.2113, 1
85, 0.711296, 3.21318, 1
86, 0.708544, 3.14934, 1
87, 0.710688, 3.15504, 1
88, 0.711392, 3.1559, 1
89, 0.714912, 3.20883, 1
90, 0.719232, 3.15446, 1
