Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_Full_GI_-_128_Surfels_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 1.48438, 0, 1
3, 0.710816, 3.35408, 1
4, 0.718848, 3.436, 1
5, 0.7168, 3.40378, 1
6, 0.714656, 3.38864, 1
7, 0.716736, 3.39523, 1
8, 0.7112, 3.38957, 1
9, 0.716224, 3.41322, 1
10, 0.710624, 3.38461, 1
11, 0.714752, 3.38966, 1
12, 0.710752, 3.3881, 1
13, 0.712864, 3.39722, 1
14, 0.712704, 3.42006, 1
15, 0.7128, 3.39299, 1
16, 0.71024, 3.38992, 1
17, 0.714752, 3.39782, 1
18, 0.711232, 3.39171, 1
19, 0.714752, 3.42134, 1
20, 0.715872, 3.39152, 1
21, 0.71456, 3.39296, 1
22, 0.71456, 3.38589, 1
23, 0.714624, 3.38954, 1
24, 0.712928, 3.41811, 1
25, 0.712704, 3.38259, 1
26, 0.714176, 3.38355, 1
27, 0.712704, 3.38726, 1
28, 0.714368, 3.3833, 1
29, 0.713152, 3.39968, 1
30, 0.712, 3.38118, 1
31, 0.712704, 3.38128, 1
32, 0.711072, 3.37917, 1
33, 0.712416, 3.38301, 1
34, 0.712704, 3.41226, 1
35, 0.71152, 3.38506, 1
36, 0.712544, 3.38125, 1
37, 0.7112, 3.38429, 1
38, 0.71088, 3.37574, 1
39, 0.711296, 3.40378, 1
40, 0.709344, 3.3833, 1
41, 0.710208, 3.38102, 1
42, 0.714592, 3.38605, 1
43, 0.712576, 3.38138, 1
44, 0.710016, 3.39862, 1
45, 0.709984, 3.37715, 1
46, 0.7112, 3.38128, 1
47, 0.712544, 3.37322, 1
48, 0.711232, 3.37754, 1
49, 0.714752, 3.29648, 1
50, 0.710944, 3.26451, 1
51, 0.712384, 3.26246, 1
52, 0.710656, 3.2465, 1
53, 0.710368, 3.23821, 1
54, 0.711744, 3.23862, 1
55, 0.708608, 3.25955, 1
56, 0.709632, 3.24442, 1
57, 0.712928, 3.24, 1
58, 0.71216, 3.24813, 1
59, 0.709824, 3.24426, 1
60, 0.710816, 3.24397, 1
61, 0.711008, 3.25971, 1
62, 0.710656, 3.24099, 1
63, 0.711968, 3.24198, 1
64, 0.711392, 3.24829, 1
65, 0.710656, 3.24086, 1
66, 0.711936, 3.23187, 1
67, 0.71024, 3.25645, 1
68, 0.711296, 3.23219, 1
69, 0.713184, 3.2297, 1
70, 0.71216, 3.23174, 1
71, 0.710784, 3.23491, 1
72, 0.711008, 3.2297, 1
73, 0.710656, 3.25661, 1
74, 0.711072, 3.23731, 1
75, 0.711232, 3.2375, 1
76, 0.709088, 3.23222, 1
77, 0.709792, 3.23856, 1
78, 0.712704, 3.23174, 1
79, 0.710656, 3.2608, 1
80, 0.70832, 3.23754, 1
81, 0.710848, 3.23789, 1
82, 0.709632, 3.23776, 1
83, 0.711104, 3.23536, 1
84, 0.713312, 3.25965, 1
85, 0.711616, 3.23859, 1
86, 0.710144, 3.24403, 1
87, 0.711968, 3.23309, 1
88, 0.711392, 3.23792, 1
89, 0.710944, 3.23469, 1
90, 0.71216, 3.25552, 1
