Frame Nr., Compute, Primary Ray Trace, Cornell_Box_(9261_Probes)_-_Full_GI_-_160_Surfels_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 2.90877, 0, 1
3, 1.91693, 2.07942, 1
4, 1.62662, 1.85363, 1
5, 1.62816, 1.6937, 1
6, 1.82416, 1.84451, 1
7, 1.63446, 1.83805, 1
8, 1.63482, 1.83923, 1
9, 1.63203, 1.83619, 1
10, 1.6343, 1.83978, 1
11, 1.62858, 2.06787, 1
12, 1.63194, 2.04595, 1
13, 1.62829, 1.84077, 1
14, 1.62941, 2.05501, 1
15, 1.6401, 1.84381, 1
16, 1.61827, 1.8432, 1
17, 1.62278, 1.84512, 1
18, 1.63238, 1.84064, 1
19, 1.75347, 1.8432, 1
20, 1.56307, 1.84525, 1
21, 1.61405, 1.85072, 1
22, 1.62931, 1.84112, 1
23, 1.65523, 2.0487, 1
24, 1.62202, 1.84525, 1
25, 1.62611, 1.8391, 1
26, 1.55734, 1.8353, 1
27, 1.61731, 1.83984, 1
28, 1.62406, 1.84221, 1
29, 1.62909, 2.048, 1
30, 1.62406, 1.84342, 1
31, 1.62816, 1.83773, 1
32, 1.55859, 1.84048, 1
33, 1.62211, 1.84115, 1
34, 1.56115, 1.84096, 1
35, 1.61997, 1.84698, 1
36, 1.63197, 1.83706, 1
37, 1.65683, 1.83501, 1
38, 1.63021, 1.84934, 1
39, 1.63683, 1.83363, 1
40, 1.56262, 1.8351, 1
41, 1.6848, 1.84096, 1
42, 1.62966, 1.84029, 1
43, 1.62803, 1.83363, 1
44, 1.55677, 1.83603, 1
45, 1.6303, 1.83706, 1
46, 1.62166, 1.83629, 1
47, 1.6169, 1.83917, 1
48, 1.63226, 1.83706, 1
49, 1.62371, 1.85549, 1
50, 1.61648, 1.89123, 1
51, 1.62246, 1.83296, 1
52, 1.54029, 1.84288, 1
53, 1.61968, 1.8447, 1
54, 1.62403, 1.83763, 1
55, 1.55334, 1.84045, 1
56, 1.61933, 1.84922, 1
57, 1.62675, 1.83456, 1
58, 1.5568, 1.83728, 1
59, 1.61773, 1.84227, 1
60, 1.62339, 1.83085, 1
61, 1.55648, 1.83706, 1
62, 1.62186, 1.84163, 1
63, 1.62528, 1.83155, 1
64, 1.55443, 1.83862, 1
65, 1.61686, 1.84835, 1
66, 1.62048, 1.83706, 1
67, 1.61997, 1.83494, 1
68, 1.62381, 1.88704, 1
69, 1.61443, 1.83254, 1
70, 1.61997, 1.83187, 1
71, 1.61997, 1.88573, 1
72, 1.61994, 1.83501, 1
73, 1.55651, 1.83558, 1
74, 1.61373, 1.84304, 1
75, 1.6185, 1.83466, 1
76, 1.556, 1.8345, 1
77, 1.55546, 1.84045, 1
78, 1.632, 1.84525, 1
79, 1.63334, 1.83478, 1
80, 1.61718, 1.83578, 1
81, 1.62406, 1.88621, 1
82, 1.61997, 1.83501, 1
83, 1.55907, 1.8336, 1
84, 1.57114, 1.8432, 1
85, 1.56762, 1.84246, 1
86, 1.6241, 1.84099, 1
87, 1.63478, 1.83517, 1
88, 1.62854, 1.83533, 1
89, 1.63165, 1.83418, 1
90, 1.62451, 1.83501, 1
