Frame Nr., Compute, Primary Ray Trace, Cornell_Box_(9261_Probes)_-_Full_GI_-_160_Surfels_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 3.44102, 0, 1
3, 1.89718, 1.8177, 1
4, 1.63021, 2.04483, 1
5, 1.62406, 1.83152, 1
6, 1.69779, 1.83075, 1
7, 1.68125, 1.82528, 1
8, 1.61603, 1.83213, 1
9, 1.62531, 1.8247, 1
10, 1.55802, 1.8263, 1
11, 1.8112, 1.82906, 1
12, 1.55443, 2.05229, 1
13, 1.61997, 1.83107, 1
14, 1.62406, 1.82845, 1
15, 1.61997, 2.03555, 1
16, 1.62278, 1.82682, 1
17, 1.61619, 2.03827, 1
18, 1.61997, 1.8247, 1
19, 1.62198, 2.044, 1
20, 1.62138, 1.82726, 1
21, 1.61834, 2.03571, 1
22, 1.62342, 1.82698, 1
23, 1.73878, 1.82614, 1
24, 1.55875, 1.82886, 1
25, 1.62189, 1.82922, 1
26, 1.62611, 1.83107, 1
27, 1.64864, 1.82323, 1
28, 1.55917, 1.82723, 1
29, 1.61997, 1.82384, 1
30, 1.53174, 2.0544, 1
31, 1.61792, 1.83706, 1
32, 1.61709, 1.82093, 1
33, 1.55536, 1.82477, 1
34, 1.61792, 1.8376, 1
35, 1.61792, 1.82522, 1
36, 1.62342, 1.82272, 1
37, 1.6168, 1.82886, 1
38, 1.61587, 1.82189, 1
39, 1.5521, 1.82045, 1
40, 1.53626, 1.83091, 1
41, 1.5535, 1.82694, 1
42, 1.64074, 1.83107, 1
43, 1.62182, 1.83002, 1
44, 1.61792, 1.8233, 1
45, 1.6855, 1.82013, 1
46, 1.43914, 1.82717, 1
47, 1.61843, 1.82, 1
48, 1.62566, 1.82285, 1
49, 1.62778, 1.82707, 1
50, 1.55414, 2.03578, 1
51, 1.52928, 1.82886, 1
52, 1.55443, 1.82352, 1
53, 1.60525, 1.82707, 1
54, 1.55146, 1.82682, 1
55, 1.6056, 1.83318, 1
56, 1.60358, 1.83043, 1
57, 1.63654, 1.82682, 1
58, 1.60675, 1.81872, 1
59, 1.61258, 1.83296, 1
60, 1.62192, 1.81862, 1
61, 1.55619, 1.82355, 1
62, 1.55648, 1.83002, 1
63, 1.55242, 1.82301, 1
64, 1.61315, 1.83405, 1
65, 1.60928, 1.82528, 1
66, 1.60621, 1.82051, 1
67, 1.77152, 1.81862, 1
68, 1.55034, 1.82886, 1
69, 1.61664, 1.82682, 1
70, 1.608, 1.8185, 1
71, 1.61792, 1.82477, 1
72, 1.54685, 1.81962, 1
73, 1.62406, 1.82886, 1
74, 1.60406, 1.8223, 1
75, 1.54726, 1.8321, 1
76, 1.73498, 1.82541, 1
77, 1.4377, 1.82586, 1
78, 1.91494, 1.82195, 1
79, 1.62227, 1.88006, 1
80, 1.61494, 1.82618, 1
81, 1.64454, 1.82096, 1
82, 1.61734, 1.82013, 1
83, 1.60563, 1.81946, 1
84, 1.61587, 1.82672, 1
85, 1.61523, 1.82374, 1
86, 1.61658, 1.82045, 1
87, 1.54637, 1.81747, 1
88, 1.61635, 1.82714, 1
89, 1.6304, 1.81917, 1
90, 1.56598, 1.82307, 1
