Frame Nr., Compute, Primary Ray Trace, Cornell_Box_(9261_Probes)_-_Full_GI_-_160_Surfels_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 3.1703, 0, 1
3, 1.92384, 1.85344, 1
4, 1.44384, 1.69706, 1
5, 1.63309, 2.08083, 1
6, 1.82042, 1.83968, 1
7, 1.63344, 1.83706, 1
8, 1.61626, 1.84067, 1
9, 1.82288, 1.83997, 1
10, 1.6343, 1.8391, 1
11, 1.65888, 2.06256, 1
12, 1.56262, 1.84317, 1
13, 1.62566, 1.84595, 1
14, 1.6319, 1.83786, 1
15, 1.75104, 1.83754, 1
16, 1.56269, 1.8487, 1
17, 1.62611, 1.85146, 1
18, 1.62618, 1.84189, 1
19, 1.56451, 1.84144, 1
20, 1.5648, 1.8441, 1
21, 1.55853, 1.84291, 1
22, 1.62189, 1.84525, 1
23, 1.63315, 1.83286, 1
24, 1.61808, 1.83664, 1
25, 1.63021, 1.84464, 1
26, 1.61667, 1.85238, 1
27, 1.56058, 1.84525, 1
28, 1.62205, 1.84752, 1
29, 1.62205, 1.84118, 1
30, 1.55853, 1.83706, 1
31, 1.62717, 1.84346, 1
32, 1.62675, 1.83744, 1
33, 1.91677, 1.84083, 1
34, 1.76099, 2.07453, 1
35, 1.62253, 1.84774, 1
36, 1.62915, 1.8391, 1
37, 1.55827, 1.83501, 1
38, 1.62272, 1.8432, 1
39, 1.62771, 2.048, 1
40, 1.62243, 1.83859, 1
41, 1.62435, 1.83338, 1
42, 1.62611, 1.83485, 1
43, 1.62394, 1.84115, 1
44, 1.63683, 1.83491, 1
45, 1.56877, 1.83539, 1
46, 1.62202, 1.83725, 1
47, 1.62086, 1.83434, 1
48, 1.63344, 1.83251, 1
49, 1.62262, 1.83664, 1
50, 1.628, 1.83606, 1
51, 1.63478, 1.8944, 1
52, 1.62227, 1.83706, 1
53, 1.55373, 1.83133, 1
54, 1.56547, 1.8393, 1
55, 1.44426, 1.8432, 1
56, 1.62816, 1.83574, 1
57, 1.74045, 1.84112, 1
58, 1.62656, 1.8391, 1
59, 1.62406, 1.83293, 1
60, 1.63613, 1.83344, 1
61, 1.62573, 1.88384, 1
62, 1.62685, 1.83283, 1
63, 1.56726, 1.8351, 1
64, 1.63021, 1.84925, 1
65, 1.57286, 1.84115, 1
66, 1.62806, 1.84134, 1
67, 1.56566, 1.8327, 1
68, 1.62256, 1.84083, 1
69, 1.63139, 1.83328, 1
70, 1.61997, 1.83379, 1
71, 1.61587, 1.83414, 1
72, 1.56314, 1.83603, 1
73, 1.56467, 1.83885, 1
74, 1.63226, 1.84115, 1
75, 1.62816, 1.83834, 1
76, 1.62419, 1.88416, 1
77, 1.63264, 1.83846, 1
78, 1.62147, 1.83366, 1
79, 1.63162, 1.8936, 1
80, 1.62637, 1.84083, 1
81, 1.5663, 1.83187, 1
82, 1.57136, 1.84547, 1
83, 1.6425, 1.84141, 1
84, 1.62365, 1.84, 1
85, 1.55837, 1.83389, 1
86, 1.6239, 1.8392, 1
87, 1.63597, 1.8297, 1
88, 1.61997, 1.83542, 1
89, 1.62272, 1.83331, 1
90, 1.62202, 1.83379, 1
