Frame Nr., Compute, Primary Ray Trace, Cornell_Box_(9261_Probes)_-_Full_GI_-_160_Surfels_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 3.40275, 0, 1
3, 1.91888, 1.84704, 1
4, 1.44566, 1.85293, 1
5, 1.63552, 1.69744, 1
6, 1.81862, 1.85139, 1
7, 1.63238, 1.83706, 1
8, 1.63056, 1.83971, 1
9, 1.62816, 1.83773, 1
10, 1.61808, 1.83923, 1
11, 1.56371, 1.8377, 1
12, 1.63059, 1.84742, 1
13, 1.62854, 1.84173, 1
14, 1.56467, 1.83862, 1
15, 1.62195, 1.84298, 1
16, 1.62816, 1.8473, 1
17, 1.63261, 1.83722, 1
18, 1.63571, 1.84554, 1
19, 1.62406, 1.85264, 1
20, 1.62656, 1.83914, 1
21, 1.76333, 1.83558, 1
22, 1.65312, 1.84611, 1
23, 1.62019, 1.84269, 1
24, 1.62781, 1.83392, 1
25, 1.62509, 2.0439, 1
26, 1.62339, 1.8391, 1
27, 1.62406, 1.83296, 1
28, 1.55718, 1.83539, 1
29, 1.55699, 1.84115, 1
30, 1.62275, 1.8417, 1
31, 1.5592, 2.04595, 1
32, 1.72637, 1.8432, 1
33, 1.62154, 1.83949, 1
34, 1.62461, 2.07667, 1
35, 1.62368, 1.85152, 1
36, 1.61741, 1.83389, 1
37, 1.61142, 2.05453, 1
38, 1.55613, 1.84317, 1
39, 1.4417, 1.84685, 1
40, 1.61309, 2.06762, 1
41, 1.62646, 1.83706, 1
42, 1.61987, 1.8329, 1
43, 1.62016, 1.82941, 1
44, 1.81533, 1.82986, 1
45, 1.67117, 2.04502, 1
46, 1.62998, 1.84224, 1
47, 1.56467, 1.83299, 1
48, 1.62243, 1.8391, 1
49, 1.63245, 1.83501, 1
50, 1.6343, 1.8903, 1
51, 1.63597, 1.83898, 1
52, 1.6344, 1.88422, 1
53, 1.62816, 1.83434, 1
54, 1.61824, 1.83091, 1
55, 1.61888, 1.88218, 1
56, 1.61539, 1.84048, 1
57, 1.55853, 1.83472, 1
58, 1.56051, 1.83878, 1
59, 1.61824, 1.8432, 1
60, 1.43974, 1.83846, 1
61, 1.63344, 1.83379, 1
62, 1.64976, 1.83254, 1
63, 1.63187, 1.83958, 1
64, 1.62096, 1.83706, 1
65, 1.62509, 1.8391, 1
66, 1.63635, 1.888, 1
67, 1.6335, 1.83296, 1
68, 1.63021, 1.83219, 1
69, 1.63635, 1.88211, 1
70, 1.64154, 1.83677, 1
71, 1.56877, 1.8337, 1
72, 1.63091, 1.83814, 1
73, 1.63242, 1.83187, 1
74, 1.62605, 1.88416, 1
75, 1.63021, 1.83091, 1
76, 1.62803, 1.83414, 1
77, 1.63226, 1.88554, 1
78, 1.63226, 1.83533, 1
79, 1.57117, 1.83875, 1
80, 1.63331, 1.84454, 1
81, 1.63146, 1.83494, 1
82, 1.61974, 1.83277, 1
83, 1.56362, 1.83296, 1
84, 1.62406, 1.8375, 1
85, 1.62611, 1.88006, 1
86, 1.62339, 1.88621, 1
87, 1.63235, 1.83053, 1
88, 1.63446, 1.83203, 1
89, 1.63021, 1.88422, 1
90, 1.61437, 1.83152, 1
