Frame Nr., Compute, Primary Ray Trace, Cornell_Box_(9261_Probes)_-_Full_GI_-_160_Surfels_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 2.69187, 0, 1
3, 1.9817, 2.11216, 1
4, 1.62838, 1.85542, 1
5, 1.62816, 1.84118, 1
6, 1.72813, 1.84038, 1
7, 1.62019, 2.04979, 1
8, 1.62611, 1.8432, 1
9, 1.62941, 1.8495, 1
10, 1.55846, 1.83987, 1
11, 1.62454, 1.84454, 1
12, 1.62733, 1.84339, 1
13, 1.62445, 2.05174, 1
14, 1.62611, 2.0487, 1
15, 1.6343, 1.84109, 1
16, 1.62451, 1.8391, 1
17, 1.62816, 1.84525, 1
18, 1.63021, 1.83853, 1
19, 1.62464, 2.05718, 1
20, 1.63126, 1.8432, 1
21, 1.55853, 1.84083, 1
22, 1.62611, 1.84115, 1
23, 1.81856, 1.83901, 1
24, 1.55978, 1.84934, 1
25, 1.62806, 1.84595, 1
26, 1.62176, 1.84256, 1
27, 1.63203, 1.83907, 1
28, 1.55853, 2.05104, 1
29, 1.61792, 1.84717, 1
30, 1.62944, 1.83693, 1
31, 1.62214, 1.83706, 1
32, 1.61997, 2.05005, 1
33, 1.62403, 1.83706, 1
34, 1.55648, 1.8433, 1
35, 1.61846, 1.8472, 1
36, 1.81901, 1.83549, 1
37, 1.64426, 2.07078, 1
38, 1.62202, 1.84131, 1
39, 1.63306, 1.83955, 1
40, 1.61011, 1.83872, 1
41, 1.56486, 1.8432, 1
42, 1.6209, 1.84525, 1
43, 1.62131, 1.84525, 1
44, 1.62816, 1.83763, 1
45, 1.62726, 1.83786, 1
46, 1.62611, 1.84157, 1
47, 1.62794, 1.84314, 1
48, 1.65302, 1.83504, 1
49, 1.62432, 1.85789, 1
50, 1.64029, 1.83763, 1
51, 1.56758, 1.83363, 1
52, 1.62611, 1.84413, 1
53, 1.63098, 1.83296, 1
54, 1.81571, 1.83603, 1
55, 1.68816, 2.07053, 1
56, 1.62918, 1.84547, 1
57, 1.56934, 1.83462, 1
58, 1.61971, 1.83984, 1
59, 1.63571, 1.83734, 1
60, 1.74467, 1.83248, 1
61, 1.56102, 1.84227, 1
62, 1.61792, 1.84893, 1
63, 1.63059, 1.88845, 1
64, 1.63578, 1.83859, 1
65, 1.6343, 1.84115, 1
66, 1.63123, 1.8391, 1
67, 1.62394, 1.88771, 1
68, 1.63194, 1.83693, 1
69, 1.63011, 1.83501, 1
70, 1.62621, 1.83766, 1
71, 1.63635, 1.83216, 1
72, 1.61725, 1.83091, 1
73, 1.62061, 1.89382, 1
74, 1.61926, 1.89386, 1
75, 1.61792, 1.83334, 1
76, 1.62336, 1.83498, 1
77, 1.62611, 1.88416, 1
78, 1.62387, 1.83366, 1
79, 1.63235, 1.84115, 1
80, 1.61997, 1.8416, 1
81, 1.56672, 1.83706, 1
82, 1.62019, 1.84115, 1
83, 1.61894, 1.83706, 1
84, 1.62032, 1.83706, 1
85, 1.55158, 1.89024, 1
86, 1.61597, 1.84237, 1
87, 1.61872, 1.8393, 1
88, 1.62406, 1.88589, 1
89, 1.61997, 1.83706, 1
90, 1.55635, 1.83219, 1
