Frame Nr., Compute, Primary Ray Trace, Cornell_Box_(9261_Probes)_-_Full_GI_-_160_Surfels_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 3.14627, 0, 1
3, 1.91898, 2.12378, 1
4, 1.6745, 1.8536, 1
5, 1.6425, 1.93418, 1
6, 1.63021, 1.69766, 1
7, 1.6281, 1.85024, 1
8, 1.82202, 1.85139, 1
9, 1.62406, 1.84067, 1
10, 1.63171, 1.83706, 1
11, 1.63216, 1.83619, 1
12, 1.63635, 1.8399, 1
13, 1.62563, 2.06288, 1
14, 1.56467, 1.84362, 1
15, 1.62381, 1.84742, 1
16, 1.63354, 1.83808, 1
17, 1.66304, 1.84099, 1
18, 1.56317, 1.8473, 1
19, 1.56688, 1.85715, 1
20, 1.62461, 1.85523, 1
21, 1.56349, 2.04742, 1
22, 1.56166, 1.84115, 1
23, 1.61792, 1.84627, 1
24, 1.62464, 1.8455, 1
25, 1.56384, 1.8351, 1
26, 1.56058, 1.84371, 1
27, 1.61997, 1.84525, 1
28, 1.80118, 2.04224, 1
29, 1.61981, 1.84048, 1
30, 1.62726, 1.83917, 1
31, 1.56467, 1.83648, 1
32, 1.55002, 1.84115, 1
33, 1.61942, 1.84154, 1
34, 1.62717, 1.83981, 1
35, 1.56134, 1.84512, 1
36, 1.56291, 1.84266, 1
37, 1.62656, 1.8417, 1
38, 1.61853, 2.04186, 1
39, 1.62406, 1.84333, 1
40, 1.62832, 1.8377, 1
41, 1.70189, 1.8385, 1
42, 1.61907, 1.84099, 1
43, 1.6296, 1.83706, 1
44, 1.55994, 1.83296, 1
45, 1.62397, 1.84326, 1
46, 1.5647, 2.04138, 1
47, 1.61974, 1.8409, 1
48, 1.61853, 1.84115, 1
49, 1.62278, 1.83501, 1
50, 1.63226, 1.92512, 1
51, 1.56467, 1.83501, 1
52, 1.62512, 1.85072, 1
53, 1.63722, 1.83357, 1
54, 1.61792, 1.83894, 1
55, 1.62202, 1.83696, 1
56, 1.55443, 1.83379, 1
57, 1.55101, 1.83866, 1
58, 1.61805, 1.84771, 1
59, 1.62202, 1.83939, 1
60, 1.55456, 1.8327, 1
61, 1.44, 1.84406, 1
62, 1.62611, 1.83162, 1
63, 1.61782, 1.83754, 1
64, 1.62509, 1.84525, 1
65, 1.62877, 1.84106, 1
66, 1.62736, 1.83808, 1
67, 1.63226, 1.84262, 1
68, 1.62195, 1.83427, 1
69, 1.6343, 1.88416, 1
70, 1.62429, 1.83389, 1
71, 1.62816, 1.83622, 1
72, 1.63152, 1.83322, 1
73, 1.57504, 1.83782, 1
74, 1.63587, 1.84115, 1
75, 1.5695, 1.8336, 1
76, 1.62675, 1.83853, 1
77, 1.63021, 1.83699, 1
78, 1.5689, 1.83411, 1
79, 1.62384, 1.85322, 1
80, 1.56672, 1.83552, 1
81, 1.62003, 1.83984, 1
82, 1.62602, 1.83066, 1
83, 1.62787, 1.83296, 1
84, 1.64045, 1.83645, 1
85, 1.92448, 1.83434, 1
86, 1.56262, 1.88621, 1
87, 1.62211, 1.84595, 1
88, 1.62429, 1.83517, 1
89, 1.63024, 1.83814, 1
90, 1.57514, 1.83501, 1
