Frame Nr., Compute, Primary Ray Trace, Cornell_Box_(9261_Probes)_-_Full_GI_-_96_Surfels_Per_Probe
185, 0.94208, 1.90003, 1
186, 0.939808, 1.89008, 1
187, 0.940448, 1.89341, 1
188, 0.941728, 1.89174, 1
189, 0.942272, 1.8951, 1
190, 0.941568, 1.89235, 1
191, 0.94208, 1.89414, 1
192, 0.94032, 1.89286, 1
193, 0.94144, 1.89235, 1
194, 0.942304, 1.89293, 1
195, 0.943904, 1.89645, 1
196, 0.940864, 1.89046, 1
197, 0.941696, 1.89069, 1
198, 0.94208, 1.89491, 1
199, 0.942208, 1.89667, 1
200, 0.94208, 1.89741, 1
201, 0.940032, 1.89101, 1
202, 0.94208, 1.89235, 1
203, 1.08531, 1.89235, 1
204, 1.08749, 1.8944, 1
205, 1.08554, 1.89392, 1
206, 1.09146, 1.8927, 1
207, 1.0903, 1.89027, 1
208, 1.09158, 1.89168, 1
209, 1.08749, 1.88989, 1
210, 1.08749, 1.8903, 1
211, 1.08954, 1.8903, 1
212, 1.08928, 1.88733, 1
213, 1.08749, 1.88416, 1
214, 1.23661, 1.89984, 1
215, 1.08883, 1.89226, 1
216, 1.08992, 1.88806, 1
217, 1.08797, 1.88397, 1
218, 1.08954, 1.88371, 1
219, 1.08954, 1.88518, 1
220, 1.09117, 1.88621, 1
221, 1.23904, 1.88515, 1
222, 1.24026, 1.88131, 1
223, 1.08954, 1.88269, 1
224, 1.09037, 1.88378, 1
225, 1.08954, 1.88435, 1
226, 1.23699, 1.87658, 1
227, 1.0919, 1.88019, 1
228, 1.08954, 1.87802, 1
229, 1.23734, 1.88595, 1
230, 1.08915, 1.88275, 1
231, 1.08954, 1.8777, 1
232, 1.08973, 1.87597, 1
233, 1.08749, 1.87744, 1
234, 1.08986, 1.88374, 1
235, 1.23494, 1.87491, 1
236, 1.08954, 1.87014, 1
237, 1.08938, 1.86982, 1
238, 1.08906, 1.87315, 1
239, 1.08893, 1.87062, 1
240, 1.08749, 1.86752, 1
241, 1.08544, 1.87104, 1
242, 1.08934, 1.87075, 1
243, 1.09075, 1.86758, 1
244, 1.08797, 1.87386, 1
245, 1.08749, 1.87443, 1
246, 1.08544, 1.86573, 1
247, 1.08749, 1.86573, 1
248, 1.0848, 1.86298, 1
249, 1.08339, 1.86368, 1
250, 1.08541, 1.86458, 1
251, 1.08538, 1.86374, 1
252, 1.0871, 1.86739, 1
253, 1.08544, 1.86154, 1
254, 1.08643, 1.86147, 1
255, 1.0887, 1.86163, 1
256, 1.088, 1.86109, 1
257, 1.08851, 1.86275, 1
258, 1.04653, 1.85901, 1
259, 1.04656, 1.86285, 1
260, 1.04442, 1.8624, 1
261, 1.04614, 1.85725, 1
262, 1.04509, 1.8575, 1
263, 1.0448, 1.85549, 1
264, 1.04666, 1.85549, 1
265, 1.04653, 1.85232, 1
266, 1.04387, 1.85549, 1
267, 1.04429, 1.85363, 1
268, 1.04256, 1.84858, 1
269, 1.04243, 1.85242, 1
270, 1.04256, 1.85261, 1
271, 1.04243, 1.85344, 1
272, 1.04304, 1.8473, 1
273, 1.04653, 1.85101, 1
274, 1.04666, 1.85648, 1
275, 1.04576, 1.85526, 1
276, 1.04656, 1.85075, 1
277, 1.04448, 1.84701, 1
278, 1.04445, 1.84934, 1
