Frame Nr., Compute, Primary Ray Trace, Cornell_Box_(9261_Probes)_-_Full_GI_-_96_Surfels_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 1.64454, 0, 1
3, 1.45043, 1.83296, 1
4, 0.94432, 1.84486, 1
5, 0.946528, 1.69606, 1
6, 0.946496, 2.06278, 1
7, 0.941632, 2.05242, 1
8, 0.944864, 2.0495, 1
9, 0.945472, 2.04707, 1
10, 0.945728, 2.04595, 1
11, 0.943904, 2.07238, 1
12, 0.942688, 2.04541, 1
13, 0.944128, 2.048, 1
14, 0.943264, 2.0521, 1
15, 0.944128, 2.05107, 1
16, 0.942528, 2.0521, 1
17, 0.944128, 2.07494, 1
18, 0.945312, 2.06115, 1
19, 0.945824, 2.06643, 1
20, 0.943456, 2.06147, 1
21, 0.946624, 2.048, 1
22, 0.942368, 2.048, 1
23, 0.94208, 2.06992, 1
24, 0.944128, 2.0512, 1
25, 0.945632, 2.05002, 1
26, 0.944096, 2.05107, 1
27, 0.944128, 2.0504, 1
28, 0.94272, 2.05155, 1
29, 0.94192, 2.07507, 1
30, 0.941856, 2.048, 1
31, 0.94176, 2.04803, 1
32, 0.94208, 2.0497, 1
33, 0.943296, 2.04803, 1
34, 0.944128, 2.05587, 1
35, 0.941664, 2.07331, 1
36, 0.94144, 2.05005, 1
37, 0.9456, 2.04954, 1
38, 0.944192, 2.04874, 1
39, 0.943328, 2.04614, 1
40, 0.947264, 2.04595, 1
41, 0.944256, 2.07142, 1
42, 0.944128, 2.04595, 1
43, 0.943008, 2.04938, 1
44, 0.943552, 2.04902, 1
45, 0.942208, 2.05005, 1
46, 0.944128, 2.04448, 1
47, 0.942432, 2.06691, 1
48, 0.94384, 2.04794, 1
49, 0.945504, 2.05619, 1
50, 0.944128, 2.0521, 1
51, 0.94208, 2.05203, 1
52, 0.944128, 2.04822, 1
53, 0.941632, 2.06848, 1
54, 0.943392, 2.0465, 1
55, 0.942912, 2.04858, 1
56, 0.942496, 2.05184, 1
57, 0.943808, 2.04474, 1
58, 0.941696, 2.04618, 1
59, 0.944224, 2.06848, 1
60, 0.943008, 2.04595, 1
61, 0.943584, 2.04262, 1
62, 0.942112, 1.94266, 1
63, 0.941248, 1.92221, 1
64, 0.940704, 1.92867, 1
65, 0.944128, 1.88621, 1
66, 0.941312, 1.88486, 1
67, 0.942208, 1.88614, 1
68, 0.94192, 1.89232, 1
69, 0.940864, 1.88483, 1
70, 0.94208, 1.88211, 1
71, 0.941856, 1.88995, 1
72, 0.93968, 1.89456, 1
73, 0.938752, 1.8817, 1
74, 0.941856, 1.8817, 1
75, 0.941216, 1.88621, 1
76, 0.938368, 1.8889, 1
77, 0.940288, 1.88717, 1
78, 0.94016, 1.88147, 1
79, 0.94096, 1.89322, 1
80, 0.939616, 1.89078, 1
81, 0.940224, 1.88077, 1
82, 0.940416, 1.88371, 1
83, 0.940896, 1.88211, 1
84, 0.940032, 1.88518, 1
85, 0.940032, 1.88045, 1
86, 0.940032, 1.88416, 1
87, 0.940032, 1.88742, 1
88, 0.941312, 1.89296, 1
89, 0.937984, 1.8864, 1
90, 0.93968, 1.8847, 1
