Frame Nr., Compute, Primary Ray Trace, Cornell_Box_(9261_Probes)_-_Full_GI_-_96_Surfels_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 1.64502, 0, 1
3, 1.09773, 1.84422, 1
4, 0.941696, 2.10944, 1
5, 0.948512, 1.85072, 1
6, 0.942112, 1.84285, 1
7, 0.94208, 1.84525, 1
8, 0.94208, 1.84275, 1
9, 0.941024, 2.05331, 1
10, 0.940672, 2.05283, 1
11, 0.941312, 2.07462, 1
12, 0.941856, 2.05405, 1
13, 0.943648, 2.0536, 1
14, 0.943616, 2.05424, 1
15, 0.9432, 2.05414, 1
16, 0.942432, 2.056, 1
17, 0.941472, 2.05414, 1
18, 0.942464, 2.07536, 1
19, 0.940896, 2.06234, 1
20, 0.942112, 2.05802, 1
21, 0.945216, 2.05427, 1
22, 0.94112, 2.05306, 1
23, 0.942144, 2.05206, 1
24, 0.942784, 2.07462, 1
25, 0.942304, 2.05219, 1
26, 0.94096, 2.0521, 1
27, 0.940416, 2.05005, 1
28, 0.940256, 2.05437, 1
29, 0.943968, 2.05357, 1
30, 0.9416, 2.05053, 1
31, 0.944128, 2.07491, 1
32, 0.942528, 2.04829, 1
33, 0.941696, 2.05267, 1
34, 0.943776, 2.06022, 1
35, 0.94208, 2.05872, 1
36, 0.942016, 2.05139, 1
37, 0.942272, 2.07027, 1
38, 0.942368, 2.04982, 1
39, 0.942272, 2.0512, 1
40, 0.94208, 2.05504, 1
41, 0.943904, 2.0521, 1
42, 0.94208, 2.05366, 1
43, 0.943136, 2.07562, 1
44, 0.941664, 2.05581, 1
45, 0.94368, 2.05146, 1
46, 0.94208, 2.05373, 1
47, 0.94224, 2.05235, 1
48, 0.942752, 2.05008, 1
49, 0.943456, 2.05942, 1
50, 0.94272, 2.08077, 1
51, 0.94208, 2.04947, 1
52, 0.94208, 2.05398, 1
53, 0.942336, 2.05206, 1
54, 0.940992, 2.05238, 1
55, 0.941472, 2.05146, 1
56, 0.94208, 2.07734, 1
57, 0.940224, 2.0521, 1
58, 0.940512, 2.05475, 1
59, 0.942016, 2.05414, 1
60, 0.93872, 2.05248, 1
61, 0.94208, 2.05347, 1
62, 0.940096, 2.05005, 1
63, 0.943392, 1.97427, 1
64, 0.943648, 1.93949, 1
65, 0.940736, 1.93488, 1
66, 0.940064, 1.89354, 1
67, 0.943744, 1.89379, 1
68, 0.943008, 1.8903, 1
69, 0.943424, 1.90054, 1
70, 0.94272, 1.8985, 1
71, 0.94144, 1.89248, 1
72, 0.943328, 1.90259, 1
73, 0.943072, 1.89696, 1
74, 0.940256, 1.89069, 1
75, 0.94208, 1.89424, 1
76, 0.940032, 1.89626, 1
77, 0.941728, 1.8985, 1
78, 0.94112, 1.89194, 1
79, 0.94208, 1.8944, 1
80, 0.941952, 1.90374, 1
81, 0.940064, 1.89642, 1
82, 0.941824, 1.89235, 1
83, 0.94128, 1.89488, 1
84, 0.939968, 1.8961, 1
85, 0.940288, 1.89517, 1
86, 0.941216, 1.89235, 1
87, 0.940032, 1.89251, 1
88, 0.941696, 1.88957, 1
89, 0.941568, 1.89219, 1
90, 0.940608, 1.89645, 1
