Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_Full_GI_-_96_Surfels_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 0.964544, 0, 1
3, 0.567296, 3.00819, 1
4, 0.573024, 3.39763, 1
5, 0.571424, 3.1785, 1
6, 0.571296, 3.1713, 1
7, 0.57136, 3.17379, 1
8, 0.569504, 3.16826, 1
9, 0.570784, 3.16826, 1
10, 0.571392, 3.16925, 1
11, 0.569568, 3.16874, 1
12, 0.571392, 3.17184, 1
13, 0.567744, 3.16723, 1
14, 0.571872, 3.16826, 1
15, 0.569344, 3.1808, 1
16, 0.570304, 3.17373, 1
17, 0.5704, 3.16826, 1
18, 0.570656, 3.16435, 1
19, 0.569088, 3.17373, 1
20, 0.569728, 3.17475, 1
21, 0.569824, 3.17261, 1
22, 0.56752, 3.17235, 1
23, 0.569344, 3.16502, 1
24, 0.569344, 3.17027, 1
25, 0.569984, 3.18086, 1
26, 0.567296, 3.16621, 1
27, 0.5712, 3.15792, 1
28, 0.568192, 3.16688, 1
29, 0.5696, 3.1632, 1
30, 0.569344, 3.16522, 1
31, 0.569344, 3.16746, 1
32, 0.56752, 3.16211, 1
33, 0.570112, 3.16829, 1
34, 0.568, 3.16845, 1
35, 0.569248, 3.16416, 1
36, 0.567296, 3.16202, 1
37, 0.571712, 3.1703, 1
38, 0.568544, 3.16621, 1
39, 0.567808, 3.16234, 1
40, 0.568448, 3.15859, 1
41, 0.568704, 3.16416, 1
42, 0.572544, 3.16211, 1
43, 0.56672, 3.16211, 1
44, 0.566944, 3.17149, 1
45, 0.575488, 3.1703, 1
46, 0.569344, 3.16678, 1
47, 0.56944, 3.16624, 1
48, 0.575488, 3.16243, 1
49, 0.571488, 3.16211, 1
50, 0.569344, 3.15411, 1
51, 0.576224, 3.15392, 1
52, 0.576512, 3.15818, 1
53, 0.570912, 3.15619, 1
54, 0.567296, 3.16006, 1
55, 0.565856, 3.15734, 1
56, 0.573536, 3.14723, 1
57, 0.574944, 3.16621, 1
58, 0.571424, 3.16374, 1
59, 0.572608, 3.16054, 1
60, 0.577536, 3.16582, 1
61, 0.575488, 3.16259, 1
62, 0.5768, 3.15802, 1
63, 0.569536, 3.1664, 1
64, 0.571392, 3.15859, 1
65, 0.57552, 3.15984, 1
66, 0.575488, 3.15466, 1
67, 0.57328, 3.21661, 1
68, 0.57344, 3.15802, 1
69, 0.575552, 3.15206, 1
70, 0.573984, 3.15325, 1
71, 0.56752, 3.1552, 1
72, 0.57344, 3.15936, 1
73, 0.57136, 3.15862, 1
74, 0.577408, 3.16176, 1
75, 0.57344, 3.15597, 1
76, 0.572032, 3.15136, 1
77, 0.57344, 3.16058, 1
78, 0.576832, 3.16058, 1
79, 0.578848, 3.16106, 1
80, 0.571392, 3.1768, 1
81, 0.575904, 3.20755, 1
82, 0.575328, 3.16333, 1
83, 0.566656, 3.15187, 1
84, 0.571456, 3.16413, 1
85, 0.570784, 3.15334, 1
86, 0.575424, 3.1568, 1
87, 0.577216, 3.15382, 1
88, 0.575424, 3.15738, 1
89, 0.57344, 3.15107, 1
90, 0.572256, 3.20483, 1
