Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_Full_GI_-_96_Surfels_Per_Probe
185, 0.57376, 3.16426, 1
186, 0.57344, 3.15123, 1
187, 0.57232, 3.15494, 1
188, 0.580832, 3.168, 1
189, 0.581248, 3.17014, 1
190, 0.568192, 3.15802, 1
191, 0.58368, 3.15802, 1
192, 0.5808, 3.15677, 1
193, 0.571392, 3.20669, 1
194, 0.577696, 3.15395, 1
195, 0.573248, 3.15942, 1
196, 0.575488, 3.15565, 1
197, 0.571072, 3.15168, 1
198, 0.567712, 3.16339, 1
199, 0.571776, 3.15818, 1
200, 0.576032, 3.16115, 1
201, 0.5816, 3.15187, 1
202, 0.578464, 3.1543, 1
203, 0.606144, 3.15187, 1
204, 0.602656, 3.15258, 1
205, 0.604512, 3.15597, 1
206, 0.60608, 3.15789, 1
207, 0.59504, 3.15802, 1
208, 0.608256, 3.16006, 1
209, 0.607232, 3.15597, 1
210, 0.608256, 3.18906, 1
211, 0.608256, 3.18659, 1
212, 0.599776, 3.23101, 1
213, 0.606624, 3.18259, 1
214, 0.603616, 3.19514, 1
215, 0.606624, 3.24813, 1
216, 0.60016, 3.20512, 1
217, 0.601472, 3.20138, 1
218, 0.6032, 3.20659, 1
219, 0.600064, 3.20064, 1
220, 0.605536, 3.20669, 1
221, 0.599808, 3.20963, 1
222, 0.600064, 3.20189, 1
223, 0.60416, 3.26339, 1
224, 0.602272, 3.20054, 1
225, 0.600512, 3.20336, 1
226, 0.599424, 3.19824, 1
227, 0.603872, 3.20717, 1
228, 0.603968, 3.20102, 1
229, 0.604032, 3.20512, 1
230, 0.603872, 3.26701, 1
231, 0.605312, 3.19846, 1
232, 0.602112, 3.26118, 1
233, 0.604736, 3.20739, 1
234, 0.604384, 3.20762, 1
235, 0.600928, 3.19946, 1
236, 0.602048, 3.20115, 1
237, 0.598592, 3.20307, 1
238, 0.59904, 3.19706, 1
239, 0.598144, 3.1912, 1
240, 0.600032, 3.24608, 1
241, 0.601568, 3.19136, 1
242, 0.597152, 3.19078, 1
243, 0.598592, 3.19034, 1
244, 0.601728, 3.20512, 1
245, 0.600064, 3.19296, 1
246, 0.600064, 3.19078, 1
247, 0.602112, 3.24547, 1
248, 0.60032, 3.19693, 1
249, 0.598016, 3.19898, 1
250, 0.598976, 3.19638, 1
251, 0.604192, 3.20237, 1
252, 0.596928, 3.19398, 1
253, 0.60688, 3.19686, 1
254, 0.606208, 3.1872, 1
255, 0.595968, 3.1911, 1
256, 0.60416, 3.18669, 1
257, 0.602848, 3.19283, 1
258, 0.595968, 3.19072, 1
259, 0.595968, 3.1871, 1
260, 0.603232, 3.18406, 1
261, 0.604064, 3.18294, 1
262, 0.60416, 3.18266, 1
263, 0.599936, 3.17942, 1
264, 0.605632, 3.18086, 1
265, 0.600064, 3.23658, 1
266, 0.602688, 3.18221, 1
267, 0.598016, 3.18259, 1
268, 0.59584, 3.17933, 1
269, 0.601472, 3.18256, 1
