Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_Full_GI_-_96_Surfels_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 0.96448, 0, 1
3, 0.569344, 3.01658, 1
4, 0.5712, 3.42026, 1
5, 0.572064, 3.18403, 1
6, 0.569408, 3.16826, 1
7, 0.57056, 3.1744, 1
8, 0.569248, 3.16826, 1
9, 0.56976, 3.17242, 1
10, 0.57408, 3.1785, 1
11, 0.571456, 3.16611, 1
12, 0.571392, 3.16877, 1
13, 0.571392, 3.16701, 1
14, 0.56944, 3.16861, 1
15, 0.569568, 3.16826, 1
16, 0.56848, 3.16634, 1
17, 0.571392, 3.16989, 1
18, 0.570336, 3.16893, 1
19, 0.57248, 3.18589, 1
20, 0.570848, 3.18048, 1
21, 0.570176, 3.18259, 1
22, 0.570016, 3.16861, 1
23, 0.569728, 3.1744, 1
24, 0.569344, 3.17126, 1
25, 0.569504, 3.17213, 1
26, 0.570816, 3.1737, 1
27, 0.571136, 3.16269, 1
28, 0.566976, 3.15555, 1
29, 0.5704, 3.1785, 1
30, 0.5704, 3.16006, 1
31, 0.567296, 3.16006, 1
32, 0.569408, 3.1648, 1
33, 0.571392, 3.1657, 1
34, 0.569344, 3.16768, 1
35, 0.568864, 3.16458, 1
36, 0.567296, 3.16176, 1
37, 0.571392, 3.16006, 1
38, 0.570336, 3.37382, 1
39, 0.570048, 3.16416, 1
40, 0.56544, 3.16646, 1
41, 0.567648, 3.15645, 1
42, 0.568704, 3.16762, 1
43, 0.569152, 3.15997, 1
44, 0.566976, 3.16006, 1
45, 0.567296, 3.16154, 1
46, 0.570688, 3.16416, 1
47, 0.567712, 3.38944, 1
48, 0.568928, 3.15363, 1
49, 0.569344, 3.17152, 1
50, 0.568928, 3.16163, 1
51, 0.565088, 3.16006, 1
52, 0.566592, 3.15597, 1
53, 0.568128, 3.16765, 1
54, 0.577504, 3.16893, 1
55, 0.577536, 3.1592, 1
56, 0.57344, 3.16496, 1
57, 0.574624, 3.15939, 1
58, 0.569408, 3.15389, 1
59, 0.575552, 3.15597, 1
60, 0.575584, 3.16243, 1
61, 0.57664, 3.16205, 1
62, 0.575488, 3.20608, 1
63, 0.57472, 3.15392, 1
64, 0.568288, 3.16016, 1
65, 0.575712, 3.16416, 1
66, 0.573856, 3.15331, 1
67, 0.574816, 3.15824, 1
68, 0.566144, 3.20816, 1
69, 0.575872, 3.15597, 1
70, 0.576992, 3.15434, 1
71, 0.575488, 3.16586, 1
72, 0.567296, 3.16138, 1
73, 0.566688, 3.16378, 1
74, 0.577472, 3.16669, 1
75, 0.580128, 3.17386, 1
76, 0.579584, 3.17283, 1
77, 0.57344, 3.17702, 1
78, 0.572256, 3.26253, 1
79, 0.571168, 3.26979, 1
80, 0.571136, 3.25834, 1
81, 0.574176, 3.19837, 1
82, 0.570912, 3.19712, 1
83, 0.569792, 3.19488, 1
84, 0.57008, 3.19565, 1
85, 0.571392, 3.19869, 1
86, 0.569824, 3.32707, 1
87, 0.571744, 3.2033, 1
88, 0.570048, 3.19648, 1
89, 0.569824, 3.19027, 1
90, 0.569344, 3.19286, 1
