Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_Full_GI_-_96_Surfels_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 1.43805, 0, 1
3, 0.638944, 4.29866, 1
4, 0.641024, 4.38256, 1
5, 0.638976, 4.31309, 1
6, 0.637312, 4.29466, 1
7, 0.6392, 4.29261, 1
8, 0.634816, 4.0576, 1
9, 0.636928, 4.28646, 1
10, 0.638112, 4.28842, 1
11, 0.632896, 4.05994, 1
12, 0.63728, 4.30262, 1
13, 0.636352, 4.2967, 1
14, 0.63488, 4.06061, 1
15, 0.636192, 4.2537, 1
16, 0.633376, 4.31987, 1
17, 0.638848, 4.05949, 1
18, 0.629376, 4.28646, 1
19, 0.63808, 4.29226, 1
20, 0.636288, 4.06134, 1
21, 0.642528, 4.31533, 1
22, 0.638976, 4.29056, 1
23, 0.632736, 4.0529, 1
24, 0.634144, 4.28384, 1
25, 0.638656, 4.28538, 1
26, 0.630112, 4.02371, 1
27, 0.636672, 4.28442, 1
28, 0.635392, 4.29328, 1
29, 0.626688, 4.03456, 1
30, 0.632864, 4.24746, 1
31, 0.6344, 4.27018, 1
32, 0.63056, 4.04083, 1
33, 0.635264, 4.2593, 1
34, 0.637248, 4.25779, 1
35, 0.62464, 4.01594, 1
36, 0.63104, 4.26912, 1
37, 0.63488, 4.21683, 1
38, 0.63488, 4.2447, 1
39, 0.638976, 4.01818, 1
40, 0.573152, 4.26624, 1
41, 0.581088, 3.17152, 1
42, 0.570752, 3.1703, 1
43, 0.572128, 3.15754, 1
44, 0.571392, 3.15763, 1
45, 0.570432, 3.14733, 1
46, 0.572096, 3.14835, 1
47, 0.5712, 3.15392, 1
48, 0.572448, 3.15802, 1
49, 0.580576, 3.22173, 1
50, 0.57024, 3.1513, 1
51, 0.57344, 3.14368, 1
52, 0.582816, 3.13139, 1
53, 0.571392, 3.14778, 1
54, 0.579136, 3.15802, 1
55, 0.579712, 3.15597, 1
56, 0.573856, 3.15069, 1
57, 0.570464, 3.15171, 1
58, 0.577472, 3.12054, 1
59, 0.579744, 3.1457, 1
60, 0.572, 3.15018, 1
61, 0.577536, 3.19866, 1
62, 0.571776, 3.14982, 1
63, 0.57488, 3.12781, 1
64, 0.582688, 3.21021, 1
65, 0.5688, 3.14778, 1
66, 0.578752, 3.14458, 1
67, 0.575584, 3.14147, 1
68, 0.571552, 3.13754, 1
69, 0.579584, 3.14163, 1
70, 0.577568, 3.13965, 1
71, 0.572896, 3.13565, 1
72, 0.57632, 3.1416, 1
73, 0.579648, 3.13837, 1
74, 0.581984, 3.14128, 1
75, 0.571424, 3.16416, 1
76, 0.580512, 3.11277, 1
77, 0.57056, 3.13546, 1
78, 0.574464, 3.14163, 1
79, 0.571488, 3.1391, 1
80, 0.577536, 3.13562, 1
81, 0.577504, 3.14115, 1
82, 0.573408, 3.13782, 1
83, 0.571808, 3.1377, 1
84, 0.579168, 3.1496, 1
85, 0.577152, 3.14451, 1
86, 0.579328, 3.14547, 1
87, 0.569472, 3.18874, 1
88, 0.5736, 3.13712, 1
89, 0.571392, 3.14077, 1
90, 0.575488, 3.1273, 1
