Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_Full_GI_-_96_Surfels_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 0.98304, 3.4816, 1
3, 0.578112, 3.4816, 1
4, 0.577184, 3.38502, 1
5, 0.575456, 3.42723, 1
6, 0.57232, 3.17258, 1
7, 0.574752, 3.37715, 1
8, 0.57472, 3.17008, 1
9, 0.574208, 3.17408, 1
10, 0.575488, 3.1719, 1
11, 0.574144, 3.17056, 1
12, 0.574016, 3.17082, 1
13, 0.576096, 3.17229, 1
14, 0.573664, 3.17302, 1
15, 0.57504, 3.17322, 1
16, 0.575488, 3.1744, 1
17, 0.575488, 3.18672, 1
18, 0.574272, 3.17075, 1
19, 0.573856, 3.176, 1
20, 0.575424, 3.17456, 1
21, 0.575488, 3.1703, 1
22, 0.574464, 3.16896, 1
23, 0.57344, 3.17322, 1
24, 0.57344, 3.17203, 1
25, 0.574496, 3.1703, 1
26, 0.570368, 3.16006, 1
27, 0.573504, 3.15949, 1
28, 0.570848, 3.16586, 1
29, 0.570624, 3.16906, 1
30, 0.574656, 3.16211, 1
31, 0.571392, 3.16189, 1
32, 0.574496, 3.17238, 1
33, 0.5728, 3.18259, 1
34, 0.571392, 3.18054, 1
35, 0.573952, 3.16643, 1
36, 0.571392, 3.16211, 1
37, 0.576384, 3.16826, 1
38, 0.579584, 3.17126, 1
39, 0.570112, 3.16621, 1
40, 0.577696, 3.16387, 1
41, 0.581632, 3.16422, 1
42, 0.57776, 3.1631, 1
43, 0.57232, 3.16349, 1
44, 0.578176, 3.15827, 1
45, 0.577504, 3.15962, 1
46, 0.575488, 3.16944, 1
47, 0.572928, 3.1599, 1
48, 0.574016, 3.15734, 1
49, 0.581632, 3.16416, 1
50, 0.58144, 3.15875, 1
51, 0.573696, 3.16048, 1
52, 0.572736, 3.16211, 1
53, 0.581792, 3.15811, 1
54, 0.582176, 3.15392, 1
55, 0.577728, 3.15392, 1
56, 0.581632, 3.15648, 1
57, 0.578848, 3.15392, 1
58, 0.579584, 3.15878, 1
59, 0.581888, 3.15802, 1
60, 0.570272, 3.16003, 1
61, 0.584192, 3.16621, 1
62, 0.581632, 3.15802, 1
63, 0.578272, 3.15094, 1
64, 0.5816, 3.1593, 1
65, 0.579904, 3.15392, 1
66, 0.580256, 3.15366, 1
67, 0.57344, 3.15315, 1
68, 0.570496, 3.15331, 1
69, 0.58064, 3.15219, 1
70, 0.580064, 3.14758, 1
71, 0.575488, 3.19894, 1
72, 0.57504, 3.16291, 1
73, 0.571072, 3.15162, 1
74, 0.577056, 3.15571, 1
75, 0.575552, 3.14934, 1
76, 0.571392, 3.15091, 1
77, 0.578208, 3.15187, 1
78, 0.579584, 3.14778, 1
79, 0.582176, 3.16141, 1
80, 0.579584, 3.15123, 1
81, 0.58128, 3.16211, 1
82, 0.579584, 3.2089, 1
83, 0.572032, 3.27818, 1
84, 0.571392, 3.15203, 1
85, 0.569344, 3.14768, 1
86, 0.577952, 3.15776, 1
87, 0.58368, 3.14883, 1
88, 0.577248, 3.1553, 1
89, 0.575648, 3.152, 1
90, 0.577824, 3.15558, 1
