Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_Full_GI_-_96_Surfels_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 0.978944, 0, 1
3, 0.579584, 3.44154, 1
4, 0.57264, 3.29981, 1
5, 0.56944, 3.41619, 1
6, 0.578112, 3.19078, 1
7, 0.572896, 3.17645, 1
8, 0.571392, 3.17235, 1
9, 0.573376, 3.1703, 1
10, 0.569376, 3.17235, 1
11, 0.57344, 3.18218, 1
12, 0.575808, 3.17846, 1
13, 0.576736, 3.17626, 1
14, 0.570336, 3.17462, 1
15, 0.57344, 3.17645, 1
16, 0.570304, 3.17389, 1
17, 0.57088, 3.1657, 1
18, 0.571648, 3.3823, 1
19, 0.570176, 3.1785, 1
20, 0.569344, 3.18525, 1
21, 0.567616, 3.16506, 1
22, 0.57344, 3.16589, 1
23, 0.570304, 3.15987, 1
24, 0.568768, 3.16211, 1
25, 0.576992, 3.17683, 1
26, 0.572384, 3.16205, 1
27, 0.574816, 3.16304, 1
28, 0.567584, 3.16371, 1
29, 0.570912, 3.16224, 1
30, 0.572, 3.15974, 1
31, 0.573984, 3.16144, 1
32, 0.57344, 3.16438, 1
33, 0.569152, 3.16896, 1
34, 0.574432, 3.1703, 1
35, 0.567296, 3.16826, 1
36, 0.569344, 3.16003, 1
37, 0.569824, 3.16867, 1
38, 0.570496, 3.16544, 1
39, 0.56768, 3.16621, 1
40, 0.569792, 3.16166, 1
41, 0.572832, 3.16573, 1
42, 0.57152, 3.16182, 1
43, 0.569344, 3.15018, 1
44, 0.567296, 3.15498, 1
45, 0.567296, 3.15597, 1
46, 0.56864, 3.16259, 1
47, 0.567296, 3.15802, 1
48, 0.571456, 3.15254, 1
49, 0.570496, 3.16211, 1
50, 0.570592, 3.1785, 1
51, 0.568896, 3.16685, 1
52, 0.567296, 3.15472, 1
53, 0.570976, 3.16416, 1
54, 0.568032, 3.16214, 1
55, 0.571392, 3.15712, 1
56, 0.568448, 3.16714, 1
57, 0.57504, 3.16272, 1
58, 0.575488, 3.15738, 1
59, 0.582016, 3.15802, 1
60, 0.579648, 3.15507, 1
61, 0.580992, 3.15597, 1
62, 0.581632, 3.15392, 1
63, 0.569632, 3.15235, 1
64, 0.580992, 3.16013, 1
65, 0.575968, 3.164, 1
66, 0.577536, 3.15501, 1
67, 0.579584, 3.1592, 1
68, 0.566624, 3.16006, 1
69, 0.568128, 3.15597, 1
70, 0.577376, 3.1528, 1
71, 0.576896, 3.15213, 1
72, 0.57632, 3.14979, 1
73, 0.569696, 3.16496, 1
74, 0.582048, 3.15661, 1
75, 0.578048, 3.15373, 1
76, 0.577504, 3.16006, 1
77, 0.574848, 3.15488, 1
78, 0.575648, 3.15597, 1
79, 0.577536, 3.15597, 1
80, 0.565888, 3.15315, 1
81, 0.575424, 3.15603, 1
82, 0.575008, 3.15203, 1
83, 0.566144, 3.15392, 1
84, 0.576096, 3.16006, 1
85, 0.577952, 3.16154, 1
86, 0.580064, 3.15584, 1
87, 0.575488, 3.15392, 1
88, 0.567296, 3.15453, 1
89, 0.570336, 3.16394, 1
90, 0.57888, 3.17098, 1
