Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_No_Surfels_-_64_Rays_Per_Probe
185, 3.02051, 3.16806, 1
186, 3.08838, 3.36282, 1
187, 2.82634, 3.16826, 1
188, 2.93085, 3.37101, 1
189, 2.84877, 3.45174, 1
190, 2.9368, 3.3663, 1
191, 3.03094, 3.45482, 1
192, 3.09018, 3.36749, 1
193, 2.82845, 3.16416, 1
194, 3.03101, 3.36864, 1
195, 2.82928, 3.36358, 1
196, 2.80726, 3.3753, 1
197, 3.03718, 3.35917, 1
198, 3.08406, 3.3751, 1
199, 2.82458, 3.17485, 1
200, 3.06224, 3.37136, 1
201, 3.07667, 3.16794, 1
202, 2.90954, 3.16586, 1
203, 2.92077, 3.35872, 1
204, 3.07005, 3.36934, 1
205, 2.96387, 3.17018, 1
206, 2.88813, 3.37296, 1
207, 2.81277, 3.2215, 1
208, 2.83462, 3.3591, 1
209, 2.97837, 3.3568, 1
210, 2.85472, 3.44445, 1
211, 2.82938, 3.35699, 1
212, 2.80986, 3.36848, 1
213, 2.81866, 3.35872, 1
214, 2.81805, 3.36877, 1
215, 2.84672, 3.36202, 1
216, 2.76394, 3.35667, 1
217, 2.79552, 3.18006, 1
218, 2.75709, 3.36013, 1
219, 3.0679, 3.35258, 1
220, 3.05178, 3.17728, 1
221, 2.95827, 3.36282, 1
222, 3.09043, 3.35584, 1
223, 3.06378, 3.17674, 1
224, 2.8041, 3.17718, 1
225, 3.08806, 3.34934, 1
226, 3.072, 3.17808, 1
227, 3.08733, 3.17242, 1
228, 3.05562, 3.1743, 1
229, 3.09254, 3.18275, 1
230, 3.02291, 3.17574, 1
231, 2.75818, 3.36877, 1
232, 2.80986, 3.18371, 1
233, 2.92045, 3.35914, 1
234, 2.85715, 3.36397, 1
235, 3.03302, 3.21789, 1
236, 2.82624, 3.35258, 1
237, 2.80474, 3.36282, 1
238, 3.09408, 3.36077, 1
239, 3.0889, 3.17318, 1
240, 2.80384, 3.17034, 1
241, 3.09373, 3.3575, 1
242, 2.84058, 3.34246, 1
243, 2.99866, 3.35645, 1
244, 2.8119, 3.18874, 1
245, 2.74182, 3.36896, 1
246, 2.83443, 3.3551, 1
247, 2.81482, 3.3568, 1
248, 2.95731, 3.35731, 1
249, 2.89645, 3.35014, 1
250, 3.09523, 3.3535, 1
251, 3.07814, 3.17466, 1
252, 2.81709, 3.17392, 1
253, 2.97683, 3.35414, 1
254, 2.87741, 3.3633, 1
255, 3.07341, 3.35814, 1
256, 2.81395, 3.17402, 1
