Frame Nr., Compute, Primary Ray Trace, Cornell_Box_(9261_Probes)_-_GI_Off
226, 0, 1.86723, 1
227, 0, 1.86771, 1
228, 0, 1.86621, 1
229, 0, 1.87075, 1
230, 0, 1.86182, 1
231, 0, 1.86778, 1
232, 0, 1.86282, 1
233, 0, 1.87392, 1
234, 0, 1.81875, 1
235, 0, 1.8601, 1
236, 0, 1.85792, 1
237, 0, 1.86576, 1
238, 0, 1.85888, 1
239, 0, 1.85763, 1
240, 0, 1.85728, 1
241, 0, 1.85875, 1
242, 0, 1.85754, 1
243, 0, 1.85222, 1
244, 0, 1.85421, 1
245, 0, 1.8519, 1
246, 0, 1.85549, 1
247, 0, 1.85882, 1
248, 0, 1.84934, 1
249, 0, 1.84755, 1
250, 0, 1.85139, 1
251, 0, 1.85808, 1
252, 0, 1.85053, 1
253, 0, 1.84755, 1
254, 0, 1.84454, 1
255, 0, 1.85661, 1
256, 0, 1.84464, 1
257, 0, 1.84445, 1
258, 0, 1.8409, 1
259, 0, 1.85139, 1
260, 0, 1.8432, 1
261, 0, 1.84336, 1
262, 0, 1.84, 1
263, 0, 1.84304, 1
264, 0, 1.83565, 1
265, 0, 1.84173, 1
266, 0, 1.83706, 1
267, 0, 1.83955, 1
268, 0, 1.83142, 1
269, 0, 1.84458, 1
270, 0, 1.83507, 1
271, 0, 1.8369, 1
272, 0, 1.83341, 1
273, 0, 1.83878, 1
274, 0, 1.82704, 1
275, 0, 1.82851, 1
276, 0, 1.82774, 1
277, 0, 1.83501, 1
278, 0, 1.82896, 1
279, 0, 1.82886, 1
280, 0, 1.82528, 1
281, 0, 1.82829, 1
282, 0, 1.87437, 1
283, 0, 1.87741, 1
284, 0, 1.87187, 1
285, 0, 1.87629, 1
286, 0, 1.86573, 1
287, 0, 1.87488, 1
288, 0, 1.87309, 1
289, 0, 1.86582, 1
290, 0, 1.86554, 1
291, 0, 1.87072, 1
292, 0, 1.86592, 1
293, 0, 1.87354, 1
294, 0, 1.86982, 1
295, 0, 1.86829, 1
296, 0, 1.86813, 1
297, 0, 1.86986, 1
298, 0, 1.86982, 1
299, 0, 1.87446, 1
300, 0, 1.86982, 1
301, 0, 1.87869, 1
302, 0, 1.87037, 1
303, 0, 1.8736, 1
304, 0, 1.87213, 1
305, 0, 1.87699, 1
306, 0, 1.87238, 1
307, 0, 1.87504, 1
308, 0, 1.87392, 1
309, 0, 1.87392, 1
310, 0, 1.8761, 1
311, 0, 1.8801, 1
312, 0, 1.87328, 1
313, 0, 1.88006, 1
314, 0, 1.87629, 1
315, 0, 1.87802, 1
316, 0, 1.87667, 1
317, 0, 1.88006, 1
318, 0, 1.8761, 1
319, 0, 1.88042, 1
320, 0, 1.88006, 1
321, 0, 1.87414, 1
322, 0, 1.876, 1
323, 0, 1.87616, 1
324, 0, 1.87206, 1
325, 0, 1.87187, 1
326, 0, 1.87162, 1
327, 0, 1.87427, 1
328, 0, 1.86995, 1
329, 0, 1.86778, 1
330, 0, 1.8712, 1
331, 0, 1.87392, 1
332, 0, 1.87597, 1
333, 0, 1.87392, 1
334, 0, 1.86982, 1
335, 0, 1.86848, 1
336, 0, 1.86979, 1
337, 0, 1.87293, 1
338, 0, 1.87392, 1
339, 0, 1.87011, 1
340, 0, 1.86778, 1
341, 0, 1.86982, 1
342, 0, 1.87187, 1
343, 0, 1.86749, 1
344, 0, 1.86902, 1
345, 0, 1.86714, 1
346, 0, 1.86778, 1
347, 0, 1.86982, 1
348, 0, 1.87162, 1
349, 0, 1.87174, 1
350, 0, 1.87117, 1
351, 0, 1.86778, 1
352, 0, 1.86778, 1
353, 0, 1.87075, 1
354, 0, 1.86621, 1
355, 0, 1.86522, 1
356, 0, 1.86778, 1
357, 0, 1.86982, 1
358, 0, 1.86966, 1
359, 0, 1.86554, 1
360, 0, 1.86659, 1
361, 0, 1.86518, 1
362, 0, 1.86618, 1
363, 0, 1.86771, 1
364, 0, 1.8655, 1
365, 0, 1.86486, 1
366, 0, 1.86486, 1
367, 0, 1.86675, 1
368, 0, 1.86394, 1
369, 0, 1.86893, 1
370, 0, 1.86566, 1
371, 0, 1.8671, 1
372, 0, 1.86685, 1
373, 0, 1.86893, 1
374, 0, 1.86538, 1
375, 0, 1.86163, 1
376, 0, 1.86461, 1
377, 0, 1.86394, 1
378, 0, 1.8639, 1
379, 0, 1.86573, 1
380, 0, 1.86368, 1
381, 0, 1.86858, 1
382, 0, 1.86349, 1
383, 0, 1.86211, 1
384, 0, 1.86355, 1
385, 0, 1.86902, 1
386, 0, 1.86362, 1
387, 0, 1.86778, 1
388, 0, 1.86163, 1
389, 0, 1.8625, 1
390, 0, 1.86189, 1
391, 0, 1.86624, 1
392, 0, 1.86368, 1
393, 0, 1.86573, 1
394, 0, 1.86349, 1
395, 0, 1.86362, 1
396, 0, 1.86368, 1
397, 0, 1.86608, 1
398, 0, 1.86198, 1
399, 0, 1.8648, 1
400, 0, 1.86368, 1
401, 0, 1.86163, 1
402, 0, 1.8655, 1
403, 0, 1.87165, 1
404, 0, 1.86778, 1
405, 0, 1.86982, 1
406, 0, 1.86256, 1
407, 0, 1.86368, 1
408, 0, 1.86698, 1
409, 0, 1.86659, 1
410, 0, 1.86803, 1
411, 0, 1.86778, 1
412, 0, 1.86573, 1
413, 0, 1.86637, 1
414, 0, 1.86563, 1
415, 0, 1.8673, 1
416, 0, 1.86451, 1
417, 0, 1.86518, 1
418, 0, 1.86394, 1
419, 0, 1.86602, 1
420, 0, 1.86323, 1
421, 0, 1.86368, 1
422, 0, 1.86573, 1
423, 0, 1.86448, 1
424, 0, 1.86144, 1
425, 0, 1.86368, 1
426, 0, 1.86685, 1
427, 0, 1.86534, 1
428, 0, 1.86339, 1
429, 0, 1.86163, 1
430, 0, 1.864, 1
431, 0, 1.86669, 1
432, 0, 1.8616, 1
433, 0, 1.86573, 1
434, 0, 1.86557, 1
435, 0, 1.86592, 1
436, 0, 1.86374, 1
437, 0, 1.86742, 1
438, 0, 1.86374, 1
439, 0, 1.86762, 1
440, 0, 1.86573, 1
441, 0, 1.86163, 1
442, 0, 1.86432, 1
443, 0, 1.86333, 1
444, 0, 1.86339, 1
445, 0, 1.86605, 1
446, 0, 1.86778, 1
447, 0, 1.86739, 1
448, 0, 1.86598, 1
449, 0, 1.8689, 1
450, 0, 1.86163, 1
451, 0, 1.86582, 1
452, 0, 1.86397, 1
453, 0, 1.86378, 1
454, 0, 1.86266, 1
455, 0, 1.86467, 1
456, 0, 1.86314, 1
457, 0, 1.86749, 1
458, 0, 1.86733, 1
459, 0, 1.86202, 1
460, 0, 1.86336, 1
461, 0, 1.86326, 1
462, 0, 1.86573, 1
463, 0, 1.86771, 1
464, 0, 1.86678, 1
465, 0, 1.86762, 1
466, 0, 1.86454, 1
467, 0, 1.86544, 1
468, 0, 1.86163, 1
469, 0, 1.86531, 1
470, 0, 1.86368, 1
471, 0, 1.86378, 1
472, 0, 1.86522, 1
473, 0, 1.86573, 1
474, 0, 1.86406, 1
475, 0, 1.86448, 1
476, 0, 1.86573, 1
477, 0, 1.86272, 1
478, 0, 1.8633, 1
479, 0, 1.86365, 1
480, 0, 1.86573, 1
481, 0, 1.86835, 1
482, 0, 1.86691, 1
483, 0, 1.86368, 1
484, 0, 1.86166, 1
485, 0, 1.86406, 1
486, 0, 1.86566, 1
487, 0, 1.86643, 1
488, 0, 1.86368, 1
489, 0, 1.86477, 1
490, 0, 1.8625, 1
491, 0, 1.86442, 1
492, 0, 1.86272, 1
493, 0, 1.86387, 1
494, 0, 1.86163, 1
495, 0, 1.86506, 1
496, 0, 1.86778, 1
497, 0, 1.86691, 1
498, 0, 1.86371, 1
499, 0, 1.86496, 1
500, 0, 1.86666, 1
501, 0, 1.86397, 1
502, 0, 1.86573, 1
503, 0, 1.86666, 1
504, 0, 1.86573, 1
505, 0, 1.86573, 1
506, 0, 1.86778, 1
507, 0, 1.86352, 1
508, 0, 1.86493, 1
509, 0, 1.86342, 1
510, 0, 1.86042, 1
511, 0, 1.86368, 1
512, 0, 1.86643, 1
513, 0, 1.86253, 1
514, 0, 1.86566, 1
515, 0, 1.86496, 1
516, 0, 1.86416, 1
517, 0, 1.86554, 1
518, 0, 1.8672, 1
519, 0, 1.86547, 1
520, 0, 1.86566, 1
521, 0, 1.86323, 1
522, 0, 1.8616, 1
