Frame Nr., Compute, Primary Ray Trace, Cornell_Box_(9261_Probes)_-_Full_GI_-_160_Surfels_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 3.40387, 0, 1
3, 1.91898, 1.85293, 1
4, 1.44563, 1.84995, 1
5, 1.62906, 2.06538, 1
6, 1.80224, 1.84278, 1
7, 1.61859, 2.048, 1
8, 1.62682, 1.84339, 1
9, 1.62835, 1.84915, 1
10, 1.75923, 1.84298, 1
11, 1.6263, 1.84662, 1
12, 1.62963, 1.83738, 1
13, 1.56416, 1.84086, 1
14, 1.62579, 1.84365, 1
15, 1.44726, 1.84013, 1
16, 1.67526, 1.83706, 1
17, 1.6169, 1.84349, 1
18, 1.62458, 1.84688, 1
19, 1.56013, 2.06234, 1
20, 1.62032, 1.85075, 1
21, 1.6223, 1.83926, 1
22, 1.44157, 2.05418, 1
23, 1.44493, 1.84448, 1
24, 1.44339, 1.84259, 1
25, 1.44563, 1.84512, 1
26, 1.43942, 1.84525, 1
27, 1.43974, 1.84522, 1
28, 1.4399, 1.84605, 1
29, 1.44016, 1.8432, 1
30, 1.44163, 1.844, 1
31, 1.44285, 1.84554, 1
32, 1.44304, 2.04858, 1
33, 1.44205, 2.04963, 1
34, 1.62832, 2.05859, 1
35, 1.62592, 1.84259, 1
36, 1.61997, 1.83984, 1
37, 1.6343, 1.84566, 1
38, 1.61898, 1.8391, 1
39, 1.5631, 2.05194, 1
40, 1.76992, 1.8432, 1
41, 1.5575, 1.84198, 1
42, 1.61853, 1.84413, 1
43, 1.57059, 1.83546, 1
44, 1.62739, 1.8392, 1
45, 1.63635, 1.83501, 1
46, 1.74694, 1.83379, 1
47, 1.62387, 1.84115, 1
48, 1.62128, 1.83693, 1
49, 1.61958, 1.83654, 1
50, 1.91683, 1.83866, 1
51, 1.6319, 1.92214, 1
52, 1.44384, 1.83082, 1
53, 1.63088, 1.83296, 1
54, 1.66429, 1.83504, 1
55, 1.63206, 1.84115, 1
56, 1.61846, 1.83533, 1
57, 1.61997, 1.83933, 1
58, 1.56486, 1.83824, 1
59, 1.57398, 1.84288, 1
60, 1.62323, 1.84061, 1
61, 1.63306, 1.83248, 1
62, 1.62387, 1.83235, 1
63, 1.63626, 1.83635, 1
64, 1.62701, 1.8919, 1
65, 1.63056, 1.83363, 1
66, 1.63491, 1.83501, 1
67, 1.63226, 1.83674, 1
68, 1.62717, 1.83094, 1
69, 1.63014, 1.83478, 1
70, 1.62406, 1.88259, 1
71, 1.63837, 1.83155, 1
72, 1.63242, 1.83466, 1
73, 1.63002, 1.83302, 1
74, 1.6207, 1.88627, 1
75, 1.63213, 1.83235, 1
76, 1.62998, 1.8345, 1
77, 1.6343, 1.83296, 1
78, 1.62384, 1.83085, 1
79, 1.63174, 1.83357, 1
80, 1.62234, 1.8903, 1
81, 1.62877, 1.83158, 1
82, 1.63197, 1.83091, 1
83, 1.63856, 1.83146, 1
84, 1.62186, 1.88058, 1
85, 1.63014, 1.83296, 1
86, 1.62733, 1.88525, 1
87, 1.63059, 1.83149, 1
88, 1.556, 1.83165, 1
89, 1.62227, 1.8432, 1
90, 1.62976, 1.83133, 1
