Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_Full_GI_-_96_Surfels_Per_Probe
185, 0.580064, 3.15597, 1
186, 0.577856, 3.1575, 1
187, 0.56784, 3.15597, 1
188, 0.57344, 3.15466, 1
189, 0.581632, 3.15629, 1
190, 0.577536, 3.15651, 1
191, 0.5736, 3.15597, 1
192, 0.57984, 3.1569, 1
193, 0.571392, 3.15635, 1
194, 0.573344, 3.16154, 1
195, 0.580064, 3.20998, 1
196, 0.580192, 3.15802, 1
197, 0.579104, 3.16605, 1
198, 0.579552, 3.15907, 1
199, 0.581472, 3.16797, 1
200, 0.5744, 3.1543, 1
201, 0.581088, 3.15827, 1
202, 0.577536, 3.15712, 1
203, 0.59776, 3.21331, 1
204, 0.604, 3.15581, 1
205, 0.604864, 3.16218, 1
206, 0.601088, 3.15389, 1
207, 0.600064, 3.21408, 1
208, 0.60576, 3.1583, 1
209, 0.598016, 3.15229, 1
210, 0.603904, 3.16211, 1
211, 0.59952, 3.16621, 1
212, 0.606208, 3.1736, 1
213, 0.606208, 3.16006, 1
214, 0.595968, 3.16986, 1
215, 0.600352, 3.16224, 1
216, 0.604416, 3.21005, 1
217, 0.60416, 3.16006, 1
218, 0.595712, 3.16006, 1
219, 0.60336, 3.16144, 1
220, 0.60416, 3.15776, 1
221, 0.595968, 3.21331, 1
222, 0.600992, 3.16592, 1
223, 0.604224, 3.16269, 1
224, 0.602112, 3.1591, 1
225, 0.595712, 3.15866, 1
226, 0.602304, 3.17517, 1
227, 0.600064, 3.22355, 1
228, 0.608608, 3.1663, 1
229, 0.598368, 3.17651, 1
230, 0.60976, 3.21126, 1
231, 0.599456, 3.15978, 1
232, 0.598016, 3.17082, 1
233, 0.608256, 3.16006, 1
234, 0.60976, 3.16157, 1
235, 0.601792, 3.15594, 1
236, 0.603488, 3.16531, 1
237, 0.600064, 3.15597, 1
238, 0.597664, 3.15571, 1
239, 0.599648, 3.20918, 1
240, 0.597792, 3.15546, 1
241, 0.602496, 3.15901, 1
242, 0.605984, 3.16211, 1
243, 0.595968, 3.16835, 1
244, 0.598208, 3.16621, 1
245, 0.601472, 3.16237, 1
246, 0.59424, 3.20768, 1
247, 0.595424, 3.21946, 1
248, 0.606176, 3.16035, 1
249, 0.603936, 3.23395, 1
250, 0.596, 3.1599, 1
251, 0.596288, 3.15907, 1
252, 0.594592, 3.16406, 1
253, 0.594752, 3.16211, 1
254, 0.601408, 3.15613, 1
255, 0.589568, 3.16045, 1
256, 0.59856, 3.15629, 1
257, 0.598752, 3.15696, 1
258, 0.600544, 3.16384, 1
259, 0.599392, 3.16675, 1
260, 0.590304, 3.15792, 1
261, 0.59744, 3.16202, 1
262, 0.600832, 3.15565, 1
263, 0.602208, 3.15504, 1
264, 0.597568, 3.15824, 1
265, 0.597696, 3.15827, 1
266, 0.600064, 3.15651, 1
267, 0.598048, 3.15034, 1
268, 0.60192, 3.15405, 1
269, 0.598432, 3.15238, 1
270, 0.598944, 3.15597, 1
271, 0.599392, 3.15616, 1
272, 0.598912, 3.15328, 1
273, 0.599264, 3.15827, 1
274, 0.60096, 3.15843, 1
275, 0.595808, 3.15824, 1
276, 0.58704, 3.15949, 1
277, 0.59744, 3.14938, 1
278, 0.59744, 3.15904, 1
279, 0.597728, 3.16006, 1
280, 0.589888, 3.1544, 1
281, 0.596928, 3.15597, 1
282, 0.596736, 3.15597, 1
283, 0.589344, 3.15709, 1
284, 0.602112, 3.20922, 1
285, 0.593664, 3.20243, 1
286, 0.5936, 3.15411, 1
287, 0.591072, 3.15392, 1
