Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_Full_GI_-_128_Surfels_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 2.07437, 0, 1
3, 0.792096, 4.25549, 1
4, 0.797888, 4.3128, 1
5, 0.802656, 4.06528, 1
6, 0.79536, 4.23264, 1
7, 0.79264, 4.27322, 1
8, 0.793824, 4.2817, 1
9, 0.797632, 4.28979, 1
10, 0.796672, 4.0512, 1
11, 0.79504, 4.27213, 1
12, 0.796576, 4.03251, 1
13, 0.796672, 4.28, 1
14, 0.792576, 4.05824, 1
15, 0.796672, 4.30694, 1
16, 0.801472, 4.06541, 1
17, 0.795392, 4.26419, 1
18, 0.794976, 4.31094, 1
19, 0.795456, 4.06102, 1
20, 0.796576, 4.28538, 1
21, 0.797536, 4.05366, 1
22, 0.796576, 4.25773, 1
23, 0.798272, 4.29875, 1
24, 0.798592, 4.05014, 1
25, 0.794976, 4.28208, 1
26, 0.796608, 4.03392, 1
27, 0.78688, 4.2152, 1
28, 0.7976, 4.01507, 1
29, 0.786528, 4.25622, 1
30, 0.796544, 4.01722, 1
31, 0.797952, 4.24346, 1
32, 0.79232, 4.25952, 1
33, 0.794784, 4.24301, 1
34, 0.792704, 4.27421, 1
35, 0.792384, 4.27254, 1
36, 0.792032, 4.25366, 1
37, 0.790592, 4.24992, 1
38, 0.791744, 4.24618, 1
39, 0.790912, 4.2527, 1
40, 0.786336, 4.01091, 1
41, 0.794464, 4.24141, 1
42, 0.79792, 4.02595, 1
43, 0.7872, 4.11587, 1
44, 0.793152, 4.12883, 1
45, 0.788768, 4.07971, 1
46, 0.79312, 4.07725, 1
47, 0.792576, 4.08774, 1
48, 0.791136, 4.06605, 1
49, 0.718848, 3.96666, 1
50, 0.715328, 3.22778, 1
51, 0.719616, 3.17174, 1
52, 0.716928, 3.16848, 1
53, 0.715648, 3.16416, 1
54, 0.71616, 3.17645, 1
55, 0.7168, 3.17203, 1
56, 0.71824, 3.17533, 1
57, 0.714752, 3.17219, 1
58, 0.716256, 3.16826, 1
59, 0.712704, 3.18157, 1
60, 0.715328, 3.16621, 1
61, 0.7168, 3.17517, 1
62, 0.714272, 3.16621, 1
63, 0.720896, 3.17472, 1
64, 0.724992, 3.17414, 1
65, 0.716192, 3.22794, 1
66, 0.722944, 3.16826, 1
67, 0.714752, 3.18042, 1
68, 0.720928, 3.17267, 1
69, 0.716192, 3.1744, 1
70, 0.723744, 3.17382, 1
71, 0.714816, 3.16874, 1
72, 0.710656, 3.16218, 1
73, 0.714752, 3.16237, 1
74, 0.72704, 3.1623, 1
75, 0.71584, 3.21331, 1
76, 0.7168, 3.21408, 1
77, 0.715616, 3.21334, 1
78, 0.723744, 3.16323, 1
79, 0.714752, 3.16563, 1
80, 0.715584, 3.21126, 1
81, 0.714752, 3.15802, 1
82, 0.714368, 3.1632, 1
83, 0.7152, 3.16618, 1
84, 0.714752, 3.21309, 1
85, 0.720896, 3.15434, 1
86, 0.717376, 3.15971, 1
87, 0.724992, 3.15974, 1
88, 0.718848, 3.16096, 1
89, 0.726144, 3.1639, 1
90, 0.720896, 3.15984, 1
