Frame Nr., Compute, Primary Ray Trace, Cornell_Box_(9261_Probes)_-_Full_GI_-_64_Surfels_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 1.47456, 0, 1
3, 0.794624, 2.60301, 1
4, 0.635456, 2.71974, 1
5, 0.63504, 2.75002, 1
6, 0.635296, 2.73414, 1
7, 0.632832, 2.75594, 1
8, 0.63472, 2.73206, 1
9, 0.63488, 2.72707, 1
10, 0.633216, 2.72838, 1
11, 0.632416, 2.72589, 1
12, 0.63392, 2.7279, 1
13, 0.641024, 2.72816, 1
14, 0.633088, 2.75251, 1
15, 0.632832, 2.72998, 1
16, 0.633344, 2.73539, 1
17, 0.634016, 2.73568, 1
18, 0.63488, 2.72986, 1
19, 0.636928, 2.75043, 1
20, 0.6352, 2.74035, 1
21, 0.636928, 2.76224, 1
22, 0.6344, 2.72803, 1
23, 0.632832, 2.73562, 1
24, 0.634368, 2.73408, 1
25, 0.632832, 2.73818, 1
26, 0.632832, 2.73203, 1
27, 0.633888, 2.73942, 1
28, 0.634272, 2.75136, 1
29, 0.55472, 2.73613, 1
30, 0.552576, 2.10058, 1
31, 0.553728, 2.0992, 1
32, 0.553056, 2.10077, 1
33, 0.55168, 2.09741, 1
34, 0.555968, 2.13811, 1
35, 0.554176, 2.10147, 1
36, 0.553472, 2.10176, 1
37, 0.552576, 2.09757, 1
38, 0.55312, 2.0991, 1
39, 0.552608, 2.0992, 1
40, 0.5512, 2.11862, 1
41, 0.55296, 2.0992, 1
42, 0.553024, 2.10003, 1
43, 0.55296, 2.0991, 1
44, 0.552736, 2.10144, 1
45, 0.552896, 2.104, 1
46, 0.552992, 2.11923, 1
47, 0.5512, 2.10918, 1
48, 0.552192, 2.09971, 1
49, 0.555264, 2.10944, 1
50, 0.55296, 2.1033, 1
51, 0.555136, 2.09901, 1
52, 0.551424, 2.10125, 1
53, 0.55296, 2.11968, 1
54, 0.550848, 2.09946, 1
55, 0.550912, 2.09763, 1
56, 0.551424, 2.09677, 1
57, 0.552192, 2.09738, 1
58, 0.551584, 2.09565, 1
59, 0.552544, 2.09587, 1
60, 0.55296, 2.11411, 1
61, 0.555616, 2.01363, 1
62, 0.552064, 2.01062, 1
63, 0.551648, 2.00915, 1
64, 0.552864, 1.98042, 1
65, 0.551392, 1.97216, 1
66, 0.550048, 1.96829, 1
67, 0.554048, 1.97558, 1
68, 0.550912, 1.97178, 1
69, 0.550912, 1.97002, 1
70, 0.554784, 1.9752, 1
71, 0.551296, 1.97146, 1
72, 0.55136, 1.96752, 1
73, 0.55296, 1.96669, 1
74, 0.551008, 1.96678, 1
75, 0.552832, 1.96608, 1
76, 0.551648, 1.96813, 1
77, 0.551712, 1.97037, 1
78, 0.552096, 1.96803, 1
79, 0.554272, 1.97376, 1
80, 0.552256, 1.97632, 1
81, 0.550912, 1.97062, 1
82, 0.554016, 1.97018, 1
83, 0.551168, 1.97174, 1
84, 0.550816, 1.9721, 1
85, 0.551648, 1.96682, 1
86, 0.549856, 1.96669, 1
87, 0.551936, 1.97133, 1
88, 0.55552, 1.98042, 1
89, 0.553728, 1.98115, 1
90, 0.553888, 1.98246, 1
