Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_Full_GI_-_160_Surfels_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 2.17014, 0, 1
3, 0.95232, 4.57523, 1
4, 0.951104, 4.07322, 1
5, 0.949408, 4.33264, 1
6, 0.956032, 4.07539, 1
7, 0.950784, 4.29274, 1
8, 0.948224, 4.23738, 1
9, 0.94704, 4.27827, 1
10, 0.949984, 4.31923, 1
11, 0.94784, 4.30278, 1
12, 0.948832, 4.29114, 1
13, 0.948224, 4.28032, 1
14, 0.950784, 4.26854, 1
15, 0.950272, 4.29654, 1
16, 0.956096, 4.0527, 1
17, 0.949376, 4.28467, 1
18, 0.949728, 4.36458, 1
19, 0.948224, 4.31725, 1
20, 0.94912, 4.28435, 1
21, 0.953888, 4.05267, 1
22, 0.951552, 4.27622, 1
23, 0.950592, 4.28278, 1
24, 0.948448, 4.41523, 1
25, 0.949984, 4.5056, 1
26, 0.950272, 4.30211, 1
27, 0.946944, 4.35814, 1
28, 0.948128, 4.28266, 1
29, 0.948224, 4.27213, 1
30, 0.947776, 4.4743, 1
31, 0.949568, 4.32355, 1
32, 0.947072, 4.2945, 1
33, 0.950272, 4.2801, 1
34, 0.951168, 4.46784, 1
35, 0.948032, 4.29952, 1
36, 0.854016, 4.05549, 1
37, 0.857568, 3.14547, 1
38, 0.854784, 3.13834, 1
39, 0.859424, 3.14778, 1
40, 0.859424, 3.14733, 1
41, 0.854016, 3.34438, 1
42, 0.86208, 3.15187, 1
43, 0.858944, 3.14368, 1
44, 0.860256, 3.14163, 1
45, 0.854016, 3.20784, 1
46, 0.86272, 3.1479, 1
47, 0.857184, 3.20019, 1
48, 0.854752, 3.21018, 1
49, 0.861824, 3.15155, 1
50, 0.851552, 3.20509, 1
51, 0.86016, 3.14451, 1
52, 0.851584, 3.20307, 1
53, 0.851424, 3.20432, 1
54, 0.851968, 3.19914, 1
55, 0.860192, 3.15226, 1
56, 0.864256, 3.15488, 1
57, 0.85584, 3.17827, 1
58, 0.851136, 3.19725, 1
59, 0.85968, 3.13626, 1
60, 0.858112, 3.13693, 1
61, 0.856992, 3.13507, 1
62, 0.86016, 3.13475, 1
63, 0.852864, 3.19078, 1
64, 0.858112, 3.13498, 1
65, 0.86016, 3.14368, 1
66, 0.84992, 3.18083, 1
67, 0.859264, 3.13549, 1
68, 0.854016, 3.15472, 1
69, 0.862208, 3.15738, 1
70, 0.86176, 3.1617, 1
71, 0.862496, 3.15946, 1
72, 0.854976, 3.2121, 1
73, 0.86016, 3.16426, 1
74, 0.85536, 3.22502, 1
75, 0.856064, 3.22381, 1
76, 0.864512, 3.17338, 1
77, 0.855072, 3.22541, 1
78, 0.864256, 3.16826, 1
79, 0.855328, 3.23622, 1
80, 0.863328, 3.17958, 1
81, 0.853856, 3.23424, 1
82, 0.865312, 3.16682, 1
83, 0.856064, 3.22838, 1
84, 0.860704, 3.17283, 1
85, 0.853472, 3.1703, 1
86, 0.855392, 3.22765, 1
87, 0.855552, 3.2215, 1
88, 0.857088, 3.2256, 1
89, 0.854688, 3.1729, 1
90, 0.855936, 3.22125, 1
