Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_Full_GI_-_64_Surfels_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 0.6656, 0, 1
3, 0.436224, 3.48774, 1
4, 0.429056, 3.19488, 1
5, 0.432128, 3.39997, 1
6, 0.426912, 3.40992, 1
7, 0.428032, 3.38957, 1
8, 0.430944, 3.17053, 1
9, 0.429824, 3.1673, 1
10, 0.432384, 3.17478, 1
11, 0.430144, 3.16749, 1
12, 0.434496, 3.18083, 1
13, 0.431744, 3.17216, 1
14, 0.433024, 3.17235, 1
15, 0.435136, 3.17418, 1
16, 0.43088, 3.18432, 1
17, 0.431616, 3.17235, 1
18, 0.429248, 3.17235, 1
19, 0.43008, 3.17837, 1
20, 0.429952, 3.17235, 1
21, 0.432096, 3.17715, 1
22, 0.430816, 3.17472, 1
23, 0.43008, 3.16797, 1
24, 0.4336, 3.17846, 1
25, 0.432064, 3.16835, 1
26, 0.430464, 3.1663, 1
27, 0.425984, 3.16336, 1
28, 0.426944, 3.16656, 1
29, 0.43136, 3.15866, 1
30, 0.42736, 3.15926, 1
31, 0.42848, 3.16211, 1
32, 0.427456, 3.16605, 1
33, 0.427616, 3.16006, 1
34, 0.427584, 3.18669, 1
35, 0.427296, 3.1664, 1
36, 0.427456, 3.1697, 1
37, 0.429184, 3.1703, 1
38, 0.428096, 3.17907, 1
39, 0.439648, 3.16026, 1
40, 0.426592, 3.15994, 1
41, 0.4304, 3.1657, 1
42, 0.434912, 3.16179, 1
43, 0.438272, 3.16416, 1
44, 0.440448, 3.16211, 1
45, 0.442688, 3.16435, 1
46, 0.436224, 3.16221, 1
47, 0.440736, 3.17082, 1
48, 0.443616, 3.16416, 1
49, 0.438336, 3.1703, 1
50, 0.438464, 3.15792, 1
51, 0.430272, 3.1633, 1
52, 0.436224, 3.15187, 1
53, 0.433248, 3.15802, 1
54, 0.44448, 3.15709, 1
55, 0.436032, 3.16374, 1
56, 0.44416, 3.15651, 1
57, 0.440224, 3.15709, 1
58, 0.436224, 3.15264, 1
59, 0.445888, 3.15363, 1
60, 0.44032, 3.15392, 1
61, 0.44272, 3.16416, 1
62, 0.439584, 3.15802, 1
63, 0.438816, 3.14979, 1
64, 0.443968, 3.15981, 1
65, 0.438272, 3.15926, 1
66, 0.435936, 3.15347, 1
67, 0.441728, 3.15597, 1
68, 0.440736, 3.15606, 1
69, 0.443552, 3.15056, 1
70, 0.441248, 3.15344, 1
71, 0.435424, 3.15149, 1
72, 0.44512, 3.15722, 1
73, 0.43984, 3.16419, 1
74, 0.436672, 3.18182, 1
75, 0.44016, 3.17517, 1
76, 0.443776, 3.17475, 1
77, 0.446144, 3.17645, 1
78, 0.446464, 3.17645, 1
79, 0.436736, 3.18643, 1
80, 0.42992, 3.2641, 1
81, 0.428704, 3.24976, 1
82, 0.44528, 3.26352, 1
83, 0.431904, 3.25222, 1
84, 0.440704, 3.19898, 1
85, 0.426464, 3.19488, 1
86, 0.428128, 3.19763, 1
87, 0.430048, 3.1927, 1
88, 0.429728, 3.19693, 1
89, 0.428064, 3.19488, 1
90, 0.430304, 3.19578, 1
