Frame Nr., Compute, Primary Ray Trace, Cornell_Box_(9261_Probes)_-_Full_GI_-_128_Surfels_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 2.18147, 0, 1
3, 1.88646, 1.90765, 1
4, 1.43357, 1.8473, 1
5, 1.38784, 1.84525, 1
6, 1.3824, 2.04339, 1
7, 1.38291, 1.8391, 1
8, 1.3824, 1.84106, 1
9, 1.3847, 1.84115, 1
10, 1.39082, 1.84506, 1
11, 1.38445, 1.8432, 1
12, 1.38333, 1.8448, 1
13, 1.38243, 1.84486, 1
14, 1.38029, 1.84115, 1
15, 1.38608, 1.84342, 1
16, 1.38221, 1.8391, 1
17, 1.38445, 1.83802, 1
18, 1.38778, 1.8409, 1
19, 1.38534, 1.84115, 1
20, 1.38614, 1.83962, 1
21, 1.38829, 1.83882, 1
22, 1.38573, 1.8393, 1
23, 1.38854, 1.83907, 1
24, 1.38272, 1.84115, 1
25, 1.3865, 1.83942, 1
26, 1.37987, 1.84115, 1
27, 1.38518, 1.8392, 1
28, 1.38618, 1.84115, 1
29, 1.38198, 1.8384, 1
30, 1.38445, 1.83862, 1
31, 1.3841, 1.83741, 1
32, 1.38374, 1.83539, 1
33, 1.37779, 1.8369, 1
34, 1.3824, 1.84611, 1
35, 1.38355, 1.8391, 1
36, 1.38029, 1.83699, 1
37, 1.38515, 1.83699, 1
38, 1.3815, 1.83408, 1
39, 1.38237, 1.83501, 1
40, 1.3783, 1.83376, 1
41, 1.37955, 1.83373, 1
42, 1.38054, 1.83312, 1
43, 1.3865, 1.83664, 1
44, 1.3783, 1.83648, 1
45, 1.38426, 1.83738, 1
46, 1.38045, 1.83546, 1
47, 1.38445, 1.83818, 1
48, 1.38182, 1.83882, 1
49, 1.38035, 1.84115, 1
50, 1.38147, 1.84221, 1
51, 1.3824, 1.83501, 1
52, 1.38278, 1.83696, 1
53, 1.38035, 1.83306, 1
54, 1.37821, 1.83386, 1
55, 1.37974, 1.83584, 1
56, 1.37869, 1.83488, 1
57, 1.38054, 1.83296, 1
58, 1.38224, 1.83139, 1
59, 1.38003, 1.81846, 1
60, 1.3809, 1.8296, 1
61, 1.38266, 1.83482, 1
62, 1.38474, 1.83296, 1
63, 1.38099, 1.83542, 1
64, 1.38598, 1.83626, 1
65, 1.37856, 1.83699, 1
66, 1.37965, 1.83296, 1
67, 1.38189, 1.83174, 1
68, 1.37667, 1.83296, 1
69, 1.5872, 1.83229, 1
70, 1.3824, 1.83466, 1
71, 1.38282, 1.8391, 1
72, 1.3824, 1.83043, 1
73, 1.38736, 1.83085, 1
74, 1.3783, 1.83277, 1
75, 1.37814, 1.83296, 1
76, 1.37907, 1.83178, 1
77, 1.3783, 1.83101, 1
78, 1.3783, 1.83091, 1
79, 1.38486, 1.83686, 1
80, 1.38253, 1.8353, 1
81, 1.38163, 1.83296, 1
82, 1.58131, 1.83667, 1
83, 1.38083, 1.83501, 1
84, 1.38042, 1.83098, 1
85, 1.38179, 1.83101, 1
86, 1.37626, 1.83501, 1
87, 1.37978, 1.83296, 1
88, 1.38035, 1.83501, 1
89, 1.38227, 1.83277, 1
90, 1.37846, 1.82944, 1
