Frame Nr., Compute, Primary Ray Trace, Cornell_Box_(9261_Probes)_-_GI_Off
225, 0, 1.86605, 1
226, 0, 1.87187, 1
227, 0, 1.86845, 1
228, 0, 1.86726, 1
229, 0, 1.86675, 1
230, 0, 1.86566, 1
231, 0, 1.86211, 1
232, 0, 1.86307, 1
233, 0, 1.86573, 1
234, 0, 1.86938, 1
235, 0, 1.86086, 1
236, 0, 1.86163, 1
237, 0, 1.86573, 1
238, 0, 1.86573, 1
239, 0, 1.85405, 1
240, 0, 1.86326, 1
241, 0, 1.86173, 1
242, 0, 1.86544, 1
243, 0, 1.85958, 1
244, 0, 1.86445, 1
245, 0, 1.86093, 1
246, 0, 1.86576, 1
247, 0, 1.85715, 1
248, 0, 1.85552, 1
249, 0, 1.8551, 1
250, 0, 1.86163, 1
251, 0, 1.86141, 1
252, 0, 1.85632, 1
253, 0, 1.85344, 1
254, 0, 1.8447, 1
255, 0, 1.85139, 1
256, 0, 1.84803, 1
257, 0, 1.84496, 1
258, 0, 1.84413, 1
259, 0, 1.84336, 1
260, 0, 1.84115, 1
261, 0, 1.8425, 1
262, 0, 1.84512, 1
263, 0, 1.84467, 1
264, 0, 1.84227, 1
265, 0, 1.83824, 1
266, 0, 1.84554, 1
267, 0, 1.83542, 1
268, 0, 1.83501, 1
269, 0, 1.83501, 1
270, 0, 1.84256, 1
271, 0, 1.83395, 1
272, 0, 1.83661, 1
273, 0, 1.83091, 1
274, 0, 1.83267, 1
275, 0, 1.83011, 1
276, 0, 1.82992, 1
277, 0, 1.83046, 1
278, 0, 1.82941, 1
279, 0, 1.82682, 1
280, 0, 1.82477, 1
281, 0, 1.82746, 1
282, 0, 1.87325, 1
283, 0, 1.87498, 1
284, 0, 1.87069, 1
285, 0, 1.86867, 1
286, 0, 1.86982, 1
287, 0, 1.87408, 1
288, 0, 1.87338, 1
289, 0, 1.86221, 1
290, 0, 1.86317, 1
291, 0, 1.86634, 1
292, 0, 1.87267, 1
293, 0, 1.87392, 1
294, 0, 1.87706, 1
295, 0, 1.8697, 1
296, 0, 1.86982, 1
297, 0, 1.87117, 1
298, 0, 1.87584, 1
299, 0, 1.87517, 1
300, 0, 1.87309, 1
301, 0, 1.87392, 1
302, 0, 1.87472, 1
303, 0, 1.87392, 1
304, 0, 1.87379, 1
305, 0, 1.87187, 1
306, 0, 1.8857, 1
307, 0, 1.87347, 1
308, 0, 1.87539, 1
309, 0, 1.87571, 1
310, 0, 1.87187, 1
311, 0, 1.87558, 1
312, 0, 1.87293, 1
313, 0, 1.87187, 1
314, 0, 1.87654, 1
315, 0, 1.87443, 1
316, 0, 1.87232, 1
317, 0, 1.87606, 1
318, 0, 1.87584, 1
319, 0, 1.87392, 1
320, 0, 1.87494, 1
321, 0, 1.87392, 1
322, 0, 1.87187, 1
323, 0, 1.87597, 1
324, 0, 1.88006, 1
325, 0, 1.87392, 1
326, 0, 1.87443, 1
327, 0, 1.8713, 1
328, 0, 1.87914, 1
329, 0, 1.87283, 1
330, 0, 1.87309, 1
331, 0, 1.87043, 1
332, 0, 1.87392, 1
333, 0, 1.87392, 1
334, 0, 1.87798, 1
335, 0, 1.87091, 1
336, 0, 1.86957, 1
337, 0, 1.87597, 1
338, 0, 1.87248, 1
339, 0, 1.87187, 1
340, 0, 1.87264, 1
341, 0, 1.86982, 1
342, 0, 1.86982, 1
343, 0, 1.87392, 1
344, 0, 1.87187, 1
345, 0, 1.86982, 1
346, 0, 1.8687, 1
347, 0, 1.86778, 1
348, 0, 1.86499, 1
349, 0, 1.86381, 1
350, 0, 1.86186, 1
351, 0, 1.86422, 1
352, 0, 1.86573, 1
353, 0, 1.8656, 1
354, 0, 1.86368, 1
355, 0, 1.86368, 1
356, 0, 1.86749, 1
357, 0, 1.86496, 1
358, 0, 1.86544, 1
359, 0, 1.86573, 1
360, 0, 1.86746, 1
361, 0, 1.86726, 1
362, 0, 1.86368, 1
363, 0, 1.86163, 1
364, 0, 1.86451, 1
365, 0, 1.8615, 1
366, 0, 1.86778, 1
367, 0, 1.86038, 1
368, 0, 1.86598, 1
369, 0, 1.86426, 1
370, 0, 1.86778, 1
371, 0, 1.86797, 1
372, 0, 1.86982, 1
373, 0, 1.86573, 1
374, 0, 1.86893, 1
375, 0, 1.86387, 1
376, 0, 1.86573, 1
377, 0, 1.8615, 1
378, 0, 1.86515, 1
379, 0, 1.86368, 1
