Frame Nr., Compute, Primary Ray Trace, Cornell_Box_(9261_Probes)_-_GI_Off
0, 0, 0, 1
1, 0, 0, 1
2, 0, 1.8241, 1
3, 0, 1.8065, 1
4, 0, 1.8065, 1
5, 0, 1.83296, 1
6, 0, 1.85635, 1
7, 0, 1.82886, 1
8, 0, 2.03834, 1
9, 0, 2.02589, 1
10, 0, 2.0296, 1
11, 0, 1.82301, 1
12, 0, 2.04154, 1
13, 0, 2.02944, 1
14, 0, 2.03126, 1
15, 0, 2.03174, 1
16, 0, 2.03162, 1
17, 0, 2.05363, 1
18, 0, 2.02515, 1
19, 0, 2.03002, 1
20, 0, 2.03162, 1
21, 0, 2.02896, 1
22, 0, 2.03571, 1
23, 0, 2.06592, 1
24, 0, 2.03907, 1
25, 0, 2.03245, 1
26, 0, 2.03162, 1
27, 0, 2.0255, 1
28, 0, 2.02394, 1
29, 0, 2.04925, 1
30, 0, 2.02752, 1
31, 0, 2.02547, 1
32, 0, 2.02109, 1
33, 0, 2.02477, 1
34, 0, 2.02822, 1
35, 0, 2.048, 1
36, 0, 2.02342, 1
37, 0, 2.03568, 1
38, 0, 2.02547, 1
39, 0, 2.02973, 1
40, 0, 2.0249, 1
41, 0, 2.02752, 1
42, 0, 1.81629, 1
43, 0, 2.0248, 1
44, 0, 2.02547, 1
45, 0, 2.02643, 1
46, 0, 2.04528, 1
47, 0, 2.03088, 1
48, 0, 2.04595, 1
49, 0, 2.02138, 1
50, 0, 2.02547, 1
51, 0, 2.02496, 1
52, 0, 1.93082, 1
53, 0, 1.91542, 1
54, 0, 1.90976, 1
55, 0, 1.87597, 1
56, 0, 1.87802, 1
57, 0, 1.87331, 1
58, 0, 1.86986, 1
59, 0, 1.8697, 1
60, 0, 1.87386, 1
61, 0, 1.8815, 1
62, 0, 1.87341, 1
63, 0, 1.86925, 1
64, 0, 1.8672, 1
65, 0, 1.87187, 1
66, 0, 1.86918, 1
67, 0, 1.86982, 1
68, 0, 1.86573, 1
69, 0, 1.87392, 1
70, 0, 1.87018, 1
71, 0, 1.86982, 1
72, 0, 1.86557, 1
73, 0, 1.8736, 1
74, 0, 1.86397, 1
75, 0, 1.86778, 1
76, 0, 1.86502, 1
77, 0, 1.86573, 1
78, 0, 1.86378, 1
79, 0, 1.8679, 1
80, 0, 1.86406, 1
81, 0, 1.86573, 1
82, 0, 1.86573, 1
83, 0, 1.86778, 1
84, 0, 1.86368, 1
85, 0, 1.86768, 1
86, 0, 1.86464, 1
87, 0, 1.86854, 1
88, 0, 1.85981, 1
89, 0, 1.86362, 1
90, 0, 1.86163, 1
91, 0, 1.86432, 1
92, 0, 1.86733, 1
93, 0, 1.86845, 1
94, 0, 1.8681, 1
95, 0, 1.86653, 1
96, 0, 1.86205, 1
97, 0, 1.87197, 1
98, 0, 1.86685, 1
99, 0, 1.86614, 1
100, 0, 1.86778, 1
101, 0, 1.86528, 1
102, 0, 1.86573, 1
103, 0, 1.868, 1
104, 0, 1.86368, 1
105, 0, 1.86826, 1
106, 0, 1.86643, 1
107, 0, 1.86429, 1
108, 0, 1.86406, 1
109, 0, 1.86368, 1
110, 0, 1.86525, 1
