Frame Nr., Compute, Primary Ray Trace, Cornell_Box_(9261_Probes)_-_GI_Off
0, 0, 0, 1
1, 0, 0, 1
2, 0, 0, 1
3, 0, 1.82707, 1
4, 0, 1.82707, 1
5, 0, 1.84845, 1
6, 0, 1.86026, 1
7, 0, 1.84125, 1
8, 0, 2.04682, 1
9, 0, 2.04762, 1
10, 0, 2.04534, 1
11, 0, 2.04592, 1
12, 0, 2.06848, 1
13, 0, 2.048, 1
14, 0, 2.04384, 1
15, 0, 2.04595, 1
16, 0, 2.04726, 1
17, 0, 2.04186, 1
18, 0, 2.05005, 1
19, 0, 2.06246, 1
20, 0, 2.04899, 1
21, 0, 2.04176, 1
22, 0, 2.04083, 1
23, 0, 2.04205, 1
24, 0, 2.04186, 1
25, 0, 2.0648, 1
26, 0, 2.0439, 1
27, 0, 2.03987, 1
28, 0, 2.04486, 1
29, 0, 2.0441, 1
30, 0, 2.04138, 1
31, 0, 2.06643, 1
32, 0, 2.03648, 1
33, 0, 2.03638, 1
34, 0, 2.04115, 1
35, 0, 2.03811, 1
36, 0, 2.03706, 1
37, 0, 1.83101, 1
38, 0, 2.04266, 1
39, 0, 2.03706, 1
40, 0, 2.03981, 1
41, 0, 2.03722, 1
42, 0, 2.04358, 1
43, 0, 2.04374, 1
44, 0, 2.05398, 1
45, 0, 2.03776, 1
46, 0, 2.03366, 1
47, 0, 2.03578, 1
48, 0, 2.03981, 1
49, 0, 2.03987, 1
50, 0, 2.03427, 1
51, 0, 1.8296, 1
52, 0, 2.03818, 1
53, 0, 2.03501, 1
54, 0, 2.0345, 1
55, 0, 2.04358, 1
56, 0, 2.05005, 1
57, 0, 2.06829, 1
58, 0, 2.05808, 1
59, 0, 2.05386, 1
60, 0, 2.05005, 1
61, 0, 2.05005, 1
62, 0, 2.048, 1
63, 0, 1.96269, 1
64, 0, 1.92102, 1
65, 0, 1.92003, 1
66, 0, 1.88195, 1
67, 0, 1.87654, 1
68, 0, 1.87818, 1
69, 0, 1.88723, 1
70, 0, 1.88211, 1
71, 0, 1.87613, 1
72, 0, 1.88803, 1
73, 0, 1.88, 1
74, 0, 1.88006, 1
75, 0, 1.88006, 1
76, 0, 1.87811, 1
77, 0, 1.87603, 1
78, 0, 1.87731, 1
79, 0, 1.87603, 1
80, 0, 1.87738, 1
81, 0, 1.87702, 1
82, 0, 1.87539, 1
83, 0, 1.87773, 1
84, 0, 1.8761, 1
85, 0, 1.87808, 1
86, 0, 1.87763, 1
87, 0, 1.87994, 1
88, 0, 1.88787, 1
89, 0, 1.88557, 1
90, 0, 1.88368, 1
91, 0, 1.8863, 1
92, 0, 1.88819, 1
93, 0, 1.88826, 1
94, 0, 1.87814, 1
95, 0, 1.87866, 1
96, 0, 1.87827, 1
97, 0, 1.88051, 1
98, 0, 1.88003, 1
99, 0, 1.8791, 1
100, 0, 1.88064, 1
101, 0, 1.87859, 1
102, 0, 1.87891, 1
103, 0, 1.88461, 1
104, 0, 1.88595, 1
105, 0, 1.88006, 1
106, 0, 1.88128, 1
107, 0, 1.88227, 1
108, 0, 1.88416, 1
109, 0, 1.8817, 1
110, 0, 1.87779, 1
