Frame Nr., Compute, Primary Ray Trace, Cornell_Box_(9261_Probes)_-_GI_Off
0, 0, 0, 1
1, 0, 0, 1
2, 0, 0, 1
3, 0, 1.81853, 1
4, 0, 2.0399, 1
5, 0, 1.69299, 1
6, 0, 2.05824, 1
7, 0, 2.04205, 1
8, 0, 2.04912, 1
9, 0, 2.04099, 1
10, 0, 2.04173, 1
11, 0, 2.07206, 1
12, 0, 2.04586, 1
13, 0, 2.04022, 1
14, 0, 2.04742, 1
15, 0, 2.04131, 1
16, 0, 2.04102, 1
17, 0, 2.06848, 1
18, 0, 2.05158, 1
19, 0, 2.05952, 1
20, 0, 2.05101, 1
21, 0, 2.04589, 1
22, 0, 2.04368, 1
23, 0, 2.0713, 1
24, 0, 2.04211, 1
25, 0, 1.8391, 1
26, 0, 2.048, 1
27, 0, 2.048, 1
28, 0, 2.04269, 1
29, 0, 2.06029, 1
30, 0, 2.04531, 1
31, 0, 2.0359, 1
32, 0, 2.03856, 1
33, 0, 2.04131, 1
34, 0, 2.03779, 1
35, 0, 2.05616, 1
36, 0, 2.04186, 1
37, 0, 2.03798, 1
38, 0, 2.0439, 1
39, 0, 2.03318, 1
40, 0, 2.03258, 1
41, 0, 2.05427, 1
42, 0, 2.04186, 1
43, 0, 2.04186, 1
44, 0, 2.0432, 1
45, 0, 2.04006, 1
46, 0, 2.03898, 1
47, 0, 2.06029, 1
48, 0, 2.03981, 1
49, 0, 2.03981, 1
50, 0, 2.04221, 1
51, 0, 2.03981, 1
52, 0, 2.04144, 1
53, 0, 2.03645, 1
54, 0, 2.06234, 1
55, 0, 2.0377, 1
56, 0, 2.04211, 1
57, 0, 2.03782, 1
58, 0, 2.04448, 1
59, 0, 2.03981, 1
60, 0, 2.05722, 1
61, 0, 1.93267, 1
62, 0, 1.91693, 1
63, 0, 1.92064, 1
64, 0, 1.89062, 1
65, 0, 1.88259, 1
66, 0, 1.88621, 1
67, 0, 1.88621, 1
68, 0, 1.88317, 1
69, 0, 1.87821, 1
70, 0, 1.8897, 1
71, 0, 1.87875, 1
72, 0, 1.87917, 1
73, 0, 1.88822, 1
74, 0, 1.88608, 1
75, 0, 1.87987, 1
76, 0, 1.87626, 1
77, 0, 1.88006, 1
78, 0, 1.8825, 1
79, 0, 1.8791, 1
80, 0, 1.88234, 1
81, 0, 1.87808, 1
82, 0, 1.88112, 1
83, 0, 1.87587, 1
84, 0, 1.87802, 1
85, 0, 1.8744, 1
86, 0, 1.88995, 1
87, 0, 1.87914, 1
88, 0, 1.88157, 1
89, 0, 1.88173, 1
90, 0, 1.89245, 1
91, 0, 1.87734, 1
92, 0, 1.87872, 1
93, 0, 1.88621, 1
94, 0, 1.8903, 1
95, 0, 1.8824, 1
96, 0, 1.8864, 1
97, 0, 1.88422, 1
98, 0, 1.8881, 1
99, 0, 1.88736, 1
100, 0, 1.88534, 1
101, 0, 1.88477, 1
102, 0, 1.88394, 1
103, 0, 1.88026, 1
104, 0, 1.8807, 1
105, 0, 1.88211, 1
106, 0, 1.8817, 1
107, 0, 1.88003, 1
108, 0, 1.87872, 1
109, 0, 1.88214, 1
110, 0, 1.87811, 1
