Frame Nr., Compute, Primary Ray Trace, Cornell_Box_(9261_Probes)_-_No_Surfels_-_64_Rays_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 5.12317, 0, 1
3, 5.22944, 1.84154, 1
4, 5.04282, 1.69472, 1
5, 5.12678, 1.69126, 1
6, 5.53107, 1.84794, 1
7, 5.42707, 1.84144, 1
8, 5.44742, 1.8432, 1
9, 5.50291, 1.8431, 1
10, 5.48214, 1.8425, 1
11, 5.4679, 1.84579, 1
12, 5.47491, 1.8432, 1
13, 5.49638, 1.84413, 1
14, 5.50605, 1.84368, 1
15, 5.48259, 1.84202, 1
16, 5.48701, 1.84314, 1
17, 5.51014, 1.83869, 1
18, 5.49069, 1.8423, 1
19, 5.48432, 1.84496, 1
20, 5.50867, 1.8473, 1
21, 5.45078, 1.84266, 1
22, 5.47034, 1.84115, 1
23, 5.4665, 1.83926, 1
24, 5.51286, 1.8391, 1
25, 5.47226, 1.8391, 1
26, 5.45094, 1.84314, 1
27, 5.47379, 1.84115, 1
28, 5.50682, 1.83936, 1
29, 5.45104, 1.8392, 1
30, 5.4537, 1.83882, 1
31, 5.45923, 1.84195, 1
32, 5.47395, 1.84659, 1
33, 5.47866, 1.8391, 1
34, 5.45469, 1.84208, 1
35, 5.49133, 1.8432, 1
36, 5.39936, 1.83917, 1
37, 5.40672, 1.84528, 1
38, 5.38026, 1.84275, 1
39, 5.2695, 1.83936, 1
40, 5.56499, 1.84454, 1
41, 5.33709, 1.8407, 1
42, 5.54528, 1.8455, 1
43, 5.51715, 1.83706, 1
44, 5.53984, 1.84269, 1
45, 5.32899, 1.83802, 1
46, 5.31283, 1.84253, 1
47, 5.3207, 1.68573, 1
48, 5.3072, 1.84115, 1
49, 5.56237, 1.84115, 1
50, 5.52998, 1.8399, 1
51, 5.35347, 1.8391, 1
52, 5.32422, 1.83834, 1
53, 5.38672, 1.84115, 1
54, 5.32541, 1.84112, 1
55, 5.53261, 1.84195, 1
56, 5.32582, 1.83731, 1
57, 5.5464, 1.83942, 1
58, 5.39034, 1.84218, 1
59, 5.28934, 1.68755, 1
60, 5.36384, 1.83734, 1
61, 5.30813, 1.6896, 1
62, 5.35725, 1.83958, 1
63, 5.524, 1.83686, 1
64, 5.36317, 1.84518, 1
65, 5.52947, 1.83917, 1
66, 5.33094, 1.83642, 1
67, 5.38214, 1.84115, 1
68, 5.52771, 1.83962, 1
69, 5.30534, 1.8391, 1
70, 5.35184, 1.83827, 1
71, 5.54835, 1.83658, 1
72, 5.3712, 1.83827, 1
73, 5.31046, 1.84093, 1
74, 5.52346, 1.84115, 1
75, 5.3199, 1.8391, 1
76, 5.33443, 1.84221, 1
77, 5.31251, 1.84115, 1
78, 5.53306, 1.84326, 1
79, 5.53587, 1.84256, 1
80, 5.5161, 1.8391, 1
81, 5.376, 1.84102, 1
82, 5.33898, 1.68723, 1
83, 5.28781, 1.84128, 1
84, 5.33834, 1.84298, 1
85, 5.36502, 1.84115, 1
86, 5.36019, 1.8391, 1
87, 5.52317, 1.84115, 1
88, 5.32582, 1.8417, 1
89, 5.54122, 1.8432, 1
90, 5.51584, 1.83914, 1
