Frame Nr., Compute, Primary Ray Trace, Cornell_Box_(9261_Probes)_-_No_Surfels_-_64_Rays_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 5.08518, 0, 1
3, 5.5992, 1.84282, 1
4, 5.15648, 1.84934, 1
5, 5.07699, 1.69501, 1
6, 5.72342, 1.6937, 1
7, 5.41539, 1.85075, 1
8, 5.4784, 1.8576, 1
9, 5.41827, 1.84525, 1
10, 5.48864, 1.85584, 1
11, 5.45587, 1.84381, 1
12, 5.46256, 1.84339, 1
13, 5.456, 1.84586, 1
14, 5.43766, 1.84186, 1
15, 5.48138, 1.84934, 1
16, 5.46406, 1.84707, 1
17, 5.45814, 1.84166, 1
18, 5.47981, 1.83882, 1
19, 5.48083, 1.84525, 1
20, 5.50592, 1.84115, 1
21, 5.47424, 1.84198, 1
22, 5.47107, 1.84115, 1
23, 5.48454, 1.8391, 1
24, 5.51683, 1.84208, 1
25, 5.49395, 1.84115, 1
26, 5.50912, 1.8391, 1
27, 5.47152, 1.84147, 1
28, 5.50682, 1.83811, 1
29, 5.47664, 1.84234, 1
30, 5.48659, 1.84102, 1
31, 5.46125, 1.8391, 1
32, 5.49501, 1.83766, 1
33, 5.47789, 1.8391, 1
34, 5.48547, 1.83757, 1
35, 5.4719, 1.84099, 1
36, 5.3951, 1.84032, 1
37, 5.40058, 1.83811, 1
38, 5.36371, 1.83296, 1
39, 5.38371, 1.8391, 1
40, 5.33302, 1.83664, 1
41, 5.55798, 1.83574, 1
42, 5.38992, 1.8391, 1
43, 5.36688, 1.83757, 1
44, 5.39456, 1.84054, 1
45, 5.3207, 1.68566, 1
46, 5.52659, 1.83818, 1
47, 5.53779, 1.83853, 1
48, 5.54355, 1.83494, 1
49, 5.34141, 1.83968, 1
50, 5.51731, 1.84477, 1
51, 5.52957, 1.84378, 1
52, 5.52346, 1.83667, 1
53, 5.36502, 1.83635, 1
54, 5.52598, 1.83917, 1
55, 5.52022, 1.83942, 1
56, 5.51117, 1.83706, 1
57, 5.34035, 1.6855, 1
58, 5.35552, 1.83882, 1
59, 5.53936, 1.8391, 1
60, 5.52794, 1.83603, 1
61, 5.52678, 1.83872, 1
62, 5.54307, 1.83706, 1
63, 5.53066, 1.83706, 1
64, 5.33299, 1.84115, 1
65, 5.5167, 1.84269, 1
66, 5.54259, 1.83747, 1
67, 5.53152, 1.83466, 1
68, 5.33821, 1.83869, 1
69, 5.37491, 1.83837, 1
70, 5.53024, 1.83651, 1
71, 5.53664, 1.8407, 1
72, 5.52272, 1.8391, 1
73, 5.39238, 1.83594, 1
74, 5.53904, 1.68291, 1
75, 5.31846, 1.83834, 1
76, 5.34816, 1.83914, 1
77, 5.33091, 1.83584, 1
78, 5.52352, 1.83667, 1
79, 5.37526, 1.8409, 1
80, 5.35757, 1.84166, 1
81, 5.53779, 1.83706, 1
82, 5.31606, 1.83725, 1
83, 5.52592, 1.83888, 1
84, 5.32259, 1.83408, 1
85, 5.376, 1.84157, 1
86, 5.52893, 1.83501, 1
87, 5.35123, 1.83494, 1
88, 5.50707, 1.83824, 1
89, 5.51504, 1.8368, 1
90, 5.53267, 1.83664, 1
