Frame Nr., Compute, Primary Ray Trace, Cornell_Box_(9261_Probes)_-_No_Surfels_-_64_Rays_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 5.09958, 0, 1
3, 5.57149, 1.84262, 1
4, 5.16454, 1.7015, 1
5, 5.10797, 1.69379, 1
6, 5.17622, 1.69379, 1
7, 5.06634, 1.69318, 1
8, 5.52973, 1.84448, 1
9, 5.43555, 1.84378, 1
10, 5.47789, 1.69677, 1
11, 5.04832, 1.84525, 1
12, 5.5096, 1.84304, 1
13, 5.44576, 1.84346, 1
14, 5.44534, 1.84701, 1
15, 5.44691, 1.84349, 1
16, 5.47146, 1.8432, 1
17, 5.46714, 1.8424, 1
18, 5.48301, 1.84115, 1
19, 5.50083, 1.8433, 1
20, 5.51328, 1.8473, 1
21, 5.4937, 1.8432, 1
22, 5.46253, 1.84115, 1
23, 5.45587, 1.84368, 1
24, 5.4879, 1.83974, 1
25, 5.43949, 1.84378, 1
26, 5.49437, 1.84138, 1
27, 5.47296, 1.84115, 1
28, 5.4743, 1.8417, 1
29, 5.44582, 1.84288, 1
30, 5.48256, 1.8369, 1
31, 5.4352, 1.8415, 1
32, 5.48659, 1.83558, 1
33, 5.46182, 1.83706, 1
34, 5.47619, 1.8432, 1
35, 5.45405, 1.84102, 1
36, 5.39443, 1.83773, 1
37, 5.54797, 1.84115, 1
38, 5.33222, 1.83501, 1
39, 5.50298, 1.84115, 1
40, 5.36634, 1.8351, 1
41, 5.51491, 1.8432, 1
42, 5.51731, 1.83878, 1
43, 5.5008, 1.83626, 1
44, 5.34902, 1.83539, 1
45, 5.51318, 1.83818, 1
46, 5.35152, 1.8392, 1
47, 5.51936, 1.84211, 1
48, 5.35085, 1.83501, 1
49, 5.53635, 1.84112, 1
50, 5.35686, 1.84115, 1
51, 5.4945, 1.83638, 1
52, 5.33062, 1.83706, 1
53, 5.31456, 1.83722, 1
54, 5.5303, 1.83501, 1
55, 5.28333, 1.83706, 1
56, 5.3359, 1.83674, 1
57, 5.50502, 1.83526, 1
58, 5.50912, 1.8391, 1
59, 5.31251, 1.84115, 1
60, 5.53981, 1.83501, 1
61, 5.33299, 1.83501, 1
62, 5.51094, 1.8425, 1
63, 5.5111, 1.8391, 1
64, 5.52006, 1.84074, 1
65, 5.35757, 1.83962, 1
66, 5.5375, 1.83798, 1
67, 5.30182, 1.83677, 1
68, 5.5312, 1.83706, 1
69, 5.33504, 1.83706, 1
70, 5.52176, 1.83773, 1
71, 5.29862, 1.83475, 1
72, 5.50707, 1.83741, 1
73, 5.32435, 1.8383, 1
74, 5.5111, 1.83651, 1
75, 5.29402, 1.83814, 1
76, 5.27718, 1.84029, 1
77, 5.34323, 1.84246, 1
78, 5.33571, 1.8391, 1
79, 5.52266, 1.84496, 1
80, 5.52355, 1.83846, 1
81, 5.52474, 1.83766, 1
82, 5.29021, 1.83898, 1
83, 5.36166, 1.8391, 1
84, 5.37395, 1.83728, 1
85, 5.3423, 1.83501, 1
86, 5.51901, 1.83616, 1
87, 5.50262, 1.83706, 1
88, 5.54061, 1.83779, 1
89, 5.29203, 1.83706, 1
90, 5.3488, 1.83971, 1
