Frame Nr., Compute, Primary Ray Trace, Cornell_Box_(9261_Probes)_-_No_Surfels_-_64_Rays_Per_Probe
185, 5.34986, 1.84083, 1
186, 5.53082, 1.8391, 1
187, 5.3775, 1.83677, 1
188, 5.54, 1.83706, 1
189, 5.51744, 1.83978, 1
190, 5.33075, 1.83635, 1
191, 5.54301, 1.68531, 1
192, 5.52496, 1.83706, 1
193, 5.30234, 1.83792, 1
194, 5.5601, 1.83706, 1
195, 5.51834, 1.8391, 1
196, 5.3433, 1.83706, 1
197, 5.53379, 1.83907, 1
198, 5.32512, 1.83987, 1
199, 5.53779, 1.8417, 1
200, 5.36544, 1.84499, 1
201, 5.35878, 1.83869, 1
202, 5.54234, 1.83309, 1
203, 5.36781, 1.83693, 1
204, 5.31354, 1.84352, 1
205, 5.54192, 1.84269, 1
206, 5.53779, 1.83706, 1
207, 5.3223, 1.83546, 1
208, 5.51741, 1.83626, 1
209, 5.38624, 1.83469, 1
210, 5.27334, 1.8343, 1
211, 5.32352, 1.83706, 1
212, 5.36275, 1.83558, 1
213, 5.32144, 1.83091, 1
214, 5.32275, 1.83715, 1
215, 5.52157, 1.83616, 1
216, 5.35786, 1.8288, 1
217, 5.35482, 1.83494, 1
218, 5.33152, 1.82858, 1
219, 5.53978, 1.83206, 1
220, 5.52141, 1.82886, 1
221, 5.53117, 1.83107, 1
222, 5.5337, 1.83046, 1
223, 5.35661, 1.82749, 1
224, 5.54128, 1.82781, 1
225, 5.36371, 1.82678, 1
226, 5.30819, 1.82595, 1
227, 5.34202, 1.82976, 1
228, 5.51936, 1.67344, 1
229, 5.55264, 1.82477, 1
230, 5.52275, 1.82461, 1
231, 5.3248, 1.82515, 1
232, 5.52653, 1.82067, 1
233, 5.35136, 1.8249, 1
234, 5.5255, 1.82627, 1
235, 5.31251, 1.82102, 1
236, 5.53709, 1.82067, 1
237, 5.3311, 1.81891, 1
238, 5.34733, 1.82272, 1
239, 5.53098, 1.81866, 1
240, 5.31926, 1.81654, 1
241, 5.37005, 1.81974, 1
242, 5.31251, 1.6649, 1
243, 5.51315, 1.81658, 1
244, 5.32509, 1.82067, 1
245, 5.3719, 1.81699, 1
246, 5.31648, 1.81453, 1
247, 5.52666, 1.81254, 1
248, 5.332, 1.80861, 1
249, 5.33568, 1.81178, 1
250, 5.3783, 1.81222, 1
251, 5.37126, 1.81043, 1
252, 5.31661, 1.8105, 1
253, 5.53952, 1.81043, 1
254, 5.33722, 1.80643, 1
255, 5.3592, 1.80768, 1
256, 5.51731, 1.80429, 1
257, 5.35552, 1.80573, 1
258, 5.33149, 1.80477, 1
259, 5.36291, 1.80429, 1
260, 5.54189, 1.80429, 1
261, 5.29818, 1.80141, 1
262, 5.35514, 1.80285, 1
263, 5.31459, 1.79942, 1
264, 5.36797, 1.80362, 1
265, 5.37187, 1.80019, 1
266, 5.30483, 1.7983, 1
267, 5.52755, 1.79981, 1
268, 5.31462, 1.7961, 1
269, 5.52074, 1.79962, 1
270, 5.31754, 1.7961, 1
271, 5.52387, 1.79814, 1
272, 5.55213, 1.79546, 1
273, 5.36842, 1.79216, 1
274, 5.5487, 1.79542, 1
275, 5.53139, 1.79405, 1
276, 5.31645, 1.7943, 1
277, 5.51731, 1.79014, 1
278, 5.33914, 1.78925, 1
279, 5.2815, 1.79123, 1
280, 5.37344, 1.79418, 1
281, 5.31027, 1.7857, 1
282, 5.25434, 1.83501, 1
283, 5.32272, 1.83363, 1
284, 5.31456, 1.83264, 1
285, 5.29408, 1.82886, 1
286, 5.31018, 1.82477, 1
287, 5.30614, 1.83574, 1
288, 5.2985, 1.83501, 1
289, 5.31315, 1.82813, 1
290, 5.31482, 1.82682, 1
291, 5.2992, 1.83091, 1
292, 5.31251, 1.82659, 1
293, 5.33738, 1.83418, 1
294, 5.50502, 1.82886, 1
295, 5.31402, 1.82896, 1
296, 5.3551, 1.83197, 1
297, 5.35242, 1.83421, 1
298, 4.92954, 1.83328, 1
299, 5.3289, 1.83238, 1
300, 5.34941, 1.83197, 1
301, 5.37344, 1.83459, 1
302, 5.51322, 1.83149, 1
303, 5.25203, 1.83296, 1
304, 5.30432, 1.8432, 1
305, 5.29258, 1.83408, 1
306, 5.28058, 1.83178, 1
307, 5.26746, 1.83402, 1
308, 5.29818, 1.83738, 1
309, 5.30922, 1.83235, 1
310, 5.36035, 1.83152, 1
311, 5.31661, 1.83309, 1
312, 5.32477, 1.83091, 1
313, 5.29114, 1.83283, 1
314, 5.30886, 1.83091, 1
315, 5.52346, 1.83488, 1
316, 5.31747, 1.82886, 1
317, 5.50189, 1.83693, 1
318, 5.31498, 1.83091, 1
319, 5.37696, 1.83648, 1
320, 5.51117, 1.83248, 1
321, 5.26861, 1.82816, 1
322, 5.50979, 1.83296, 1
323, 5.29597, 1.83245, 1
324, 5.5199, 1.83296, 1
325, 5.51958, 1.83286, 1
326, 5.33811, 1.83091, 1
327, 5.5232, 1.83315, 1
328, 5.29917, 1.82886, 1
329, 5.33702, 1.82976, 1
330, 5.50934, 1.83066, 1
331, 5.50304, 1.8305, 1
332, 5.51936, 1.8321, 1
333, 5.31354, 1.83296, 1
334, 5.54442, 1.83299, 1
335, 5.34051, 1.83062, 1
336, 5.33933, 1.83155, 1
337, 5.50582, 1.83296, 1
338, 5.5272, 1.8272, 1
339, 5.29466, 1.82829, 1
340, 5.31696, 1.83114, 1
341, 5.30832, 1.8327, 1
342, 5.52147, 1.82714, 1
343, 5.35379, 1.82864, 1
344, 5.51526, 1.67517, 1
345, 5.5296, 1.82813, 1
346, 5.33322, 1.82758, 1
347, 5.5296, 1.82784, 1
348, 5.32042, 1.82426, 1
349, 5.36374, 1.83494, 1
350, 5.5255, 1.83008, 1
351, 5.33926, 1.82541, 1
352, 5.3641, 1.82477, 1
353, 5.53754, 1.82461, 1
354, 5.51936, 1.82502, 1
355, 5.30234, 1.82666, 1
356, 5.53779, 1.82614, 1
357, 5.32704, 1.82614, 1
