Frame Nr., Compute, Primary Ray Trace, Cornell_Box_(9261_Probes)_-_No_Surfels_-_64_Rays_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 5.57046, 0, 1
3, 5.02784, 1.84314, 1
4, 5.37482, 1.69472, 1
5, 5.38368, 1.84912, 1
6, 5.04816, 1.84336, 1
7, 5.51322, 1.84221, 1
8, 5.04506, 1.84707, 1
9, 5.5073, 1.84934, 1
10, 5.49421, 1.84525, 1
11, 5.46611, 1.844, 1
12, 5.46211, 1.84954, 1
13, 5.46611, 1.84525, 1
14, 5.48573, 1.84637, 1
15, 5.44387, 1.84314, 1
16, 5.48739, 1.84157, 1
17, 5.48189, 1.8432, 1
18, 5.48413, 1.8377, 1
19, 5.4743, 1.84304, 1
20, 5.4743, 1.84525, 1
21, 5.45792, 1.8432, 1
22, 5.4945, 1.84346, 1
23, 5.5008, 1.84115, 1
24, 5.46486, 1.8473, 1
25, 5.4855, 1.8432, 1
26, 5.51936, 1.84122, 1
27, 5.49478, 1.84701, 1
28, 5.49123, 1.83978, 1
29, 5.50682, 1.84061, 1
30, 5.52886, 1.83837, 1
31, 5.46662, 1.8432, 1
32, 5.47347, 1.84115, 1
33, 5.43949, 1.8401, 1
34, 5.53779, 1.8391, 1
35, 5.4775, 1.84134, 1
36, 5.44598, 1.8391, 1
37, 5.48083, 1.83706, 1
38, 5.38624, 1.84019, 1
39, 5.56534, 1.83942, 1
40, 5.34925, 1.83693, 1
41, 5.3592, 1.83741, 1
42, 5.3055, 1.83718, 1
43, 5.27283, 1.84064, 1
44, 5.53574, 1.8432, 1
45, 5.31866, 1.83734, 1
46, 5.54029, 1.8391, 1
47, 5.31686, 1.8391, 1
48, 5.53341, 1.84474, 1
49, 5.37648, 1.8432, 1
50, 5.30125, 1.68736, 1
51, 5.36941, 1.84179, 1
52, 5.36554, 1.83898, 1
53, 5.52326, 1.8375, 1
54, 5.52141, 1.83571, 1
55, 5.5296, 1.84099, 1
56, 5.51526, 1.84138, 1
57, 5.33946, 1.83706, 1
58, 5.3689, 1.84246, 1
59, 5.31949, 1.8391, 1
60, 4.93549, 1.83898, 1
61, 5.52141, 1.84058, 1
62, 5.29891, 1.83872, 1
63, 5.55642, 1.84317, 1
64, 5.32525, 1.8432, 1
65, 5.35936, 1.8432, 1
66, 5.32016, 1.83795, 1
67, 5.54166, 1.83878, 1
68, 5.32058, 1.83862, 1
69, 5.3647, 1.83974, 1
70, 5.35757, 1.83706, 1
71, 5.33709, 1.8391, 1
72, 5.28589, 1.8392, 1
73, 5.32669, 1.84061, 1
74, 5.29818, 1.83702, 1
75, 5.3519, 1.84019, 1
76, 5.36355, 1.84291, 1
77, 5.51894, 1.83658, 1
78, 5.35757, 1.83706, 1
79, 5.32906, 1.84349, 1
80, 5.29827, 1.83869, 1
81, 5.5255, 1.83888, 1
82, 5.30864, 1.83706, 1
83, 5.29613, 1.8432, 1
84, 5.52643, 1.8391, 1
85, 5.5368, 1.8391, 1
86, 5.31456, 1.83702, 1
87, 5.35962, 1.8391, 1
88, 5.34733, 1.83872, 1
89, 5.27741, 1.83747, 1
90, 5.33984, 1.8391, 1
