Frame Nr., Compute, Primary Ray Trace, Cornell_Box_(9261_Probes)_-_No_Surfels_-_64_Rays_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 4.97901, 0, 1
3, 5.16442, 1.84832, 1
4, 5.04019, 1.69574, 1
5, 5.2735, 2.04352, 1
6, 5.59514, 1.8448, 1
7, 5.41901, 1.8449, 1
8, 5.52122, 1.69965, 1
9, 5.50586, 1.84733, 1
10, 5.46074, 1.84838, 1
11, 5.48694, 1.85114, 1
12, 5.45997, 1.84211, 1
13, 5.48406, 1.8432, 1
14, 5.49744, 1.84262, 1
15, 5.48659, 1.84694, 1
16, 5.47149, 1.84186, 1
17, 5.4825, 1.84115, 1
18, 5.4825, 1.84253, 1
19, 5.49059, 1.84115, 1
20, 5.49219, 1.8473, 1
21, 5.48995, 1.84134, 1
22, 5.43805, 1.84038, 1
23, 5.50886, 1.8391, 1
24, 5.46611, 1.84179, 1
25, 5.47706, 1.84115, 1
26, 5.50307, 1.8391, 1
27, 5.46877, 1.84275, 1
28, 5.45846, 1.83856, 1
29, 5.53434, 1.84115, 1
30, 5.46202, 1.83907, 1
31, 5.47974, 1.83926, 1
32, 5.47539, 1.83715, 1
33, 5.48864, 1.83533, 1
34, 5.46829, 1.84048, 1
35, 5.49888, 1.84538, 1
36, 5.37782, 1.83984, 1
37, 5.35728, 1.84038, 1
38, 5.40544, 1.83706, 1
39, 5.35718, 1.84506, 1
40, 5.5239, 1.68589, 1
41, 5.32685, 1.83725, 1
42, 5.54394, 1.84035, 1
43, 5.54803, 1.83939, 1
44, 5.30867, 1.83843, 1
45, 5.55568, 1.83501, 1
46, 5.30448, 1.8432, 1
47, 5.54243, 1.8391, 1
48, 5.36166, 1.8391, 1
49, 5.35434, 1.84115, 1
50, 5.36022, 1.84291, 1
51, 5.30259, 1.83677, 1
52, 5.54163, 1.83674, 1
53, 5.33504, 1.83757, 1
54, 5.53267, 1.84115, 1
55, 5.34886, 1.84115, 1
56, 5.3719, 1.83949, 1
57, 5.53555, 1.83517, 1
58, 5.37782, 1.83674, 1
59, 5.31245, 1.8391, 1
60, 5.36835, 1.83725, 1
61, 5.34486, 1.83702, 1
62, 5.53622, 1.84115, 1
63, 5.36678, 1.83741, 1
64, 5.31469, 1.6865, 1
65, 5.35398, 1.84032, 1
66, 5.3207, 1.83565, 1
67, 5.35485, 1.84093, 1
68, 5.32512, 1.83821, 1
69, 5.31206, 1.83878, 1
70, 5.50925, 1.83891, 1
71, 5.36493, 1.8337, 1
72, 5.52989, 1.83523, 1
73, 5.51683, 1.83661, 1
74, 5.32557, 1.83869, 1
75, 5.35667, 1.83888, 1
76, 5.30442, 1.83718, 1
77, 5.51184, 1.83891, 1
78, 5.31853, 1.83706, 1
79, 5.36253, 1.83942, 1
80, 5.3207, 1.84128, 1
81, 5.51488, 1.83901, 1
82, 5.33914, 1.83702, 1
83, 5.52157, 1.84048, 1
84, 5.35408, 1.83843, 1
85, 5.28384, 1.83667, 1
86, 5.50998, 1.83882, 1
87, 5.5295, 1.83587, 1
88, 5.26963, 1.83754, 1
89, 5.2736, 1.84115, 1
90, 5.5031, 1.83744, 1
