Frame Nr., Compute, Primary Ray Trace, Cornell_Box_(9261_Probes)_-_No_Surfels_-_64_Rays_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 5.33664, 0, 1
3, 5.17734, 1.84586, 1
4, 5.40608, 1.69779, 1
5, 5.55587, 1.84934, 1
6, 5.27142, 1.84192, 1
7, 5.3481, 1.85344, 1
8, 5.44563, 1.84349, 1
9, 5.44934, 1.8473, 1
10, 5.4327, 1.84474, 1
11, 5.47078, 1.8473, 1
12, 5.46576, 1.84762, 1
13, 5.45178, 1.84739, 1
14, 5.4687, 1.84403, 1
15, 5.47616, 1.84496, 1
16, 5.4167, 1.8432, 1
17, 5.45411, 1.84678, 1
18, 5.47715, 1.84115, 1
19, 5.47683, 1.84701, 1
20, 5.46794, 1.84842, 1
21, 5.41267, 1.83974, 1
22, 5.44515, 1.84154, 1
23, 5.50502, 1.84144, 1
24, 5.40595, 1.84013, 1
25, 5.42486, 1.84106, 1
26, 5.48045, 1.83856, 1
27, 5.46608, 1.83978, 1
28, 5.49069, 1.84224, 1
29, 5.45382, 1.84106, 1
30, 5.45587, 1.84464, 1
31, 5.48045, 1.83712, 1
32, 5.47149, 1.84022, 1
33, 5.4569, 1.83926, 1
34, 5.4688, 1.84106, 1
35, 5.4561, 1.84128, 1
36, 5.4649, 1.8351, 1
37, 5.45382, 1.83782, 1
38, 5.36166, 1.8385, 1
39, 5.3736, 1.8409, 1
40, 5.3345, 1.68755, 1
41, 5.36291, 1.83859, 1
42, 5.36986, 1.84115, 1
43, 5.36371, 1.83584, 1
44, 5.32419, 1.84115, 1
45, 5.54736, 1.68419, 1
46, 5.32675, 1.84298, 1
47, 5.30822, 1.8391, 1
48, 5.35763, 1.84138, 1
49, 5.5263, 1.69005, 1
50, 5.33299, 1.8417, 1
51, 5.51965, 1.8391, 1
52, 5.29872, 1.83776, 1
53, 5.35142, 1.83901, 1
54, 5.50707, 1.68474, 1
55, 5.35066, 1.83629, 1
56, 5.51888, 1.8383, 1
57, 5.5255, 1.83501, 1
58, 5.51818, 1.83501, 1
59, 5.35757, 1.84154, 1
60, 5.5457, 1.83539, 1
61, 5.33734, 1.83565, 1
62, 5.53136, 1.83706, 1
63, 5.51488, 1.83709, 1
64, 5.36106, 1.84032, 1
65, 5.51802, 1.84307, 1
66, 5.53782, 1.8391, 1
67, 5.37069, 1.83706, 1
68, 5.3513, 1.83674, 1
69, 5.34426, 1.8368, 1
70, 5.53802, 1.83546, 1
71, 5.52605, 1.83446, 1
72, 5.52947, 1.83501, 1
73, 5.38854, 1.83501, 1
74, 5.52563, 1.83507, 1
75, 5.53626, 1.83536, 1
76, 5.52765, 1.83706, 1
77, 5.28445, 1.83859, 1
78, 5.51117, 1.83827, 1
79, 5.52304, 1.84307, 1
80, 5.52566, 1.84058, 1
81, 5.36166, 1.83709, 1
82, 5.35859, 1.83693, 1
83, 5.30547, 1.68701, 1
84, 5.53779, 1.83584, 1
85, 5.51958, 1.83878, 1
86, 5.51523, 1.8391, 1
87, 5.35142, 1.83725, 1
88, 5.51117, 1.83875, 1
89, 5.51322, 1.83846, 1
90, 5.54803, 1.8385, 1
