Frame Nr., Compute, Primary Ray Trace, Cornell_Box_(9261_Probes)_-_No_Surfels_-_64_Rays_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 5.06678, 0, 1
3, 5.39546, 1.84723, 1
4, 5.15152, 1.8464, 1
5, 5.42515, 1.84906, 1
6, 5.48285, 1.69936, 1
7, 5.42925, 1.84781, 1
8, 5.51629, 1.69789, 1
9, 5.40877, 1.84605, 1
10, 5.50298, 1.85549, 1
11, 5.47635, 1.84358, 1
12, 5.49997, 1.8457, 1
13, 5.44563, 1.84586, 1
14, 5.51267, 1.84474, 1
15, 5.44563, 1.84352, 1
16, 5.53901, 1.8432, 1
17, 5.48659, 1.8432, 1
18, 5.46493, 1.8432, 1
19, 5.48685, 1.84346, 1
20, 5.46186, 1.84714, 1
21, 5.46563, 1.84163, 1
22, 5.4784, 1.83904, 1
23, 5.52141, 1.84115, 1
24, 5.50502, 1.83971, 1
25, 5.4808, 1.84006, 1
26, 5.50154, 1.84003, 1
27, 5.48886, 1.84403, 1
28, 5.47837, 1.84074, 1
29, 5.49274, 1.8391, 1
30, 5.47549, 1.83501, 1
31, 5.51299, 1.83706, 1
32, 5.4817, 1.84, 1
33, 5.4897, 1.83878, 1
34, 5.50502, 1.84016, 1
35, 5.4743, 1.84355, 1
36, 5.39354, 1.83763, 1
37, 5.34528, 1.84115, 1
38, 5.57965, 1.84227, 1
39, 5.35904, 1.83722, 1
40, 5.53165, 1.83565, 1
41, 5.37331, 1.83696, 1
42, 5.54102, 1.8391, 1
43, 5.37434, 1.84026, 1
44, 5.56477, 1.84198, 1
45, 5.51514, 1.83901, 1
46, 5.52845, 1.8391, 1
47, 5.35142, 1.83642, 1
48, 5.5289, 1.68346, 1
49, 5.36608, 1.8416, 1
50, 5.55491, 1.84285, 1
51, 5.34118, 1.83354, 1
52, 5.3337, 1.8391, 1
53, 5.17424, 1.83837, 1
54, 5.28384, 1.8376, 1
55, 5.30637, 1.8391, 1
56, 5.30432, 1.83766, 1
57, 5.29155, 1.8377, 1
58, 5.35674, 1.83853, 1
59, 5.2903, 1.8391, 1
60, 5.32605, 1.84038, 1
61, 5.32531, 1.83862, 1
62, 5.33011, 1.8391, 1
63, 5.3, 1.83507, 1
64, 5.31635, 1.83939, 1
65, 5.37648, 1.84464, 1
66, 5.53402, 1.83773, 1
67, 5.36883, 1.83789, 1
68, 5.53734, 1.83978, 1
69, 5.51645, 1.83917, 1
70, 5.35482, 1.8385, 1
71, 5.29584, 1.83616, 1
72, 5.30022, 1.83882, 1
73, 5.53779, 1.8375, 1
74, 5.38672, 1.83837, 1
75, 5.53779, 1.83683, 1
76, 5.37722, 1.83501, 1
77, 5.5303, 1.83475, 1
78, 5.3809, 1.83632, 1
79, 5.38419, 1.6855, 1
80, 5.53149, 1.84288, 1
81, 5.3912, 1.83725, 1
82, 5.36525, 1.83654, 1
83, 5.3743, 1.83619, 1
84, 5.15251, 1.84054, 1
85, 5.53898, 1.83706, 1
86, 5.55427, 1.83706, 1
87, 5.40733, 1.83504, 1
88, 5.52435, 1.83792, 1
89, 5.31654, 1.83917, 1
90, 5.34352, 1.83715, 1
