Frame Nr., Compute, Primary Ray Trace, Cornell_Box_(9261_Probes)_-_No_Surfels_-_64_Rays_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 4.98483, 0, 1
3, 5.20608, 1.84634, 1
4, 5.17715, 1.6953, 1
5, 5.06659, 1.84403, 1
6, 5.46749, 1.85139, 1
7, 5.39702, 1.84326, 1
8, 5.50502, 1.85376, 1
9, 5.42589, 1.84371, 1
10, 5.44768, 1.84586, 1
11, 5.47805, 1.84448, 1
12, 5.4545, 1.84202, 1
13, 5.47514, 1.8432, 1
14, 5.46381, 1.84422, 1
15, 5.44317, 1.84474, 1
16, 5.48454, 1.84387, 1
17, 5.42022, 1.83907, 1
18, 5.46406, 1.8391, 1
19, 5.46294, 1.84323, 1
20, 5.50502, 1.84525, 1
21, 5.45402, 1.84189, 1
22, 5.51654, 1.8425, 1
23, 5.44973, 1.84208, 1
24, 5.50061, 1.84115, 1
25, 5.47738, 1.84109, 1
26, 5.47312, 1.8391, 1
27, 5.48077, 1.84112, 1
28, 5.50707, 1.84115, 1
29, 5.4607, 1.8432, 1
30, 5.48694, 1.8432, 1
31, 5.48528, 1.84086, 1
32, 5.44086, 1.84093, 1
33, 5.46816, 1.84077, 1
34, 5.44925, 1.84406, 1
35, 5.45722, 1.8432, 1
36, 5.3839, 1.83933, 1
37, 5.33757, 1.84342, 1
38, 5.35242, 1.84134, 1
39, 5.35533, 1.83933, 1
40, 5.34086, 1.8424, 1
41, 5.30333, 1.84506, 1
42, 5.36413, 1.8441, 1
43, 5.30432, 1.84704, 1
44, 5.53741, 1.84384, 1
45, 5.32189, 1.84029, 1
46, 5.52621, 1.8471, 1
47, 5.304, 1.83894, 1
48, 5.54016, 1.84115, 1
49, 5.54394, 1.84435, 1
50, 5.53446, 1.8449, 1
51, 5.31398, 1.84134, 1
52, 5.55238, 1.84115, 1
53, 5.30778, 1.83936, 1
54, 5.36166, 1.84032, 1
55, 5.5255, 1.83779, 1
56, 5.28086, 1.84106, 1
57, 5.3169, 1.84496, 1
58, 5.37667, 1.84307, 1
59, 5.39443, 1.84272, 1
60, 5.3209, 1.8401, 1
61, 5.49904, 1.84272, 1
62, 5.5287, 1.8391, 1
63, 5.34243, 1.83917, 1
64, 5.31792, 1.84326, 1
65, 5.35843, 1.84493, 1
66, 5.30778, 1.8391, 1
67, 5.53219, 1.83978, 1
68, 5.51658, 1.83997, 1
69, 5.3289, 1.84234, 1
70, 5.54371, 1.8432, 1
71, 5.36198, 1.84323, 1
72, 5.27565, 1.68752, 1
73, 5.52848, 1.84486, 1
74, 5.53472, 1.84246, 1
75, 5.35142, 1.84115, 1
76, 5.52912, 1.84077, 1
77, 5.54077, 1.8391, 1
78, 5.53555, 1.8391, 1
79, 5.40986, 1.84483, 1
80, 5.55024, 1.84403, 1
81, 5.33654, 1.84064, 1
82, 5.37395, 1.84221, 1
83, 5.35962, 1.83904, 1
84, 5.35626, 1.83926, 1
85, 5.52755, 1.84115, 1
86, 5.55008, 1.84256, 1
87, 5.53558, 1.83933, 1
88, 5.32531, 1.84278, 1
89, 5.3168, 1.84202, 1
90, 5.38624, 1.8449, 1
