Frame Nr., Compute, Primary Ray Trace, Cornell_Box_(9261_Probes)_-_No_Surfels_-_64_Rays_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 5.06061, 0, 1
3, 5.58298, 1.84317, 1
4, 5.1753, 1.84934, 1
5, 5.09133, 1.69379, 1
6, 5.1753, 1.6937, 1
7, 5.41082, 1.69043, 1
8, 5.47459, 1.84477, 1
9, 5.42915, 1.84525, 1
10, 5.43334, 1.84502, 1
11, 5.44838, 1.84627, 1
12, 5.47731, 1.84582, 1
13, 5.47786, 1.84624, 1
14, 5.42925, 1.84525, 1
15, 5.45514, 1.8471, 1
16, 5.47811, 1.8432, 1
17, 5.4559, 1.8391, 1
18, 5.45853, 1.84112, 1
19, 5.48045, 1.8415, 1
20, 5.48659, 1.84115, 1
21, 5.11558, 1.84051, 1
22, 5.47827, 1.8473, 1
23, 5.45904, 1.84115, 1
24, 5.48659, 1.84131, 1
25, 5.47014, 1.84125, 1
26, 5.46986, 1.84272, 1
27, 5.44406, 1.84525, 1
28, 5.45302, 1.83939, 1
29, 5.43744, 1.83696, 1
30, 5.44989, 1.83622, 1
31, 5.49165, 1.83706, 1
32, 5.50522, 1.83706, 1
33, 5.4745, 1.83501, 1
34, 5.4745, 1.8432, 1
35, 5.4825, 1.84115, 1
36, 5.37427, 1.8391, 1
37, 5.4248, 1.83501, 1
38, 5.35405, 1.83411, 1
39, 5.31251, 1.83907, 1
40, 5.3289, 1.8424, 1
41, 5.55645, 1.84115, 1
42, 5.37805, 1.83706, 1
43, 5.35549, 1.8391, 1
44, 5.5481, 1.83885, 1
45, 5.53165, 1.83501, 1
46, 5.29024, 1.84227, 1
47, 5.54653, 1.83914, 1
48, 5.3105, 1.83706, 1
49, 5.55622, 1.8391, 1
50, 5.36576, 1.83706, 1
51, 5.28794, 1.68531, 1
52, 5.36166, 1.83882, 1
53, 5.35962, 1.83706, 1
54, 5.38042, 1.6847, 1
55, 5.54477, 1.8367, 1
56, 5.36893, 1.83706, 1
57, 5.30602, 1.6855, 1
58, 5.36726, 1.83901, 1
59, 5.34982, 1.83846, 1
60, 5.36701, 1.68301, 1
61, 5.31875, 1.84112, 1
62, 5.40502, 1.8391, 1
63, 5.36688, 1.8353, 1
64, 5.31814, 1.84314, 1
65, 5.38253, 1.84448, 1
66, 5.36611, 1.83571, 1
67, 5.50714, 1.83501, 1
68, 5.29952, 1.83706, 1
69, 5.34544, 1.83766, 1
70, 5.53574, 1.83706, 1
71, 5.31034, 1.84112, 1
72, 5.53594, 1.83738, 1
73, 5.3289, 1.83654, 1
74, 5.52461, 1.83549, 1
75, 5.54365, 1.83843, 1
76, 5.31853, 1.83626, 1
77, 5.53027, 1.83763, 1
78, 5.5337, 1.68381, 1
79, 5.3159, 1.84253, 1
80, 5.36742, 1.84358, 1
81, 5.37594, 1.68406, 1
82, 5.28179, 1.83658, 1
83, 5.36576, 1.83754, 1
84, 5.55002, 1.83558, 1
85, 5.5255, 1.8337, 1
86, 5.52755, 1.83702, 1
87, 5.54208, 1.83341, 1
88, 5.33328, 1.83501, 1
89, 5.53459, 1.83546, 1
90, 5.30842, 1.83331, 1
