Frame Nr., Compute, Primary Ray Trace, Cornell_Box_(9261_Probes)_-_Full_GI_-_64_Surfels_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 1.12573, 2.10589, 1
3, 0.790528, 2.10589, 1
4, 0.69632, 1.84602, 1
5, 0.694848, 1.85312, 1
6, 0.701664, 2.06026, 1
7, 0.692224, 2.06445, 1
8, 0.690688, 2.05005, 1
9, 0.689792, 2.04566, 1
10, 0.692864, 2.07078, 1
11, 0.690624, 2.04896, 1
12, 0.690752, 2.05005, 1
13, 0.691072, 2.05341, 1
14, 0.691968, 2.05174, 1
15, 0.692192, 2.0528, 1
16, 0.69072, 2.07082, 1
17, 0.69168, 2.0487, 1
18, 0.692224, 2.04982, 1
19, 0.692224, 2.05683, 1
20, 0.69088, 2.05005, 1
21, 0.690272, 2.0505, 1
22, 0.691264, 2.06854, 1
23, 0.690176, 2.04198, 1
24, 0.690176, 2.04723, 1
25, 0.690528, 2.04595, 1
26, 0.690016, 2.04618, 1
27, 0.689984, 2.04771, 1
28, 0.692224, 2.06438, 1
29, 0.692224, 2.05242, 1
30, 0.691776, 2.0479, 1
31, 0.69008, 2.04522, 1
32, 0.691968, 2.04179, 1
33, 0.690624, 2.05005, 1
34, 0.688448, 2.07523, 1
35, 0.690816, 2.04781, 1
36, 0.689024, 2.048, 1
37, 0.690176, 2.05414, 1
38, 0.690176, 2.04413, 1
39, 0.688128, 2.04989, 1
40, 0.695584, 2.06864, 1
41, 0.691712, 2.04698, 1
42, 0.690176, 2.04842, 1
43, 0.692512, 2.04899, 1
44, 0.690464, 2.05018, 1
45, 0.692224, 2.04675, 1
46, 0.689536, 2.06899, 1
47, 0.689696, 2.04592, 1
48, 0.691456, 2.0439, 1
49, 0.691776, 2.05386, 1
50, 0.694176, 2.0439, 1
51, 0.688128, 2.0432, 1
52, 0.692288, 2.06234, 1
53, 0.690176, 2.0423, 1
54, 0.689632, 1.9456, 1
55, 0.693152, 1.92528, 1
56, 0.691008, 1.92099, 1
57, 0.69008, 1.88118, 1
58, 0.687712, 1.88336, 1
59, 0.69008, 1.8816, 1
60, 0.692192, 1.88221, 1
61, 0.690176, 1.88518, 1
62, 0.690752, 1.88397, 1
63, 0.691616, 1.89152, 1
64, 0.692032, 1.9016, 1
65, 0.688992, 1.88867, 1
66, 0.689792, 1.8847, 1
67, 0.689408, 1.88563, 1
68, 0.690176, 1.88378, 1
69, 0.692224, 1.88534, 1
70, 0.689984, 1.88461, 1
71, 0.6912, 1.88688, 1
72, 0.691872, 1.88714, 1
73, 0.692224, 1.8863, 1
74, 0.690176, 1.88826, 1
75, 0.692128, 1.88621, 1
76, 0.690336, 1.88506, 1
77, 0.692064, 1.88586, 1
78, 0.690176, 1.88218, 1
79, 0.69248, 1.88998, 1
80, 0.692224, 1.88416, 1
81, 0.692736, 1.88458, 1
82, 0.688704, 1.88211, 1
83, 0.69008, 1.8951, 1
84, 0.692224, 1.88397, 1
85, 0.693888, 1.88211, 1
86, 0.690528, 1.88323, 1
87, 0.691008, 1.88211, 1
88, 0.690176, 1.88333, 1
89, 0.690976, 1.88176, 1
90, 0.69184, 1.88045, 1
