Frame Nr., Compute, Primary Ray Trace, Cornell_Box_(9261_Probes)_-_Full_GI_-_64_Surfels_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 1.49254, 0, 1
3, 0.791552, 1.84422, 1
4, 0.699808, 1.84989, 1
5, 0.98208, 7.18813, 1
6, 2.94093, 7.52486, 1
7, 0.980992, 3.62086, 1
8, 2.93853, 4.93914, 1
9, 4.4248, 8.98458, 1
10, 4.34598, 7.05946, 1
11, 2.93331, 7.06448, 1
12, 4.51712, 9.00525, 1
13, 4.4848, 7.0519, 1
14, 3.95059, 7.14624, 1
15, 2.96851, 7.06038, 1
16, 3.76422, 8.70819, 1
17, 3.89494, 7.87424, 1
18, 4.15949, 7.95034, 1
19, 4.3559, 6.74045, 1
20, 4.15555, 6.76522, 1
21, 4.36422, 6.73846, 1
22, 4.14938, 6.7279, 1
23, 4.35946, 6.7303, 1
24, 3.63264, 6.72582, 1
25, 0.772096, 2.26454, 1
26, 0.76704, 2.31606, 1
27, 0.765952, 2.30486, 1
28, 0.766912, 2.30224, 1
29, 0.769344, 2.304, 1
30, 0.766528, 2.30944, 1
31, 0.765984, 2.31392, 1
32, 0.7664, 2.30925, 1
33, 0.767456, 2.3079, 1
34, 0.768064, 2.32243, 1
35, 0.76912, 2.31219, 1
36, 0.770048, 2.30451, 1
37, 0.7664, 2.31219, 1
38, 0.767104, 2.30342, 1
39, 0.766656, 2.30086, 1
40, 0.765504, 2.30778, 1
41, 0.764928, 2.31056, 1
42, 0.768032, 2.30653, 1
43, 0.768, 2.30358, 1
44, 0.766496, 2.30195, 1
45, 0.770176, 2.30528, 1
46, 0.7672, 2.30013, 1
47, 0.77056, 2.30851, 1
48, 0.768, 2.30736, 1
49, 0.768256, 2.29773, 1
50, 0.764704, 2.28762, 1
51, 0.763904, 2.28803, 1
52, 0.761856, 2.28477, 1
53, 0.765472, 2.28762, 1
54, 0.765184, 2.28941, 1
55, 0.763904, 2.29149, 1
56, 0.768, 2.28566, 1
57, 0.765952, 2.28557, 1
58, 0.762752, 2.29373, 1
59, 0.763328, 2.2856, 1
60, 0.764416, 2.28762, 1
61, 0.763904, 2.28966, 1
62, 0.766816, 2.28602, 1
63, 0.763904, 2.28966, 1
64, 0.766176, 2.29235, 1
65, 0.76464, 2.29229, 1
66, 0.76224, 2.29171, 1
67, 0.765952, 2.28915, 1
68, 0.76432, 2.28762, 1
69, 0.765952, 2.28966, 1
70, 0.769312, 2.28595, 1
71, 0.724992, 2.28102, 1
72, 0.69456, 1.87478, 1
73, 0.6912, 1.87242, 1
74, 0.690176, 1.87757, 1
75, 0.69248, 1.87475, 1
76, 0.695712, 1.87594, 1
77, 0.69328, 1.87965, 1
78, 0.690976, 1.8759, 1
79, 0.695936, 1.88922, 1
80, 0.692736, 1.87808, 1
81, 0.692832, 1.87616, 1
82, 0.692224, 1.87459, 1
83, 0.693536, 1.88003, 1
84, 0.692416, 1.8792, 1
85, 0.691872, 1.8753, 1
86, 0.692224, 1.87277, 1
87, 0.692224, 1.87597, 1
88, 0.69072, 1.87437, 1
89, 0.692224, 1.87395, 1
90, 0.692224, 1.87597, 1
